'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/01/2012,5.5,0.0, ,25.7,15.3,90,64,3.00,30.95
AIREYS INLET,02/01/2012,12.4,0.0, ,41.9,16.8,89,10,6.18,30.21
AIREYS INLET,03/01/2012,4.4,0.0, ,30.5,20.4,77,42,2.49,13.91
AIREYS INLET,04/01/2012,5.9,0.0, ,21.3,16.0,85,50,8.15,32.35
AIREYS INLET,05/01/2012,5.2,0.0, ,21.2,11.1,84,42,5.42,26.37
AIREYS INLET,06/01/2012,5.2,0.2, ,20.0,12.0,82,45,3.80,30.82
AIREYS INLET,07/01/2012,2.8,0.0, ,24.0,12.9,92,57,3.60,7.78
AIREYS INLET,08/01/2012,6.2,3.2, ,24.8,17.6,93,44,7.72,28.12
AIREYS INLET,09/01/2012,6.1,0.0, ,22.9,12.2,84,44,8.17,30.17
AIREYS INLET,10/01/2012,3.9,0.4, ,18.7,10.7,94,51,6.66,18.98
AIREYS INLET,11/01/2012,3.9,13.0, ,16.4,9.9,94,58,10.37,26.34
AIREYS INLET,12/01/2012,4.2,1.8, ,20.5,10.1,85,61,6.56,23.65
AIREYS INLET,13/01/2012,4.8,0.2, ,20.4,12.2,93,52,7.58,26.32
AIREYS INLET,14/01/2012,4.4,0.4, ,18.9,12.2,80,54,6.85,21.50
AIREYS INLET,15/01/2012,4.8,0.0, ,20.6,13.6,88,51,4.32,26.91
AIREYS INLET,16/01/2012,9.4,0.0, ,34.3,13.1,95,21,6.34,30.07
AIREYS INLET,17/01/2012,11.0,0.0, ,35.4,20.6,61,20,8.15,25.78
AIREYS INLET,18/01/2012,5.2,0.0, ,21.8,16.9,91,48,7.31,25.30
AIREYS INLET,19/01/2012,4.8,0.0, ,21.9,14.1,85,55,4.57,25.26
AIREYS INLET,20/01/2012,5.2,0.0, ,21.8,14.2,83,58,5.57,30.11
AIREYS INLET,21/01/2012,4.4,0.0, ,21.9,15.7,90,70,6.18,26.14
AIREYS INLET,22/01/2012,5.3,0.0, ,25.3,17.3,88,65,4.12,28.90
AIREYS INLET,23/01/2012,6.7,0.0, ,30.1,15.5,96,35,3.43,30.77
AIREYS INLET,24/01/2012,7.5,0.0, ,33.5,16.6,92,29,3.52,30.55
AIREYS INLET,25/01/2012,4.6,0.0, ,22.3,17.4,94,64,7.16,26.12
AIREYS INLET,26/01/2012,5.0,0.0, ,22.4,15.1,88,59,7.17,27.66
AIREYS INLET,27/01/2012,4.2,0.0, ,24.2,16.1,91,69,4.12,22.92
AIREYS INLET,28/01/2012,3.5,0.0, ,23.4,18.1,93,72,3.57,18.22
AIREYS INLET,29/01/2012,5.2,0.0, ,29.9,17.2,95,52,3.14,23.12
AIREYS INLET,30/01/2012,7.1,0.0, ,28.1,21.7,94,39,9.37,25.27
AIREYS INLET,31/01/2012,4.8,1.8, ,19.2,12.6,92,45,9.97,22.77
Totals:,,173.6,21, ,,,,,, 
