'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/08/2014,1.5,12.0, ,9.8,3.3,96,64,10.60,3.46
AIREYS INLET,02/08/2014,1.5,8.6, ,12.9,3.8,95,51,3.32,10.47
AIREYS INLET,03/08/2014,2.0,0.0, ,12.9,3.7,86,47,4.72,11.08
AIREYS INLET,04/08/2014,2.3,0.0, ,13.8,5.7,74,57,6.42,10.91
AIREYS INLET,05/08/2014,1.4,0.0, ,14.7,7.8,95,71,4.84,7.12
AIREYS INLET,06/08/2014,1.4,0.0, ,14.0,8.8,95,68,5.08,6.81
AIREYS INLET,07/08/2014,0.7,4.0, ,11.6,9.8,100,87,2.48,4.64
AIREYS INLET,08/08/2014,1.5,3.8, ,14.2,9.6,100,60,4.05,10.16
AIREYS INLET,09/08/2014,1.8,0.0, ,14.8,7.0,84,56,4.27,3.22
AIREYS INLET,10/08/2014,1.8,0.4, ,11.4,7.2,90,61,7.23,9.92
AIREYS INLET,11/08/2014,1.3,2.2, ,11.2,6.0,99,65,5.25,6.78
AIREYS INLET,12/08/2014,1.5,3.8, ,12.7,5.5,95,63,4.93,7.82
AIREYS INLET,13/08/2014,1.6,0.4, ,14.8,7.2,94,65,3.97,10.02
AIREYS INLET,14/08/2014,1.2,0.8, ,13.9,8.9,100,71,2.06,10.95
AIREYS INLET,15/08/2014,1.5,0.0, ,16.1,5.2,99,59,1.89,12.49
AIREYS INLET,16/08/2014,1.2,0.0, ,14.4,6.5,99,72,1.95,10.93
AIREYS INLET,17/08/2014,1.7,0.0, ,14.6,9.5,88,64,4.38,8.48
AIREYS INLET,18/08/2014,1.4,0.0, ,11.8,9.7,93,69,5.13,5.56
AIREYS INLET,19/08/2014,1.8,0.0, ,14.9,9.6,81,58,3.42,7.84
AIREYS INLET,20/08/2014,1.5,0.0, ,14.6,7.7,94,60,2.28,10.57
AIREYS INLET,21/08/2014,1.3,0.0, ,13.7,7.4,99,66,1.57,11.36
AIREYS INLET,22/08/2014,1.9,0.0, ,18.8,7.9,99,54,2.27,11.79
AIREYS INLET,23/08/2014,2.2,0.0, ,19.4,8.8,99,57,4.44,11.01
AIREYS INLET,24/08/2014,1.4,10.2, ,13.2,9.2,100,70,6.19,6.52
AIREYS INLET,25/08/2014,1.1,2.0, ,14.4,9.5,100,80,4.32,6.71
AIREYS INLET,26/08/2014,1.2,0.2, ,15.4,10.6,100,85,2.10,9.13
AIREYS INLET,27/08/2014,1.1,0.2, ,14.2,8.5,100,86,1.52,9.42
AIREYS INLET,28/08/2014,1.7,0.0, ,16.5,7.2,100,71,2.19,14.35
AIREYS INLET,29/08/2014,1.5,0.2, ,15.3,7.6,100,81,1.46,13.50
AIREYS INLET,30/08/2014,2.3,0.0, ,20.0,9.4,99,56,2.63,14.37
AIREYS INLET,31/08/2014,4.3,0.0, ,21.8,10.1,72,41,7.21,11.47
Totals:,,50.6,48.8, ,,,,,, 
