'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/02/2016,4.9,0.0, ,25.4,11.6,89,55,2.71,27.51
AIREYS INLET,02/02/2016,3.9,0.0, ,24.1,14.4,95,62,2.94,20.46
AIREYS INLET,03/02/2016,4.1,3.2, ,20.5,15.4,95,56,7.06,20.30
AIREYS INLET,04/02/2016,4.6,0.8, ,21.2,15.1,76,54,6.64,19.35
AIREYS INLET,05/02/2016,5.2,0.0, ,23.6,15.9,86,58,4.31,28.73
AIREYS INLET,06/02/2016,6.2,0.0, ,29.9,16.7,86,32,2.61,28.34
AIREYS INLET,07/02/2016,5.0,0.0, ,24.7,17.5,92,64,4.13,27.90
AIREYS INLET,08/02/2016,5.4,0.0, ,23.2,15.6,83,53,5.39,28.97
AIREYS INLET,09/02/2016,4.9,0.0, ,22.8,16.3,84,54,3.64,26.25
AIREYS INLET,10/02/2016,5.0,0.0, ,23.6,15.4,85,52,3.51,27.36
AIREYS INLET,11/02/2016,5.1,0.0, ,25.0,15.2,85,57,3.37,27.47
AIREYS INLET,12/02/2016,4.4,0.0, ,22.5,16.1,89,59,2.19,26.01
AIREYS INLET,13/02/2016,5.2,0.0, ,25.3,14.6,91,47,3.88,26.65
AIREYS INLET,14/02/2016,5.7,0.0, ,24.0,14.0,80,34,5.55,22.72
AIREYS INLET,15/02/2016,5.8,0.0, ,24.9,11.7,91,37,6.60,24.69
AIREYS INLET,16/02/2016,3.9,0.0, ,18.2,13.6,84,46,7.83,13.34
AIREYS INLET,17/02/2016,3.7,0.0, ,21.4,11.4,87,65,6.80,19.53
AIREYS INLET,18/02/2016,3.8,0.2, ,22.5,14.1,93,59,3.12,20.86
AIREYS INLET,19/02/2016,2.4,0.0, ,19.0,13.8,95,61,4.60,8.10
AIREYS INLET,20/02/2016,4.3,0.8, ,22.0,12.1,73,49,3.53,21.20
AIREYS INLET,21/02/2016,4.3,0.0, ,21.9,15.2,89,57,2.87,25.75
AIREYS INLET,22/02/2016,2.3,0.0, ,26.6,15.2,87,44,2.08,3.62
AIREYS INLET,23/02/2016,8.4,0.6, ,38.6,17.8,64,16,4.70,15.98
AIREYS INLET,24/02/2016,2.6,0.0, ,24.1,19.5,96,50,1.97,9.47
AIREYS INLET,25/02/2016,4.4,13.8, ,25.8,16.5,96,47,4.46,18.02
AIREYS INLET,26/02/2016,3.5,0.0, ,21.9,14.0,84,49,4.26,12.26
AIREYS INLET,27/02/2016,3.5,0.0, ,23.1,15.2,81,59,2.87,16.53
AIREYS INLET,28/02/2016,4.1,0.0, ,22.8,14.5,82,57,4.19,20.12
AIREYS INLET,29/02/2016,4.0,0.0, ,23.4,16.1,90,57,3.16,21.28
Totals:,,130.6,19.4, ,,,,,, 
