'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for May 2018,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 June 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/05/2018,3.7,0.0, ,24.3,9.5,93,21,4.04,11.88
AIREYS INLET,02/05/2018,4.4,0.0, ,23.0,14.8,45,30,4.88,8.21
AIREYS INLET,03/05/2018,3.7,0.0, ,21.9,15.2,93,27,6.10,3.88
AIREYS INLET,04/05/2018,2.0,0.0, ,15.4,10.1,93,58,6.60,6.87
AIREYS INLET,05/05/2018,2.3,0.0, ,19.6,10.7,92,56,4.96,9.52
AIREYS INLET,06/05/2018,2.0,0.0, ,19.1,12.8,90,59,3.83,9.61
AIREYS INLET,07/05/2018,3.7,0.0, ,18.5,12.4,77,38,7.80,6.35
AIREYS INLET,08/05/2018,1.8,0.0, ,17.0,10.5,86,46,2.48,11.26
AIREYS INLET,09/05/2018,1.9, , ,17.4,8.1,95,58,4.98,7.26
AIREYS INLET,10/05/2018,1.1, , ,12.5,6.4,93,76,4.55,5.31
AIREYS INLET,11/05/2018,1.5, , ,13.7,6.2,95,75,13.34,1.80
AIREYS INLET,12/05/2018,1.5, , ,14.8,11.8,95,75,9.96,4.03
AIREYS INLET,13/05/2018,1.6, , ,15.3,12.2,88,67,5.31,5.82
AIREYS INLET,14/05/2018,1.3, , ,16.3,10.2,90,58,1.67,9.79
AIREYS INLET,15/05/2018,1.8, , ,14.5,9.6,94,57,6.30,6.26
AIREYS INLET,16/05/2018,1.6, , ,14.1,9.5,91,55,4.20,4.79
AIREYS INLET,17/05/2018,1.2, , ,14.5,8.8,91,74,3.94,4.97
AIREYS INLET,18/05/2018,1.3, , ,16.2,10.4,94,69,3.53,6.97
AIREYS INLET,19/05/2018,1.3, , ,14.5,9.0,94,62,3.47,7.00
AIREYS INLET,20/05/2018,1.7, , ,16.4,10.7,89,68,5.99,5.94
AIREYS INLET,21/05/2018,1.7, , ,16.1,11.6,91,62,5.22,7.63
AIREYS INLET,22/05/2018,1.7, , ,19.1,12.6,91,67,4.53,7.91
AIREYS INLET,23/05/2018,1.2, , ,14.3,11.6,90,67,3.24,3.52
AIREYS INLET,24/05/2018,1.5, , ,17.6,11.9,93,64,3.91,6.24
AIREYS INLET,25/05/2018,1.1, , ,14.7,11.4,90,62,2.05,7.70
AIREYS INLET,26/05/2018,1.2, , ,17.1,6.5,92,61,2.40,9.63
AIREYS INLET,27/05/2018,2.9, , ,21.1,8.9,74,45,5.20,6.75
AIREYS INLET,28/05/2018,2.5, , ,19.0,12.5,83,52,5.89,5.81
AIREYS INLET,29/05/2018,2.2, , ,14.8,12.4,91,51,7.63,8.14
AIREYS INLET,30/05/2018,1.7, , ,14.4,6.9,93,59,5.92,4.29
AIREYS INLET,31/05/2018,1.8, , ,15.0,7.6,87,56,5.38,8.79
Totals:,,60.9,0, ,,,,,, 
