'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/03/2023,3.6,0.0, ,20.6,12.7,84,58,4.03,18.52
AIREYS INLET,02/03/2023,2.7,0.0, ,19.5,12.9,93,60,3.99,11.76
AIREYS INLET,03/03/2023,3.7,0.2, ,19.9,14.9,88,48,4.83,16.70
AIREYS INLET,04/03/2023,3.0,0.0, ,23.7,15.1,92,62,3.06,13.67
AIREYS INLET,05/03/2023,3.4,0.0, ,23.7,14.3,94,63,3.36,18.22
AIREYS INLET,06/03/2023,4.7,2.0, ,22.6,13.7,91,35,6.07,17.84
AIREYS INLET,07/03/2023,3.9,0.4, ,20.2,13.1,92,45,7.97,12.03
AIREYS INLET,08/03/2023,3.6,0.0, ,17.7,7.8,86,49,5.81,18.64
AIREYS INLET,09/03/2023,4.0,0.0, ,21.8,10.2,92,51,6.06,19.12
AIREYS INLET,10/03/2023,2.9,0.0, ,21.4,11.5,92,60,3.04,14.42
AIREYS INLET,11/03/2023,3.3,0.0, ,21.8,14.1,93,58,2.83,18.81
AIREYS INLET,12/03/2023,3.1,0.0, ,19.8,12.3,94,56,3.57,17.12
AIREYS INLET,13/03/2023,3.6,0.0, ,21.0,14.3,87,55,3.47,19.50
AIREYS INLET,14/03/2023,3.7,0.0, ,27.7,12.9,95,43,2.58,15.01
AIREYS INLET,15/03/2023,2.0,0.0, ,19.8,15.3,95,71,1.81,10.19
AIREYS INLET,16/03/2023,3.7,0.0, ,25.2,15.1,95,54,5.42,13.54
AIREYS INLET,17/03/2023,3.6,0.0, ,22.8,11.1,92,41,2.46,19.26
AIREYS INLET,18/03/2023,7.8,0.0, ,33.7,12.1,94,20,6.28,19.33
AIREYS INLET,19/03/2023,2.1,0.0, ,17.7,14.0,95,58,3.88,7.82
AIREYS INLET,20/03/2023,3.5,0.0, ,19.5,13.1,93,45,5.22,15.32
AIREYS INLET,21/03/2023,2.1,0.0, ,20.2,14.3,86,57,3.02,5.89
AIREYS INLET,22/03/2023,1.5,0.0, ,19.9,15.6,96,80,2.02,7.27
AIREYS INLET,23/03/2023,1.9,0.0, ,20.2,15.8,93,74,2.51,9.10
AIREYS INLET,24/03/2023,3.3,0.0, ,20.6,14.5,89,55,4.08,17.32
AIREYS INLET,25/03/2023,3.2,0.0, ,20.1,13.2,83,48,3.81,14.71
AIREYS INLET,26/03/2023,2.2,0.0, ,17.7,13.9,74,57,2.12,9.32
AIREYS INLET,27/03/2023,1.1,0.0, ,15.9,13.8,96,74,1.35,3.61
AIREYS INLET,28/03/2023,1.9,14.6, ,20.0,13.5,96,69,2.43,9.25
AIREYS INLET,29/03/2023,2.9,2.2, ,18.3,13.3,88,53,5.51,10.71
AIREYS INLET,30/03/2023,2.7,0.0, ,18.5,11.4,88,56,4.12,12.61
AIREYS INLET,31/03/2023,2.0,0.0, ,17.1,12.1,95,65,4.63,8.85
Totals:,,96.7,19.4, ,,,,,, 
