'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/11/2011,2.9,0.2, ,18.9,8.2,94,59,5.39,13.30
AVALON AIRPORT,02/11/2011,1.9,0.0, ,15.3,11.6,96,76,5.71,10.49
AVALON AIRPORT,03/11/2011,2.8,0.6, ,17.9,8.4,95,56,4.03,13.44
AVALON AIRPORT,04/11/2011,3.8,0.0, ,18.5,12.0,95,60,2.70,24.70
AVALON AIRPORT,05/11/2011,6.2,0.0, ,28.6,6.6,99,35,3.45,30.63
AVALON AIRPORT,06/11/2011,4.2,0.0, ,24.7,12.4,91,48,4.65,15.30
AVALON AIRPORT,07/11/2011,5.1,0.0, ,24.5,12.8,93,51,3.08,29.16
AVALON AIRPORT,08/11/2011,4.0,14.4, ,25.6,16.6,98,65,4.00,19.89
AVALON AIRPORT,09/11/2011,6.0,0.8, ,29.9,14.5,99,47,6.44,23.18
AVALON AIRPORT,10/11/2011,4.6,11.8, ,20.7,12.3,96,47,6.91,23.15
AVALON AIRPORT,11/11/2011,4.5,0.0, ,21.1,7.1,95,48,2.80,28.89
AVALON AIRPORT,12/11/2011,5.3,0.0, ,23.3,10.8,96,48,3.74,31.50
AVALON AIRPORT,13/11/2011,4.6,0.0, ,25.9,11.3,93,36,3.77,16.74
AVALON AIRPORT,14/11/2011,5.8,1.8, ,24.6,14.4,94,41,7.16,24.89
AVALON AIRPORT,15/11/2011,6.4,0.0, ,28.7,7.9,96,33,4.48,27.53
AVALON AIRPORT,16/11/2011,5.0,1.6, ,19.4,10.4,92,44,4.38,31.23
AVALON AIRPORT,17/11/2011,6.1,0.0, ,27.8,5.5,96,37,3.59,30.42
AVALON AIRPORT,18/11/2011,9.2,0.0, ,36.0,14.5,98,25,6.91,24.03
AVALON AIRPORT,19/11/2011,2.6,14.0, ,21.6,17.6,99,81,4.19,14.50
AVALON AIRPORT,20/11/2011,5.7,7.2, ,22.0,10.1,99,37,7.73,29.07
AVALON AIRPORT,21/11/2011,5.2,0.0, ,22.3,7.4,92,38,4.43,27.18
AVALON AIRPORT,22/11/2011,4.1,0.0, ,19.8,9.5,94,58,5.11,25.23
AVALON AIRPORT,23/11/2011,4.7,0.2, ,18.7,9.1,92,49,5.75,29.83
AVALON AIRPORT,24/11/2011,6.1,0.0, ,23.4,9.5,83,40,5.24,32.78
AVALON AIRPORT,25/11/2011,4.4,0.0, ,23.3,12.5,92,55,4.18,22.76
AVALON AIRPORT,26/11/2011,1.8,2.6, ,16.8,15.3,99,89,6.42,12.14
AVALON AIRPORT,27/11/2011,4.1,85.2, ,21.4,12.0,97,64,5.39,24.75
AVALON AIRPORT,28/11/2011,3.9,0.2, ,24.8,13.7,98,65,3.83,20.39
AVALON AIRPORT,29/11/2011,7.4,0.6, ,33.8,14.8,99,24,5.63,17.82
AVALON AIRPORT,30/11/2011,4.7,0.2, ,17.6,14.1,93,40,8.05,24.07
Totals:,,143.1,141.4, ,,,,,, 
