'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/04/2015,6.2,0.0, ,32.1,9.6,93,25,5.95,8.87
AVALON AIRPORT,02/04/2015,4.1,0.0, ,18.7,10.3,87,39,8.05,17.07
AVALON AIRPORT,03/04/2015,3.5,0.0, ,19.8,9.5,80,46,6.10,12.42
AVALON AIRPORT,04/04/2015,3.2,0.0, ,22.3,8.1,96,41,3.27,15.69
AVALON AIRPORT,05/04/2015,2.0,0.0, ,18.1,8.2,95,59,4.14,6.24
AVALON AIRPORT,06/04/2015,2.4,0.0, ,18.0,6.9,90,48,3.62,10.11
AVALON AIRPORT,07/04/2015,2.3,0.0, ,18.1,9.7,98,60,7.62,5.85
AVALON AIRPORT,08/04/2015,2.9,4.2, ,19.0,10.5,96,51,6.77,10.54
AVALON AIRPORT,09/04/2015,2.6,0.0, ,19.3,9.8,88,55,3.92,12.93
AVALON AIRPORT,10/04/2015,2.5,0.0, ,19.9,8.0,98,49,3.05,13.68
AVALON AIRPORT,11/04/2015,2.6,0.0, ,21.1,9.1,94,56,3.71,14.42
AVALON AIRPORT,12/04/2015,2.7,0.0, ,19.8,12.4,87,54,4.25,12.87
AVALON AIRPORT,13/04/2015,1.9,0.0, ,17.4,3.8,97,60,2.73,13.31
AVALON AIRPORT,14/04/2015,2.4,2.0, ,22.7,9.5,97,52,3.18,8.66
AVALON AIRPORT,15/04/2015,4.7,8.6, ,28.6,14.7,97,36,5.84,13.50
AVALON AIRPORT,16/04/2015,2.5,0.2, ,19.3,13.6,92,52,4.29,10.81
AVALON AIRPORT,17/04/2015,1.6,0.0, ,16.8,9.8,99,59,2.59,6.75
AVALON AIRPORT,18/04/2015,3.4,5.8, ,22.3,12.3,99,45,6.11,12.49
AVALON AIRPORT,19/04/2015,2.4,2.6, ,15.4,7.7,100,50,6.95,11.11
AVALON AIRPORT,20/04/2015,2.7,1.8, ,16.6,6.0,93,43,5.17,12.22
AVALON AIRPORT,21/04/2015,2.4,0.0, ,18.3,6.2,94,54,4.86,12.36
AVALON AIRPORT,22/04/2015,1.8,0.0, ,19.2,6.2,98,67,5.02,7.49
AVALON AIRPORT,23/04/2015,1.7,0.0, ,19.6,11.6,99,68,3.67,7.82
AVALON AIRPORT,24/04/2015,2.1,0.0, ,19.6,13.5,97,60,4.40,8.76
AVALON AIRPORT,25/04/2015,1.1,10.0, ,14.6,10.7,99,78,5.10,3.76
AVALON AIRPORT,26/04/2015,2.0,13.6, ,16.0,9.4,96,59,5.93,7.15
AVALON AIRPORT,27/04/2015,1.8,0.2, ,16.0,8.9,96,64,5.28,7.40
AVALON AIRPORT,28/04/2015,1.9,0.4, ,16.9,6.7,99,56,4.46,9.01
AVALON AIRPORT,29/04/2015,1.7,0.0, ,16.6,7.4,95,58,2.71,10.98
AVALON AIRPORT,30/04/2015,1.7,0.0, ,17.9,4.1,99,58,2.51,12.20
Totals:,,76.8,49.4, ,,,,,, 
