'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/01/2019,6.3,0.0, ,26.3,11.1,99,38,4.21,32.15
AVALON AIRPORT,02/01/2019,5.5,0.0, ,24.5,17.0,83,51,4.90,26.23
AVALON AIRPORT,03/01/2019,6.3,0.0, ,34.0,14.6,98,53,3.80,26.41
AVALON AIRPORT,04/01/2019,15.7,0.0, ,45.8,14.9,100,10,8.17,29.53
AVALON AIRPORT,05/01/2019,5.3,0.0, ,23.3,15.5,73,36,5.43,17.59
AVALON AIRPORT,06/01/2019,6.0,0.0, ,23.9,11.2,87,42,5.06,30.97
AVALON AIRPORT,07/01/2019,5.7,0.0, ,25.1,16.8,80,49,5.01,25.96
AVALON AIRPORT,08/01/2019,5.2,0.0, ,25.2,13.6,93,53,5.03,26.15
AVALON AIRPORT,09/01/2019,5.9,0.0, ,22.0,13.6,81,39,5.97,28.98
AVALON AIRPORT,10/01/2019,5.1,0.0, ,22.0,9.5,75,39,4.29,24.10
AVALON AIRPORT,11/01/2019,7.3,0.0, ,30.7,11.3,86,27,3.69,31.14
AVALON AIRPORT,12/01/2019,7.2,0.0, ,25.3,16.5,71,29,6.24,28.08
AVALON AIRPORT,13/01/2019,7.2,0.0, ,28.9,14.0,86,42,6.25,30.85
AVALON AIRPORT,14/01/2019,8.0,0.0, ,35.4,17.8,100,35,4.29,30.71
AVALON AIRPORT,15/01/2019,4.9,0.0, ,33.6,17.6,100,44,2.81,17.09
AVALON AIRPORT,16/01/2019,4.2,0.2, ,27.7,16.8,98,52,3.62,16.81
AVALON AIRPORT,17/01/2019,5.8,0.0, ,36.5,18.8,99,24,4.44,7.73
AVALON AIRPORT,18/01/2019,4.1,0.4, ,27.3,20.7,92,53,4.76,13.18
AVALON AIRPORT,19/01/2019,6.2,1.0, ,25.0,11.4,91,37,5.07,30.41
AVALON AIRPORT,20/01/2019,4.7,0.0, ,25.6,14.6,86,55,4.12,21.71
AVALON AIRPORT,21/01/2019,5.6,0.0, ,27.3,17.7,92,55,4.63,26.50
AVALON AIRPORT,22/01/2019,6.2,0.0, ,29.8,16.9,96,47,3.28,29.41
AVALON AIRPORT,23/01/2019,5.1,0.0, ,25.8,15.5,100,53,5.34,24.57
AVALON AIRPORT,24/01/2019,9.0,0.0, ,37.9,16.8,97,29,5.01,29.67
AVALON AIRPORT,25/01/2019,14.4,0.0, ,45.6,21.8,85,14,8.27,25.94
AVALON AIRPORT,26/01/2019,5.9,0.0, ,26.8,17.4,82,49,5.08,25.84
AVALON AIRPORT,27/01/2019,7.8,0.0, ,30.2,16.5,75,25,5.47,26.66
AVALON AIRPORT,28/01/2019,7.6,0.0, ,32.5,12.2,83,28,4.21,29.20
AVALON AIRPORT,29/01/2019,9.5,0.0, ,37.8,13.7,94,13,4.58,28.90
AVALON AIRPORT,30/01/2019,8.4,0.0, ,36.3,13.8,99,15,4.81,21.70
AVALON AIRPORT,31/01/2019,5.9,1.6, ,22.7,15.4,84,39,8.57,23.98
Totals:,,212,3.2, ,,,,,, 
