'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/07/2023,1.1,0.2, ,13.7,8.4,95,74,5.24,8.01
AVALON AIRPORT,02/07/2023,1.0,0.2, ,13.3,7.3,95,67,3.03,6.12
AVALON AIRPORT,03/07/2023,0.7,0.0, ,12.9,7.0,95,75,1.79,6.60
AVALON AIRPORT,04/07/2023,0.6,0.0, ,12.6,5.9,97,87,2.12,4.91
AVALON AIRPORT,05/07/2023,1.2,2.8, ,14.9,8.5,98,58,3.22,7.08
AVALON AIRPORT,06/07/2023,1.8,0.0, ,16.3,4.8,94,48,4.40,9.14
AVALON AIRPORT,07/07/2023,2.1,1.2, ,15.8,6.6,90,52,6.75,8.70
AVALON AIRPORT,08/07/2023,2.8,0.2, ,14.3,9.9,78,53,11.63,9.47
AVALON AIRPORT,09/07/2023,1.9,0.0, ,16.4,9.6,92,65,8.93,7.23
AVALON AIRPORT,10/07/2023,2.5,0.6, ,16.6,11.0,87,48,6.89,7.93
AVALON AIRPORT,11/07/2023,1.7,0.0, ,17.1,10.0,91,62,5.38,9.01
AVALON AIRPORT,12/07/2023,2.3,0.0, ,17.7,9.9,85,46,4.86,9.52
AVALON AIRPORT,13/07/2023,2.7,0.0, ,17.1,8.1,71,46,5.78,8.93
AVALON AIRPORT,14/07/2023,2.6,0.0, ,15.5,8.8,75,48,6.81,7.63
AVALON AIRPORT,15/07/2023,1.3,0.0, ,11.7,7.4,94,57,3.70,4.29
AVALON AIRPORT,16/07/2023,1.4,1.0, ,14.3,3.3,90,60,4.00,7.12
AVALON AIRPORT,17/07/2023,1.2,0.0, ,15.6,1.3,95,58,2.51,10.09
AVALON AIRPORT,18/07/2023,1.8,0.0, ,14.3,1.0,92,57,6.31,8.76
AVALON AIRPORT,19/07/2023,1.5,0.0, ,14.1,3.6,89,53,3.26,8.69
AVALON AIRPORT,20/07/2023,2.1,0.0, ,13.7,1.9,88,51,6.62,4.33
AVALON AIRPORT,21/07/2023,1.8,2.0, ,14.0,4.7,90,53,4.97,10.36
AVALON AIRPORT,22/07/2023,1.0,0.2, ,15.1,0.0,98,56,1.63,7.44
AVALON AIRPORT,23/07/2023,1.1,1.0, ,13.5,4.8,96,69,3.72,8.67
AVALON AIRPORT,24/07/2023,1.3,0.2, ,14.9,4.0,95,69,4.22,7.03
AVALON AIRPORT,25/07/2023,1.3,0.0, ,15.6,8.9,92,58,2.65,6.70
AVALON AIRPORT,26/07/2023,1.1,0.0, ,14.1,3.8,96,64,2.29,9.22
AVALON AIRPORT,27/07/2023,2.6,0.0, ,19.4,-1.2,97,40,4.38,10.88
AVALON AIRPORT,28/07/2023,2.5,4.8, ,19.3,5.5,93,50,5.78,9.91
AVALON AIRPORT,29/07/2023,2.5,0.0, ,18.6,7.8,87,50,5.79,11.04
AVALON AIRPORT,30/07/2023,2.8,0.0, ,18.7,8.0,86,48,6.73,9.94
AVALON AIRPORT,31/07/2023,2.2,0.2, ,17.0,6.8,100,53,6.94,9.13
Totals:,,54.5,14.6, ,,,,,, 
