'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/03/2015,3.9,3.2, ,23.5,15.2,100,46,5.84,14.56
BAIRNSDALE AIRPORT,02/03/2015,3.7,0.0, ,22.3,7.6,99,51,2.91,21.72
BAIRNSDALE AIRPORT,03/03/2015,3.5,0.0, ,22.0,13.6,96,52,3.18,18.42
BAIRNSDALE AIRPORT,04/03/2015,4.7,0.0, ,25.4,12.2,98,39,3.44,23.17
BAIRNSDALE AIRPORT,05/03/2015,5.2,1.4, ,20.4,11.5,93,31,8.77,21.43
BAIRNSDALE AIRPORT,06/03/2015,4.5,0.0, ,23.6,11.2,84,50,8.39,14.30
BAIRNSDALE AIRPORT,07/03/2015,3.7,0.0, ,22.9,13.6,86,49,3.79,15.70
BAIRNSDALE AIRPORT,08/03/2015,3.9,0.0, ,24.4,9.7,100,51,3.22,21.26
BAIRNSDALE AIRPORT,09/03/2015,4.0,0.0, ,26.2,13.3,99,44,3.89,16.22
BAIRNSDALE AIRPORT,10/03/2015,3.4,0.0, ,21.4,14.8,83,56,3.12,16.82
BAIRNSDALE AIRPORT,11/03/2015,5.2,0.0, ,29.3,9.2,99,26,3.22,21.83
BAIRNSDALE AIRPORT,12/03/2015,3.2,0.0, ,22.8,10.4,99,51,4.26,12.35
BAIRNSDALE AIRPORT,13/03/2015,3.2,0.0, ,20.7,7.4,91,45,2.91,16.29
BAIRNSDALE AIRPORT,14/03/2015,5.3,0.0, ,30.3,4.4,99,29,3.56,19.50
BAIRNSDALE AIRPORT,15/03/2015,2.6,1.0, ,19.5,11.0,96,58,4.62,10.35
BAIRNSDALE AIRPORT,16/03/2015,3.6,0.0, ,22.3,5.8,99,43,3.79,18.01
BAIRNSDALE AIRPORT,17/03/2015,3.0,0.0, ,25.8,11.8,96,38,3.17,5.58
BAIRNSDALE AIRPORT,18/03/2015,4.6,0.8, ,28.3,13.8,94,43,4.46,16.99
BAIRNSDALE AIRPORT,19/03/2015,7.0,0.0, ,36.2,10.4,100,21,4.32,18.76
BAIRNSDALE AIRPORT,20/03/2015,3.9,2.4, ,21.5,14.2,94,37,5.33,14.44
BAIRNSDALE AIRPORT,21/03/2015,3.7,0.0, ,20.8,6.2,92,41,4.06,19.62
BAIRNSDALE AIRPORT,22/03/2015,3.8,0.0, ,26.1,5.2,99,35,2.24,19.91
BAIRNSDALE AIRPORT,23/03/2015,3.0,0.0, ,27.6,9.9,96,43,3.57,3.78
BAIRNSDALE AIRPORT,24/03/2015,2.7,0.2, ,19.6,13.0,99,50,4.77,9.09
BAIRNSDALE AIRPORT,25/03/2015,2.1,3.8, ,18.3,11.4,99,66,3.58,11.33
BAIRNSDALE AIRPORT,26/03/2015,4.3,0.2, ,21.4,7.8,99,24,5.09,16.08
BAIRNSDALE AIRPORT,27/03/2015,3.6,0.2, ,19.4,10.7,82,52,8.40,10.55
BAIRNSDALE AIRPORT,28/03/2015,2.8,0.2, ,20.1,7.6,94,47,3.86,11.21
BAIRNSDALE AIRPORT,29/03/2015,3.6,0.0, ,24.3,5.3,99,37,2.76,18.36
BAIRNSDALE AIRPORT,30/03/2015,3.3,0.0, ,24.4,6.7,99,43,2.50,17.69
BAIRNSDALE AIRPORT,31/03/2015,3.0,0.0, ,23.2,6.0,100,49,2.48,17.50
Totals:,,118,13.4, ,,,,,, 
