'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for September 2018,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 October 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/09/2018,3.7,4.6, ,17.2,8.2,79,40,8.01,13.46
BAIRNSDALE AIRPORT,02/09/2018,2.0,0.2, ,13.2,3.2,86,54,3.63,11.93
BAIRNSDALE AIRPORT,03/09/2018,2.2,0.4, ,14.2,0.3,95,45,3.02,16.06
BAIRNSDALE AIRPORT,04/09/2018,2.3,0.0, ,16.3,-0.2,96,52,3.12,16.42
BAIRNSDALE AIRPORT,05/09/2018,3.2,0.0, ,20.8,1.3,98,32,3.22,15.70
BAIRNSDALE AIRPORT,06/09/2018,2.6,0.0, ,20.3,7.3,88,44,3.67,7.20
BAIRNSDALE AIRPORT,07/09/2018,3.0,11.8, ,16.7,7.7,96,39,4.35,16.51
BAIRNSDALE AIRPORT,08/09/2018,2.4,0.0, ,15.7,1.7,97,45,2.75,16.87
BAIRNSDALE AIRPORT,09/09/2018,3.2,0.0, ,18.7,3.5,93,38,5.20,10.65
BAIRNSDALE AIRPORT,10/09/2018,2.8,0.0, ,19.2,4.9,97,50,3.24,17.39
BAIRNSDALE AIRPORT,11/09/2018,3.4,0.0, ,23.8,4.1,98,38,2.73,17.64
BAIRNSDALE AIRPORT,12/09/2018,4.2,0.0, ,19.9,10.4,83,28,5.32,17.59
BAIRNSDALE AIRPORT,13/09/2018,3.2,0.0, ,19.1,2.6,89,36,3.06,18.14
BAIRNSDALE AIRPORT,14/09/2018,4.1,0.0, ,24.2,2.4,94,25,3.24,18.34
BAIRNSDALE AIRPORT,15/09/2018,6.1,0.0, ,24.2,8.3,76,20,8.23,9.85
BAIRNSDALE AIRPORT,16/09/2018,3.2,0.0, ,15.3,3.6,89,39,5.98,16.99
BAIRNSDALE AIRPORT,17/09/2018,3.5,0.0, ,18.7,0.2,92,28,3.45,18.92
BAIRNSDALE AIRPORT,18/09/2018,5.5,0.0, ,23.5,4.8,71,15,5.51,15.27
BAIRNSDALE AIRPORT,19/09/2018,3.7,1.2, ,16.5,7.9,93,35,6.80,16.96
BAIRNSDALE AIRPORT,20/09/2018,3.5,0.0, ,17.3,2.2,90,34,4.69,18.87
BAIRNSDALE AIRPORT,21/09/2018,3.4,0.0, ,19.8,2.4,88,43,3.42,19.70
BAIRNSDALE AIRPORT,22/09/2018,3.4,0.0, ,21.0,2.1,96,42,3.17,19.56
BAIRNSDALE AIRPORT,23/09/2018,2.3,0.4, ,14.5,9.2,95,46,4.46,8.97
BAIRNSDALE AIRPORT,24/09/2018,2.8,0.0, ,15.1,4.7,88,50,3.78,19.28
BAIRNSDALE AIRPORT,25/09/2018,2.1,0.0, ,14.1,7.6,85,50,2.83,9.66
BAIRNSDALE AIRPORT,26/09/2018,3.0,0.0, ,17.7,0.7,96,50,4.20,18.89
BAIRNSDALE AIRPORT,27/09/2018,4.9,0.0, ,25.7,1.7,96,22,3.60,20.04
BAIRNSDALE AIRPORT,28/09/2018,3.4,0.0, ,18.9,6.5,94,36,4.49,13.36
BAIRNSDALE AIRPORT,29/09/2018,3.1,9.2, ,15.6,4.7,87,43,5.67,13.70
BAIRNSDALE AIRPORT,30/09/2018,3.0,0.2, ,17.0,3.5,94,48,3.49,18.73
Totals:,,99.2,28, ,,,,,, 
