'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for February 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 March 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/02/2019,5.4,0.0, ,22.6,8.7,84,42,4.62,28.95
BAIRNSDALE AIRPORT,02/02/2019,6.3,0.0, ,32.5,11.9,95,41,3.06,27.91
BAIRNSDALE AIRPORT,03/02/2019,7.0,0.0, ,38.5,19.2,95,28,4.56,15.33
BAIRNSDALE AIRPORT,04/02/2019,3.7,13.0, ,25.8,18.1,96,62,4.05,16.01
BAIRNSDALE AIRPORT,05/02/2019,1.8,0.0, ,23.4,19.8,96,75,7.27,1.86
BAIRNSDALE AIRPORT,06/02/2019,4.7,0.4, ,29.0,18.7,99,60,4.98,20.67
BAIRNSDALE AIRPORT,07/02/2019,3.6,0.0, ,28.9,19.8,96,55,2.96,13.21
BAIRNSDALE AIRPORT,08/02/2019,1.5,1.4, ,21.5,18.0,98,71,3.32,2.67
BAIRNSDALE AIRPORT,09/02/2019,4.5,0.6, ,21.7,14.9,90,41,7.29,14.91
BAIRNSDALE AIRPORT,10/02/2019,5.6,2.0, ,25.3,11.2,81,40,4.52,26.12
BAIRNSDALE AIRPORT,11/02/2019,5.6,0.0, ,29.0,10.6,96,32,3.20,24.54
BAIRNSDALE AIRPORT,12/02/2019,7.3,0.0, ,29.9,13.6,92,19,7.73,11.91
BAIRNSDALE AIRPORT,13/02/2019,5.0,7.4, ,20.2,8.5,84,36,6.17,23.50
BAIRNSDALE AIRPORT,14/02/2019,5.5,0.0, ,24.8,7.2,87,34,4.05,26.91
BAIRNSDALE AIRPORT,15/02/2019,4.7,0.0, ,24.1,10.8,93,51,3.57,25.80
BAIRNSDALE AIRPORT,16/02/2019,5.5,0.0, ,30.2,12.7,95,39,2.92,24.57
BAIRNSDALE AIRPORT,17/02/2019,3.7,0.0, ,26.6,13.5,98,60,2.37,18.28
BAIRNSDALE AIRPORT,18/02/2019,5.9,0.0, ,33.9,16.4,88,20,4.23,9.49
BAIRNSDALE AIRPORT,19/02/2019,5.4,0.6, ,24.1,14.9,68,35,4.92,19.06
BAIRNSDALE AIRPORT,20/02/2019,5.4,0.0, ,25.0,12.7,80,34,3.73,25.34
BAIRNSDALE AIRPORT,21/02/2019,4.9,0.0, ,24.0,11.4,85,41,4.30,22.43
BAIRNSDALE AIRPORT,22/02/2019,4.5,0.0, ,23.3,12.3,81,43,2.93,23.41
BAIRNSDALE AIRPORT,23/02/2019,4.5,0.0, ,22.4,12.9,87,52,4.53,24.17
BAIRNSDALE AIRPORT,24/02/2019,5.3,0.0, ,24.3,11.3,90,40,5.30,24.68
BAIRNSDALE AIRPORT,25/02/2019,5.8,0.0, ,31.5,9.4,94,25,2.80,24.39
BAIRNSDALE AIRPORT,26/02/2019,6.7,0.0, ,32.0,13.4,90,23,4.17,23.07
BAIRNSDALE AIRPORT,27/02/2019,4.5,0.0, ,25.1,8.8,98,54,4.61,23.82
BAIRNSDALE AIRPORT,28/02/2019,6.0,0.0, ,33.7,11.8,97,29,3.27,21.82
Totals:,,140.3,25.4, ,,,,,, 
