'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for July 2019,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 August 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/07/2019,2.1,0.0, ,16.3,4.4,70,35,3.59,9.02
BAIRNSDALE AIRPORT,02/07/2019,2.4,0.0, ,17.5,5.2,81,43,4.96,8.30
BAIRNSDALE AIRPORT,03/07/2019,0.8,0.0, ,13.3,6.1,97,68,2.02,5.94
BAIRNSDALE AIRPORT,04/07/2019,0.8,0.0, ,13.1,1.1,99,68,2.34,8.02
BAIRNSDALE AIRPORT,05/07/2019,0.9,0.2, ,14.8,0.9,99,59,1.76,9.43
BAIRNSDALE AIRPORT,06/07/2019,1.2,0.0, ,18.1,0.3,99,52,1.99,9.40
BAIRNSDALE AIRPORT,07/07/2019,1.0,0.0, ,17.0,2.4,99,59,1.78,7.66
BAIRNSDALE AIRPORT,08/07/2019,1.6,3.2, ,14.9,5.7,95,53,4.22,7.50
BAIRNSDALE AIRPORT,09/07/2019,1.8,0.6, ,16.7,2.2,90,45,3.55,9.45
BAIRNSDALE AIRPORT,10/07/2019,2.2,0.0, ,16.8,2.5,89,40,4.46,8.87
BAIRNSDALE AIRPORT,11/07/2019,2.6,1.2, ,16.1,6.5,85,42,6.66,8.82
BAIRNSDALE AIRPORT,12/07/2019,2.9,0.2, ,19.1,7.9,88,45,7.09,7.53
BAIRNSDALE AIRPORT,13/07/2019,1.5,5.4, ,9.8,5.5,90,59,7.21,6.55
BAIRNSDALE AIRPORT,14/07/2019,2.3,8.8, ,14.4,4.1,90,47,7.62,7.06
BAIRNSDALE AIRPORT,15/07/2019,1.9,8.4, ,13.6,7.6,90,60,8.21,8.10
BAIRNSDALE AIRPORT,16/07/2019,2.3,0.0, ,14.6,9.5,81,59,8.60,7.61
BAIRNSDALE AIRPORT,17/07/2019,2.0,0.0, ,15.6,4.3,92,48,4.85,7.83
BAIRNSDALE AIRPORT,18/07/2019,2.2,0.2, ,14.5,6.0,82,48,5.54,9.14
BAIRNSDALE AIRPORT,19/07/2019,1.6,0.0, ,15.2,6.8,93,52,3.77,10.14
BAIRNSDALE AIRPORT,20/07/2019,1.9,0.0, ,18.4,-1.1,97,36,2.71,9.93
BAIRNSDALE AIRPORT,21/07/2019,2.6,0.0, ,19.1,5.3,86,36,4.28,8.38
BAIRNSDALE AIRPORT,22/07/2019,1.9,0.0, ,19.1,0.1,96,28,2.12,10.52
BAIRNSDALE AIRPORT,23/07/2019,3.0,0.0, ,16.7,4.5,88,34,6.64,10.17
BAIRNSDALE AIRPORT,24/07/2019,2.1,5.8, ,14.8,2.6,83,47,4.81,10.70
BAIRNSDALE AIRPORT,25/07/2019,1.4,0.0, ,15.3,2.7,88,52,2.50,10.76
BAIRNSDALE AIRPORT,26/07/2019,1.4,0.0, ,16.7,3.0,96,53,2.35,7.44
BAIRNSDALE AIRPORT,27/07/2019,1.0,3.4, ,15.0,7.2,99,70,1.79,9.03
BAIRNSDALE AIRPORT,28/07/2019,1.3,0.0, ,15.1,4.7,97,57,2.24,10.62
BAIRNSDALE AIRPORT,29/07/2019,1.8,0.0, ,15.3,4.4,96,50,3.94,9.87
BAIRNSDALE AIRPORT,30/07/2019,1.1,0.0, ,11.3,7.0,96,64,3.17,7.34
BAIRNSDALE AIRPORT,31/07/2019,1.2,0.8, ,12.8,-0.4,99,58,2.24,11.39
Totals:,,54.8,38.2, ,,,,,, 
