'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/08/2020,1.7,0.0, ,18.0,3.0,98,41,2.07,10.93
BAIRNSDALE AIRPORT,02/08/2020,2.0,0.0, ,19.9,5.8,96,39,2.40,11.67
BAIRNSDALE AIRPORT,03/08/2020,1.4,0.0, ,15.2,4.3,98,60,2.63,10.77
BAIRNSDALE AIRPORT,04/08/2020,2.1,0.8, ,11.4,4.2,90,43,6.02,10.02
BAIRNSDALE AIRPORT,05/08/2020,2.0,12.4, ,12.7,3.5,99,52,8.34,8.15
BAIRNSDALE AIRPORT,06/08/2020,1.6,0.0, ,12.0,4.5,93,52,3.65,10.36
BAIRNSDALE AIRPORT,07/08/2020,1.3,0.0, ,11.7,1.8,95,64,4.34,5.54
BAIRNSDALE AIRPORT,08/08/2020,1.1,0.4, ,13.9,5.9,97,81,6.30,7.41
BAIRNSDALE AIRPORT,09/08/2020,1.4,4.0, ,14.5,8.1,98,68,4.45,8.72
BAIRNSDALE AIRPORT,10/08/2020,1.7,1.2, ,14.5,4.4,99,49,2.93,12.56
BAIRNSDALE AIRPORT,11/08/2020,1.7,0.0, ,16.0,1.4,97,53,2.56,11.97
BAIRNSDALE AIRPORT,12/08/2020,1.6,0.4, ,17.3,6.3,86,51,2.06,7.53
BAIRNSDALE AIRPORT,13/08/2020,1.9,0.0, ,19.8,6.4,96,50,2.23,10.91
BAIRNSDALE AIRPORT,14/08/2020,1.7,1.8, ,18.2,7.6,98,54,2.39,9.06
BAIRNSDALE AIRPORT,15/08/2020,1.3,0.0, ,14.9,8.5,98,71,4.12,7.00
BAIRNSDALE AIRPORT,16/08/2020,1.0,4.0, ,12.8,10.4,99,83,7.40,4.60
BAIRNSDALE AIRPORT,17/08/2020,2.1,15.0, ,15.6,10.5,92,63,5.81,13.67
BAIRNSDALE AIRPORT,18/08/2020,2.2,0.0, ,18.1,6.0,94,47,3.23,12.22
BAIRNSDALE AIRPORT,19/08/2020,2.0,1.0, ,16.0,6.4,87,53,3.88,8.38
BAIRNSDALE AIRPORT,20/08/2020,2.7,2.2, ,15.6,6.6,84,46,5.68,11.05
BAIRNSDALE AIRPORT,21/08/2020,2.4,2.0, ,13.6,6.8,89,44,5.12,12.03
BAIRNSDALE AIRPORT,22/08/2020,2.3,0.2, ,12.1,0.7,88,46,5.93,11.88
BAIRNSDALE AIRPORT,23/08/2020,2.3,1.2, ,12.7,5.2,86,58,7.84,13.14
BAIRNSDALE AIRPORT,24/08/2020,2.4,0.6, ,13.3,6.5,82,54,6.09,12.05
BAIRNSDALE AIRPORT,25/08/2020,2.0,0.0, ,13.8,1.8,90,58,4.74,12.04
BAIRNSDALE AIRPORT,26/08/2020,2.3,0.2, ,14.8,4.0,91,50,3.92,14.77
BAIRNSDALE AIRPORT,27/08/2020,3.5,0.0, ,18.1,2.2,94,39,7.50,14.37
BAIRNSDALE AIRPORT,28/08/2020,2.7,4.6, ,15.9,7.2,92,49,6.23,14.54
BAIRNSDALE AIRPORT,29/08/2020,2.8,0.0, ,22.3,3.0,93,34,2.15,15.53
BAIRNSDALE AIRPORT,30/08/2020,3.8,0.0, ,21.1,4.2,80,30,5.30,7.28
BAIRNSDALE AIRPORT,31/08/2020,2.4,0.4, ,13.0,7.2,90,52,6.18,12.46
Totals:,,63.4,52.4, ,,,,,, 
