'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/11/2021,4.3,0.0, ,21.9,5.2,100,50,2.84,27.44
BAIRNSDALE AIRPORT,02/11/2021,4.9,0.0, ,25.2,7.4,100,48,3.38,27.67
BAIRNSDALE AIRPORT,03/11/2021,4.9,0.0, ,29.1,13.0,100,40,3.09,20.18
BAIRNSDALE AIRPORT,04/11/2021,1.8,20.4, ,17.7,13.2,100,74,3.99,7.60
BAIRNSDALE AIRPORT,05/11/2021,2.5,12.0, ,21.1,13.4,100,85,4.19,15.99
BAIRNSDALE AIRPORT,06/11/2021,4.9,0.0, ,28.0,11.6,100,48,3.35,22.95
BAIRNSDALE AIRPORT,07/11/2021,1.8,8.8, ,16.0,13.8,100,78,3.25,9.37
BAIRNSDALE AIRPORT,08/11/2021,1.5,2.6, ,14.7,11.9,100,74,3.15,6.22
BAIRNSDALE AIRPORT,09/11/2021,3.0,0.0, ,17.8,11.0,100,67,2.69,19.17
BAIRNSDALE AIRPORT,10/11/2021,1.5,0.6, ,17.1,12.6,100,81,4.34,6.94
BAIRNSDALE AIRPORT,11/11/2021,3.3,6.8, ,17.8,5.5,100,62,4.03,22.42
BAIRNSDALE AIRPORT,12/11/2021,1.0,14.4, ,13.7,10.6,100,88,6.82,4.63
BAIRNSDALE AIRPORT,13/11/2021,2.0,67.4, ,16.6,11.4,100,77,5.65,12.24
BAIRNSDALE AIRPORT,14/11/2021,4.0,4.0, ,18.1,5.7,99,48,6.35,23.99
BAIRNSDALE AIRPORT,15/11/2021,2.8,4.4, ,12.9,7.1,99,65,8.49,23.22
BAIRNSDALE AIRPORT,16/11/2021,2.3,1.4, ,14.4,6.1,99,65,4.47,14.40
BAIRNSDALE AIRPORT,17/11/2021,3.6,0.0, ,17.6,9.6,97,62,3.08,24.71
BAIRNSDALE AIRPORT,18/11/2021,4.4,0.0, ,25.1,6.3,100,35,3.22,18.41
BAIRNSDALE AIRPORT,19/11/2021,3.4,0.2, ,18.4,13.5,85,52,5.11,13.46
BAIRNSDALE AIRPORT,20/11/2021,2.0,0.4, ,16.0,10.8,100,66,2.73,10.32
BAIRNSDALE AIRPORT,21/11/2021,3.0,0.0, ,17.2,10.5,96,58,2.83,17.71
BAIRNSDALE AIRPORT,22/11/2021,4.1,0.2, ,20.4,6.6,100,65,4.21,29.37
BAIRNSDALE AIRPORT,23/11/2021,3.9,0.0, ,26.1,10.7,100,58,2.06,19.98
BAIRNSDALE AIRPORT,24/11/2021,4.7,5.0, ,27.5,15.9,100,60,2.54,23.83
BAIRNSDALE AIRPORT,25/11/2021,0.7,0.0, ,16.3,15.7,100,100,3.20,3.09
BAIRNSDALE AIRPORT,26/11/2021,1.4,20.0, ,15.6,12.1,100,76,5.40,4.98
BAIRNSDALE AIRPORT,27/11/2021,2.8,1.6, ,17.0,11.2,100,66,4.82,16.57
BAIRNSDALE AIRPORT,28/11/2021,4.0,0.2, ,18.8,12.0,97,53,4.35,23.82
BAIRNSDALE AIRPORT,29/11/2021,4.4,0.0, ,20.8,6.7,100,63,3.41,31.14
BAIRNSDALE AIRPORT,30/11/2021,5.2,0.0, ,24.4,9.3,100,50,2.65,31.23
Totals:,,94.1,170.4, ,,,,,, 
