'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/11/2022,2.6,19.6, ,15.3,9.1,97,61,4.62,14.39
BAIRNSDALE AIRPORT,02/11/2022,3.3,18.2, ,14.5,5.2,89,58,6.83,23.27
BAIRNSDALE AIRPORT,03/11/2022,3.2,2.4, ,16.1,8.5,95,57,5.68,19.84
BAIRNSDALE AIRPORT,04/11/2022,3.2,0.0, ,17.4,6.0,93,63,3.62,21.50
BAIRNSDALE AIRPORT,05/11/2022,4.0,0.0, ,21.6,8.3,98,62,3.07,26.36
BAIRNSDALE AIRPORT,06/11/2022,4.7,0.0, ,25.7,9.5,99,42,2.77,24.14
BAIRNSDALE AIRPORT,07/11/2022,4.8,0.0, ,24.3,11.1,97,54,2.47,28.42
BAIRNSDALE AIRPORT,08/11/2022,5.0,0.0, ,26.0,10.1,98,46,2.73,26.86
BAIRNSDALE AIRPORT,09/11/2022,5.3,0.0, ,25.6,11.6,96,43,2.74,28.73
BAIRNSDALE AIRPORT,10/11/2022,5.5,0.0, ,28.3,12.7,97,40,2.99,26.37
BAIRNSDALE AIRPORT,11/11/2022,2.4,0.0, ,24.0,15.7,97,63,2.40,9.10
BAIRNSDALE AIRPORT,12/11/2022, ,7.6, ,19.6,13.3,98,72,4.48, 
BAIRNSDALE AIRPORT,13/11/2022,4.8,19.8, ,27.8,14.0,98,50,4.04,20.96
BAIRNSDALE AIRPORT,14/11/2022,3.3,4.6, ,19.1,14.4,91,54,6.75,11.43
BAIRNSDALE AIRPORT,15/11/2022,3.6,1.2, ,14.5,8.8,83,50,6.74,19.17
BAIRNSDALE AIRPORT,16/11/2022,3.1,0.4, ,15.1,4.1,92,57,5.33,19.92
BAIRNSDALE AIRPORT,17/11/2022,3.8,0.2, ,17.2,6.0,91,47,3.94,23.03
BAIRNSDALE AIRPORT,18/11/2022,4.2,0.0, ,18.9,5.2,99,55,3.71,29.99
BAIRNSDALE AIRPORT,19/11/2022,2.9,0.0, ,22.1,8.1,97,53,2.41,12.44
BAIRNSDALE AIRPORT,20/11/2022,5.4,8.0, ,20.8,11.9,96,31,7.19,23.98
BAIRNSDALE AIRPORT,21/11/2022,4.5,0.8, ,16.2,6.7,90,40,8.57,25.06
BAIRNSDALE AIRPORT,22/11/2022,4.2,2.6, ,19.6,5.5,85,50,7.42,19.60
BAIRNSDALE AIRPORT,23/11/2022,4.8,0.2, ,19.9,12.0,82,55,8.46,24.98
BAIRNSDALE AIRPORT,24/11/2022,4.0,0.0, ,20.6,8.0,95,58,4.59,24.18
BAIRNSDALE AIRPORT,25/11/2022,3.9,0.0, ,19.9,9.3,95,54,4.71,21.08
BAIRNSDALE AIRPORT,26/11/2022,4.4,0.0, ,23.4,6.2,99,50,3.06,25.28
BAIRNSDALE AIRPORT,27/11/2022,2.6,0.0, ,18.8,14.5,90,67,3.57,11.17
BAIRNSDALE AIRPORT,28/11/2022,4.3,0.0, ,19.8,10.9,92,45,3.94,23.11
BAIRNSDALE AIRPORT,29/11/2022,5.2,0.2, ,20.6,11.1,92,38,5.86,26.45
BAIRNSDALE AIRPORT,30/11/2022,4.4,0.0, ,19.7,5.9,97,49,3.18,28.87
Totals:,,117.4,85.8, ,,,,,, 
