'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/05/2016,1.5,14.8, ,11.6,8.9,100,66,8.25,9.82
BALLARAT AERODROME,02/05/2016,2.5,0.6, ,15.1,3.3,98,50,8.15,11.70
BALLARAT AERODROME,03/05/2016,1.9,0.0, ,15.7,6.8,99,65,10.47,5.19
BALLARAT AERODROME,04/05/2016,1.5,1.0, ,13.0,2.2,100,64,5.77,10.32
BALLARAT AERODROME,05/05/2016,2.7,0.0, ,19.0,6.5,95,56,8.66,9.97
BALLARAT AERODROME,06/05/2016,3.8,0.0, ,23.1,10.0,93,36,6.28,13.89
BALLARAT AERODROME,07/05/2016,4.1,0.0, ,22.6,11.6,68,41,7.10,9.73
BALLARAT AERODROME,08/05/2016,2.8,0.4, ,17.2,12.7,100,34,7.39,3.53
BALLARAT AERODROME,09/05/2016,3.3,7.6, ,16.1,13.0,100,32,10.83,6.38
BALLARAT AERODROME,10/05/2016,1.8,20.2, ,13.3,9.3,100,60,8.28,10.27
BALLARAT AERODROME,11/05/2016,1.4,1.6, ,13.7,7.8,100,71,7.44,7.78
BALLARAT AERODROME,12/05/2016,1.6,2.8, ,17.0,8.7,100,71,6.98,8.18
BALLARAT AERODROME,13/05/2016,2.0,0.0, ,17.7,11.4,99,61,5.89,12.62
BALLARAT AERODROME,14/05/2016,2.5,0.0, ,18.3,9.9,100,51,7.65,11.13
BALLARAT AERODROME,15/05/2016,2.2,0.0, ,17.7,8.8,99,49,5.17,10.51
BALLARAT AERODROME,16/05/2016,1.2,0.4, ,15.6,1.3,100,74,5.14,8.26
BALLARAT AERODROME,17/05/2016,1.2,1.0, ,13.6,8.1,98,68,4.59,5.84
BALLARAT AERODROME,18/05/2016,1.6,0.0, ,15.5,8.2,99,60,5.09,8.03
BALLARAT AERODROME,19/05/2016,1.2,0.0, ,14.9,9.4,100,76,7.22,4.81
BALLARAT AERODROME,20/05/2016,1.2,2.6, ,14.8,8.9,100,62,2.51,8.32
BALLARAT AERODROME,21/05/2016,1.3,0.0, ,15.5,5.4,100,73,6.39,9.11
BALLARAT AERODROME,22/05/2016,2.3,0.0, ,18.3,8.3,100,61,10.14,8.40
BALLARAT AERODROME,23/05/2016,1.7,5.2, ,12.9,7.3,100,56,6.89,8.89
BALLARAT AERODROME,24/05/2016,1.1,0.2, ,13.7,7.3,100,64,3.10,8.69
BALLARAT AERODROME,25/05/2016,0.8,0.2, ,10.8,5.0,100,81,8.04,3.93
BALLARAT AERODROME,26/05/2016,0.5,11.6, ,10.1,7.5,100,95,4.88,5.62
BALLARAT AERODROME,27/05/2016,1.0,0.8, ,11.9,3.4,100,61,2.56,9.13
BALLARAT AERODROME,28/05/2016,1.1,0.0, ,10.9,3.5,100,66,4.22,7.46
BALLARAT AERODROME,29/05/2016,0.8,0.2, ,8.9,6.1,98,64,2.30,5.19
BALLARAT AERODROME,30/05/2016,1.0,0.0, ,10.9,0.6,98,59,2.92,9.85
BALLARAT AERODROME,31/05/2016,1.4,0.2, ,13.3,-1.5,100,50,3.60,9.80
Totals:,,55,71.4, ,,,,,, 
