'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/09/2017,2.2,0.2, ,13.3,-0.2,98,54,6.55,12.91
BALLARAT AERODROME,02/09/2017,2.5,0.0, ,14.7,7.4,88,58,8.09,10.38
BALLARAT AERODROME,03/09/2017,2.8,0.0, ,13.6,7.9,99,42,8.47,12.12
BALLARAT AERODROME,04/09/2017,1.8,2.4, ,9.7,3.2,100,59,8.77,11.77
BALLARAT AERODROME,05/09/2017,1.6,0.6, ,9.1,1.3,99,64,8.47,10.99
BALLARAT AERODROME,06/09/2017,1.3,3.8, ,11.6,2.4,100,81,6.65,12.57
BALLARAT AERODROME,07/09/2017,1.3,1.4, ,12.1,2.0,100,78,5.91,10.59
BALLARAT AERODROME,08/09/2017,1.7,5.6, ,10.1,3.7,100,60,4.65,13.09
BALLARAT AERODROME,09/09/2017,1.4,1.2, ,12.1,3.9,100,73,3.51,10.00
BALLARAT AERODROME,10/09/2017,1.9,0.2, ,13.6,2.9,100,58,2.60,14.19
BALLARAT AERODROME,11/09/2017,2.2,0.2, ,16.2,5.0,98,66,6.98,11.90
BALLARAT AERODROME,12/09/2017,1.5,0.6, ,17.0,8.3,100,74,5.40,5.69
BALLARAT AERODROME,13/09/2017,1.4,3.2, ,11.0,4.7,100,74,6.68,9.31
BALLARAT AERODROME,14/09/2017,1.5,9.2, ,11.8,0.9,100,74,6.37,11.54
BALLARAT AERODROME,15/09/2017,1.5,1.0, ,14.7,5.4,100,79,5.64,9.59
BALLARAT AERODROME,16/09/2017,2.4,8.0, ,10.7,3.8,100,47,5.30,17.88
BALLARAT AERODROME,17/09/2017,2.8,0.0, ,13.8,-2.2,100,47,6.11,19.17
BALLARAT AERODROME,18/09/2017,3.9,0.0, ,17.1,5.0,100,35,9.80,14.22
BALLARAT AERODROME,19/09/2017,2.0,3.8, ,11.5,4.1,100,60,4.95,14.02
BALLARAT AERODROME,20/09/2017,2.5,0.0, ,15.0,0.5,100,61,5.91,19.13
BALLARAT AERODROME,21/09/2017,4.3,0.0, ,20.7,7.6,100,34,7.54,15.57
BALLARAT AERODROME,22/09/2017,3.4,0.0, ,20.7,4.1,100,50,4.58,18.83
BALLARAT AERODROME,23/09/2017,5.5,0.0, ,25.6,10.3,100,30,7.16,18.40
BALLARAT AERODROME,24/09/2017,2.5,0.6, ,14.4,6.9,99,58,9.12,14.15
BALLARAT AERODROME,25/09/2017,1.7,3.4, ,12.1,7.2,100,74,5.38,12.76
BALLARAT AERODROME,26/09/2017,2.6,4.0, ,14.4,-0.9,100,40,1.94,20.55
BALLARAT AERODROME,27/09/2017,4.0,0.2, ,19.4,6.1,89,39,6.43,17.19
BALLARAT AERODROME,28/09/2017,2.4,0.0, ,14.1,4.5,99,52,5.16,12.78
BALLARAT AERODROME,29/09/2017,2.5,0.0, ,14.9,2.0,100,56,5.87,15.53
BALLARAT AERODROME,30/09/2017,2.4,0.8, ,13.4,6.2,100,56,6.05,14.81
Totals:,,71.5,50.4, ,,,,,, 
