'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/01/2021,5.3,0.0, ,26.1,12.8,94,51,5.62,23.44
BALLARAT AERODROME,02/01/2021,4.1,0.2, ,25.1,15.7,98,48,6.17,12.46
BALLARAT AERODROME,03/01/2021,5.1,40.6, ,23.9,14.7,98,51,5.45,25.54
BALLARAT AERODROME,04/01/2021,2.6,0.8, ,17.6,11.6,97,78,8.08,16.73
BALLARAT AERODROME,05/01/2021,2.5,3.8, ,18.2,11.9,98,75,7.76,13.40
BALLARAT AERODROME,06/01/2021,3.6,0.8, ,19.1,9.5,97,58,7.63,18.62
BALLARAT AERODROME,07/01/2021,5.3,0.0, ,22.5,10.7,96,53,7.33,30.28
BALLARAT AERODROME,08/01/2021,6.9,0.2, ,26.3,11.1,88,36,6.19,31.28
BALLARAT AERODROME,09/01/2021,7.7,0.0, ,31.0,9.9,93,26,4.59,31.11
BALLARAT AERODROME,10/01/2021,7.5,0.0, ,35.9,13.1,86,18,2.62,28.86
BALLARAT AERODROME,11/01/2021,10.1,0.0, ,33.6,19.1,52,19,7.28,24.14
BALLARAT AERODROME,12/01/2021,5.8,0.0, ,23.4,14.0,93,46,6.76,30.01
BALLARAT AERODROME,13/01/2021,8.0,0.0, ,30.4,4.6,97,16,6.24,21.30
BALLARAT AERODROME,14/01/2021,4.4,0.0, ,21.4,9.9,91,43,4.41,20.05
BALLARAT AERODROME,15/01/2021,3.6,0.0, ,16.3,4.9,94,48,7.09,18.75
BALLARAT AERODROME,16/01/2021,2.7,4.4, ,17.0,8.3,93,65,6.29,12.84
BALLARAT AERODROME,17/01/2021,4.9,0.4, ,20.3,5.7,97,41,3.91,29.69
BALLARAT AERODROME,18/01/2021,4.5,0.0, ,21.0,9.8,97,52,5.51,25.55
BALLARAT AERODROME,19/01/2021,5.1,0.2, ,18.8,8.9,95,42,8.23,29.91
BALLARAT AERODROME,20/01/2021,7.4,0.0, ,26.2,8.7,84,26,6.86,29.95
BALLARAT AERODROME,21/01/2021,7.7,0.0, ,31.2,12.0,74,18,3.93,29.56
BALLARAT AERODROME,22/01/2021,6.4,0.0, ,27.6,9.5,86,23,3.46,28.72
BALLARAT AERODROME,23/01/2021,7.2,0.0, ,32.2,11.1,98,25,3.58,29.43
BALLARAT AERODROME,24/01/2021,7.3,0.0, ,35.6,13.3,81,18,3.47,22.09
BALLARAT AERODROME,25/01/2021,9.0,0.0, ,36.5,21.0,93,17,7.67,14.09
BALLARAT AERODROME,26/01/2021,3.8,8.4, ,21.1,15.5,98,49,6.34,15.21
BALLARAT AERODROME,27/01/2021,5.8,0.4, ,21.0,8.2,84,42,10.23,28.68
BALLARAT AERODROME,28/01/2021,3.9,0.0, ,24.2,12.1,92,56,7.12,12.06
BALLARAT AERODROME,29/01/2021,1.4,38.0, ,19.6,14.8,98,88,6.27,5.72
BALLARAT AERODROME,30/01/2021,4.1,19.6, ,21.4,12.6,98,57,4.32,22.70
BALLARAT AERODROME,31/01/2021,5.3,0.0, ,22.1,10.5,91,47,6.80,28.48
Totals:,,169,117.8, ,,,,,, 
