'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/01/2013,8.8,0.0, ,33.5,10.8,84,14,4.05,33.31
BENDIGO AIRPORT,02/01/2013,7.5,0.0, ,28.6,11.4,82,20,4.26,31.46
BENDIGO AIRPORT,03/01/2013,8.4,0.0, ,37.7,13.2,56,16,2.69,31.52
BENDIGO AIRPORT,04/01/2013,10.9,0.0, ,40.8,18.2,57,13,4.52,31.43
BENDIGO AIRPORT,05/01/2013,10.7,0.0, ,38.2,21.7,52,19,5.22,30.93
BENDIGO AIRPORT,06/01/2013,10.5,0.0, ,34.8,16.4,64,20,6.76,31.24
BENDIGO AIRPORT,07/01/2013,11.0,0.0, ,41.0,18.8,56,7,4.35,31.26
BENDIGO AIRPORT,08/01/2013,10.2,0.0, ,35.6,15.9,68,12,5.84,27.64
BENDIGO AIRPORT,09/01/2013,6.8,0.0, ,23.5,11.3,72,27,5.74,30.26
BENDIGO AIRPORT,10/01/2013,6.8,0.0, ,30.5,9.0,74,13,2.35,31.10
BENDIGO AIRPORT,11/01/2013,11.7,0.0, ,40.6,14.8,71,8,5.35,30.48
BENDIGO AIRPORT,12/01/2013,4.6,0.0, ,25.5,16.0,77,36,3.98,13.30
BENDIGO AIRPORT,13/01/2013,3.4,0.0, ,20.7,15.1,81,39,3.99,8.64
BENDIGO AIRPORT,14/01/2013,6.8,0.6, ,26.4,6.9,87,21,4.33,30.75
BENDIGO AIRPORT,15/01/2013,7.6,0.0, ,31.5,10.6,79,14,3.31,30.23
BENDIGO AIRPORT,16/01/2013,9.1,0.0, ,35.5,14.9,57,9,3.85,30.38
BENDIGO AIRPORT,17/01/2013,10.0,0.0, ,41.3,16.8,45,7,3.60,28.46
BENDIGO AIRPORT,18/01/2013,9.9,0.0, ,34.8,21.2,69,14,5.56,29.56
BENDIGO AIRPORT,19/01/2013,7.5,0.0, ,27.4,13.0,70,25,5.78,27.56
BENDIGO AIRPORT,20/01/2013,8.3,0.0, ,33.3,11.9,79,13,3.86,30.00
BENDIGO AIRPORT,21/01/2013,9.1,0.0, ,35.5,15.1,79,10,4.25,29.97
BENDIGO AIRPORT,22/01/2013,7.8,0.0, ,30.7,13.1,88,20,4.53,29.99
BENDIGO AIRPORT,23/01/2013,7.7,0.0, ,28.6,13.8,80,22,5.41,29.88
BENDIGO AIRPORT,24/01/2013,7.7,0.0, ,34.9,13.4,83,12,2.91,29.19
BENDIGO AIRPORT,25/01/2013,7.0,0.0, ,30.0,19.0,64,31,5.75,18.04
BENDIGO AIRPORT,26/01/2013,7.0,0.0, ,25.9,12.6,72,32,5.86,29.41
BENDIGO AIRPORT,27/01/2013,6.5,0.0, ,27.2,12.3,82,34,5.16,26.34
BENDIGO AIRPORT,28/01/2013,8.3,0.0, ,31.5,11.6,85,20,5.31,29.17
BENDIGO AIRPORT,29/01/2013,7.0,0.0, ,24.5,13.3,76,28,6.57,29.04
BENDIGO AIRPORT,30/01/2013,5.9,0.0, ,27.8,7.1,81,23,2.44,29.04
BENDIGO AIRPORT,31/01/2013,7.2,0.0, ,29.5,12.3,74,26,5.21,24.90
Totals:,,251.7,0.6, ,,,,,, 
