'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/08/2021,1.4,10.6, ,13.8,5.0,98,46,1.94,12.04
BENDIGO AIRPORT,02/08/2021,1.5,0.0, ,13.5,1.3,97,60,3.47,11.23
BENDIGO AIRPORT,03/08/2021,1.1,7.0, ,11.4,5.3,97,69,3.48,7.61
BENDIGO AIRPORT,04/08/2021,1.3,1.4, ,13.1,3.8,97,68,4.20,10.05
BENDIGO AIRPORT,05/08/2021,1.5,0.2, ,15.1,5.2,96,60,2.99,9.08
BENDIGO AIRPORT,06/08/2021,1.1,0.2, ,12.5,4.6,98,64,2.17,6.77
BENDIGO AIRPORT,07/08/2021,1.2,0.0, ,13.7,8.6,94,62,2.21,6.75
BENDIGO AIRPORT,08/08/2021,1.3,0.2, ,15.0,1.5,98,52,1.56,10.08
BENDIGO AIRPORT,09/08/2021,1.4,0.2, ,14.6,4.6,95,60,2.24,8.77
BENDIGO AIRPORT,10/08/2021,2.0,0.0, ,17.0,1.9,98,45,3.03,13.17
BENDIGO AIRPORT,11/08/2021,2.7,0.0, ,17.6,8.4,93,36,5.29,4.83
BENDIGO AIRPORT,12/08/2021,1.4,3.2, ,14.9,2.0,98,63,2.32,10.85
BENDIGO AIRPORT,13/08/2021,1.4,0.0, ,14.9,1.2,100,61,2.04,11.44
BENDIGO AIRPORT,14/08/2021,1.4,0.2, ,15.4,1.2,99,56,1.52,11.92
BENDIGO AIRPORT,15/08/2021,2.3,0.2, ,16.7,2.0,98,36,3.08,13.79
BENDIGO AIRPORT,16/08/2021,1.9,0.2, ,14.9,4.4,97,53,3.76,11.82
BENDIGO AIRPORT,17/08/2021,1.8,0.0, ,14.6,7.6,90,60,3.74,9.12
BENDIGO AIRPORT,18/08/2021,1.4,0.0, ,15.2,1.3,98,56,1.48,11.44
BENDIGO AIRPORT,19/08/2021,1.7,0.2, ,16.3,1.5,98,57,2.06,13.43
BENDIGO AIRPORT,20/08/2021,1.6,0.0, ,15.5,2.7,95,55,2.53,7.92
BENDIGO AIRPORT,21/08/2021,1.7,1.0, ,17.9,1.1,99,55,1.43,14.37
BENDIGO AIRPORT,22/08/2021,2.8,0.0, ,21.0,2.5,99,29,2.50,14.81
BENDIGO AIRPORT,23/08/2021,2.1,5.4, ,14.3,9.4,94,49,4.33,10.74
BENDIGO AIRPORT,24/08/2021,2.4,0.2, ,13.1,3.6,87,41,4.48,14.36
BENDIGO AIRPORT,25/08/2021,2.2,0.0, ,14.2,3.4,91,48,4.22,12.37
BENDIGO AIRPORT,26/08/2021,2.0,0.0, ,13.5,0.5,93,51,3.82,11.63
BENDIGO AIRPORT,27/08/2021,1.7,0.2, ,15.5,-0.5,96,41,1.55,11.15
BENDIGO AIRPORT,28/08/2021,2.4,0.0, ,16.3,-1.5,96,38,2.97,15.52
BENDIGO AIRPORT,29/08/2021,1.9,4.4, ,15.5,7.0,95,52,2.30,12.58
BENDIGO AIRPORT,30/08/2021,1.8,0.0, ,16.6,1.0,97,50,2.01,11.12
BENDIGO AIRPORT,31/08/2021,3.4,0.2, ,22.2,2.9,93,32,3.37,14.94
Totals:,,55.8,35.2, ,,,,,, 
