'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/08/2022,1.3,5.4, ,13.0,5.9,97,69,4.08,8.22
BENDIGO AIRPORT,02/08/2022,1.8,0.0, ,15.1,1.2,99,50,3.86,11.65
BENDIGO AIRPORT,03/08/2022,2.3,8.0, ,17.5,6.9,93,50,4.98,11.65
BENDIGO AIRPORT,04/08/2022,2.0,1.8, ,16.9,7.0,97,50,3.87,9.40
BENDIGO AIRPORT,05/08/2022,1.5,0.0, ,13.1,6.6,98,60,3.96,8.21
BENDIGO AIRPORT,06/08/2022,1.0,9.2, ,13.2,6.8,99,68,1.54,7.62
BENDIGO AIRPORT,07/08/2022,1.2,0.0, ,14.1,3.0,99,61,1.56,9.32
BENDIGO AIRPORT,08/08/2022,1.2,0.0, ,13.8,0.2,98,47,1.61,5.23
BENDIGO AIRPORT,09/08/2022,1.6,0.0, ,13.1,-1.9,96,46,2.23,12.96
BENDIGO AIRPORT,10/08/2022,1.1,0.2, ,11.1,1.2,96,71,3.23,6.08
BENDIGO AIRPORT,11/08/2022,1.1,0.4, ,13.4,5.0,97,75,4.51,4.63
BENDIGO AIRPORT,12/08/2022,1.1,6.8, ,12.0,8.7,96,76,3.82,5.12
BENDIGO AIRPORT,13/08/2022,1.3,6.8, ,14.7,6.9,97,65,2.67,7.92
BENDIGO AIRPORT,14/08/2022,1.3,0.0, ,13.5,1.2,99,65,3.13,7.68
BENDIGO AIRPORT,15/08/2022,1.9,0.4, ,14.2,6.1,95,54,4.52,10.78
BENDIGO AIRPORT,16/08/2022,1.8,0.0, ,15.6,6.9,95,61,3.93,10.94
BENDIGO AIRPORT,17/08/2022,1.2,0.0, ,13.4,2.0,98,71,2.53,7.87
BENDIGO AIRPORT,18/08/2022,0.9,2.4, ,12.2,6.5,97,78,3.25,2.94
BENDIGO AIRPORT,19/08/2022,1.8,6.6, ,13.9,2.1,99,50,2.62,13.55
BENDIGO AIRPORT,20/08/2022,2.1,0.8, ,15.8,8.2,94,50,3.86,10.71
BENDIGO AIRPORT,21/08/2022,1.4,0.0, ,13.2,-1.1,98,51,1.39,12.60
BENDIGO AIRPORT,22/08/2022,2.2,0.2, ,16.4,3.4,94,48,4.08,9.63
BENDIGO AIRPORT,23/08/2022,1.9,9.2, ,11.6,4.2,94,55,4.20,13.88
BENDIGO AIRPORT,24/08/2022,1.2,0.8, ,11.8,2.5,97,69,2.44,8.60
BENDIGO AIRPORT,25/08/2022,1.8,0.0, ,15.8,6.6,94,59,2.63,11.02
BENDIGO AIRPORT,26/08/2022,1.9,0.0, ,16.8,3.9,98,54,1.84,14.48
BENDIGO AIRPORT,27/08/2022,2.3,0.2, ,17.3,4.5,94,54,3.27,14.68
BENDIGO AIRPORT,28/08/2022,2.3,0.0, ,18.6,6.5,96,58,3.85,13.01
BENDIGO AIRPORT,29/08/2022,1.0,0.8, ,13.2,10.8,97,81,3.16,4.19
BENDIGO AIRPORT,30/08/2022,1.4,30.6, ,14.5,6.4,98,73,3.92,8.52
BENDIGO AIRPORT,31/08/2022,1.6,0.6, ,13.9,-0.4,98,54,0.90,15.48
Totals:,,48.5,91.2, ,,,,,, 
