'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/03/2023,5.5,0.0, ,25.3,9.9,78,32,4.40,24.00
BENDIGO AIRPORT,02/03/2023,5.9,0.0, ,28.5,9.8,85,29,4.00,24.01
BENDIGO AIRPORT,03/03/2023,6.3,0.0, ,27.6,12.5,78,30,5.29,23.61
BENDIGO AIRPORT,04/03/2023,5.2,0.0, ,30.6,13.0,87,25,2.91,18.24
BENDIGO AIRPORT,05/03/2023,6.3,0.0, ,32.6,11.9,91,17,4.01,16.77
BENDIGO AIRPORT,06/03/2023,4.3,17.6, ,23.0,12.9,94,37,3.93,19.13
BENDIGO AIRPORT,07/03/2023,4.9,0.0, ,22.1,12.2,83,37,6.52,18.18
BENDIGO AIRPORT,08/03/2023,3.9,0.2, ,20.3,11.7,85,31,4.05,15.11
BENDIGO AIRPORT,09/03/2023,3.2,0.2, ,21.9,6.8,87,38,2.27,14.45
BENDIGO AIRPORT,10/03/2023,3.9,0.0, ,25.7,7.7,95,32,1.62,22.16
BENDIGO AIRPORT,11/03/2023,5.1,0.0, ,27.7,12.4,90,27,3.75,19.28
BENDIGO AIRPORT,12/03/2023,4.7,0.0, ,24.1,13.1,86,39,5.42,18.25
BENDIGO AIRPORT,13/03/2023,5.6,0.0, ,28.7,11.8,75,29,3.79,21.64
BENDIGO AIRPORT,14/03/2023,4.7,0.0, ,29.7,13.5,80,30,2.67,18.50
BENDIGO AIRPORT,15/03/2023,5.4,0.0, ,32.6,12.9,83,15,2.44,21.07
BENDIGO AIRPORT,16/03/2023,6.0,0.0, ,29.4,13.6,69,27,4.29,20.60
BENDIGO AIRPORT,17/03/2023,4.8,0.0, ,27.4,15.0,84,26,2.84,20.48
BENDIGO AIRPORT,18/03/2023,9.0,0.0, ,37.8,11.6,73,11,5.20,19.52
BENDIGO AIRPORT,19/03/2023,4.6,0.0, ,27.8,16.6,78,35,4.15,12.76
BENDIGO AIRPORT,20/03/2023,5.8,0.0, ,24.2,13.8,68,22,5.86,17.65
BENDIGO AIRPORT,21/03/2023,2.2,0.0, ,19.1,11.9,88,50,3.15,5.14
BENDIGO AIRPORT,22/03/2023,4.4,1.6, ,28.3,15.2,92,36,2.88,18.74
BENDIGO AIRPORT,23/03/2023,3.2,0.0, ,24.6,15.4,90,58,3.36,13.85
BENDIGO AIRPORT,24/03/2023,2.4,7.8, ,20.6,15.1,87,65,4.81,7.62
BENDIGO AIRPORT,25/03/2023,4.5,2.0, ,23.0,10.8,82,38,5.55,18.01
BENDIGO AIRPORT,26/03/2023,3.3,0.0, ,23.6,9.5,84,38,2.61,13.60
BENDIGO AIRPORT,27/03/2023,1.5,2.0, ,15.9,12.5,95,59,2.12,5.20
BENDIGO AIRPORT,28/03/2023,2.9,4.2, ,24.6,12.8,96,50,1.37,16.69
BENDIGO AIRPORT,29/03/2023,3.0,4.2, ,19.8,14.0,93,45,4.10,12.26
BENDIGO AIRPORT,30/03/2023,2.5,0.0, ,19.1,7.4,93,46,3.08,10.27
BENDIGO AIRPORT,31/03/2023,2.8,0.0, ,21.4,8.2,94,46,3.08,11.79
Totals:,,137.8,39.8, ,,,,,, 
