'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/04/2014,4.9,0.0, ,35.7,17.0,89,21,2.84,12.93
BREAKWATER (GEELONG RACECOURSE),02/04/2014,2.6,0.0, ,21.9,20.8,93,38,3.85,3.61
BREAKWATER (GEELONG RACECOURSE),03/04/2014,2.3,2.2, ,19.2,15.0,86,55,3.70,6.20
BREAKWATER (GEELONG RACECOURSE),04/04/2014,2.2,0.0, ,19.0,13.5,93,58,4.21,8.07
BREAKWATER (GEELONG RACECOURSE),05/04/2014,2.5,0.0, ,22.4,14.0,93,60,3.30,11.47
BREAKWATER (GEELONG RACECOURSE),06/04/2014,2.4,0.0, ,21.6,13.1,93,65,3.18,13.35
BREAKWATER (GEELONG RACECOURSE),07/04/2014,2.6,0.0, ,24.4,10.4,94,48,2.49,11.30
BREAKWATER (GEELONG RACECOURSE),08/04/2014,1.6,0.0, ,19.8,16.1,94,60,2.53,3.33
BREAKWATER (GEELONG RACECOURSE),09/04/2014,0.9,8.8, ,18.0,16.5,95,93,2.50,3.27
BREAKWATER (GEELONG RACECOURSE),10/04/2014,0.9,4.2, ,18.3,16.9,95,93,2.01,3.15
BREAKWATER (GEELONG RACECOURSE),11/04/2014,1.4,2.8, ,18.7,16.3,95,82,5.72,4.99
BREAKWATER (GEELONG RACECOURSE),12/04/2014,1.9,4.2, ,20.4,15.4,94,77,3.99,10.79
BREAKWATER (GEELONG RACECOURSE),13/04/2014,2.2,0.4, ,19.8,12.0,93,60,2.55,12.70
BREAKWATER (GEELONG RACECOURSE),14/04/2014,2.3,0.0, ,19.5,8.9,94,46,2.33,13.17
BREAKWATER (GEELONG RACECOURSE),15/04/2014, ,0.0, , ,10.4, , , ,10.29
BREAKWATER (GEELONG RACECOURSE),16/04/2014, , , ,20.1, ,94,55,1.20,12.60
BREAKWATER (GEELONG RACECOURSE),17/04/2014,2.2,0.0, ,24.0,8.5,94,35,1.20,14.15
BREAKWATER (GEELONG RACECOURSE),18/04/2014,2.5,0.4, ,18.9,8.7,94,42,3.80,8.81
BREAKWATER (GEELONG RACECOURSE),19/04/2014,2.2,0.6, ,18.1,10.3,86,44,2.87,8.84
BREAKWATER (GEELONG RACECOURSE),20/04/2014,2.6,0.0, ,20.3,11.4,85,39,2.79,13.25
BREAKWATER (GEELONG RACECOURSE),21/04/2014,3.6,0.0, ,22.0,11.6,66,37,4.54,8.55
BREAKWATER (GEELONG RACECOURSE),22/04/2014,1.9,9.2, ,18.6,13.0,93,46,2.84,5.45
BREAKWATER (GEELONG RACECOURSE),23/04/2014,2.0,0.0, ,18.6,6.2,94,45,2.11,12.20
BREAKWATER (GEELONG RACECOURSE),24/04/2014,2.4,0.0, ,17.4,10.2,92,41,3.45,11.96
BREAKWATER (GEELONG RACECOURSE),25/04/2014,2.0,0.0, ,18.7,3.6,93,41,2.08,13.50
BREAKWATER (GEELONG RACECOURSE),26/04/2014,2.3,0.2, ,16.7,10.7,92,41,4.31,6.51
BREAKWATER (GEELONG RACECOURSE),27/04/2014,1.9,0.2, ,16.4,6.1,92,48,2.62,11.10
BREAKWATER (GEELONG RACECOURSE),28/04/2014,2.2,0.0, ,22.2,3.2,94,31,2.05,6.51
BREAKWATER (GEELONG RACECOURSE),29/04/2014,2.0,0.0, ,20.8,9.9,93,54,3.93,2.42
BREAKWATER (GEELONG RACECOURSE),30/04/2014,1.8,14.2, ,16.0,9.7,93,48,2.86,9.38
Totals:,,62.3,47.4, ,,,,,, 
