'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/12/2014,6.2,0.6, ,28.1,17.0,92,46,3.98,29.32
BREAKWATER (GEELONG RACECOURSE),02/12/2014,5.9,0.2, ,25.1,14.9,86,43,3.44,30.67
BREAKWATER (GEELONG RACECOURSE),03/12/2014,1.4,0.0, ,20.2,14.4,95,83,2.84,4.67
BREAKWATER (GEELONG RACECOURSE),04/12/2014,5.6,3.4, ,26.3,14.8,95,56,3.68,30.50
BREAKWATER (GEELONG RACECOURSE),05/12/2014,2.4,0.0, ,19.6,17.1,93,73,5.05,9.47
BREAKWATER (GEELONG RACECOURSE),06/12/2014,2.3,9.0, ,19.0,14.8,94,79,5.90,11.07
BREAKWATER (GEELONG RACECOURSE),07/12/2014,1.5,11.4, ,16.4,13.4,94,85,4.95,6.50
BREAKWATER (GEELONG RACECOURSE),08/12/2014,2.6,1.2, ,19.0,13.9,94,67,3.88,11.73
BREAKWATER (GEELONG RACECOURSE),09/12/2014, ,0.2, , ,10.2,92,57,2.65,29.91
BREAKWATER (GEELONG RACECOURSE),10/12/2014, , , ,19.0, ,94,82,3.42,6.62
BREAKWATER (GEELONG RACECOURSE),11/12/2014,4.5,0.2, ,19.5,14.8,93,57,6.57,26.79
BREAKWATER (GEELONG RACECOURSE),12/12/2014,5.5,0.0, ,23.1,13.9,93,58,3.98,32.89
BREAKWATER (GEELONG RACECOURSE),13/12/2014,7.1,0.0, ,31.5,11.6,93,26,2.85,32.11
BREAKWATER (GEELONG RACECOURSE),14/12/2014,5.9,0.0, ,23.4,17.4,84,41,4.20,28.79
BREAKWATER (GEELONG RACECOURSE),15/12/2014,3.4,0.0, ,22.0,12.5,92,60,3.11,16.36
BREAKWATER (GEELONG RACECOURSE),16/12/2014,8.4,0.0, ,32.4,15.4,93,14,5.83,23.43
BREAKWATER (GEELONG RACECOURSE),17/12/2014,4.9,1.6, ,21.0,9.6,84,35,3.37,25.61
BREAKWATER (GEELONG RACECOURSE),18/12/2014,4.9,0.0, ,23.8,8.3,92,34,4.15,19.91
BREAKWATER (GEELONG RACECOURSE),19/12/2014,4.0,2.6, ,19.8,9.4,92,47,3.74,20.60
BREAKWATER (GEELONG RACECOURSE),20/12/2014,5.4,0.0, ,23.3,9.6,92,41,2.84,31.09
BREAKWATER (GEELONG RACECOURSE),21/12/2014,7.1,0.0, ,31.6,11.5,93,32,3.38,31.08
BREAKWATER (GEELONG RACECOURSE),22/12/2014,2.4,0.0, ,21.9,15.9,92,80,3.26,11.21
BREAKWATER (GEELONG RACECOURSE),23/12/2014,4.8,0.0, ,28.3,17.6,93,47,4.29,16.65
BREAKWATER (GEELONG RACECOURSE),24/12/2014,5.2,0.0, ,21.2,11.0,90,45,3.39,30.57
BREAKWATER (GEELONG RACECOURSE),25/12/2014,5.8,0.0, ,25.3,11.9,92,31,3.32,28.27
BREAKWATER (GEELONG RACECOURSE),26/12/2014,4.9,4.4, ,20.0,8.7,92,43,4.86,27.96
BREAKWATER (GEELONG RACECOURSE),27/12/2014,5.4, , ,21.3,7.3,92,41,2.82,33.92
BREAKWATER (GEELONG RACECOURSE),28/12/2014,6.4,0.0, ,28.6,10.1,93,36,2.59,32.83
BREAKWATER (GEELONG RACECOURSE),29/12/2014,6.0,0.0, ,26.6,14.1,91,31,6.19,18.52
BREAKWATER (GEELONG RACECOURSE),30/12/2014,6.4,1.0, ,23.3,13.0,85,33,6.75,28.85
BREAKWATER (GEELONG RACECOURSE),31/12/2014,5.6,0.0, ,23.1,9.6,88,40,2.66,32.68
Totals:,,141.9,35.8, ,,,,,, 
