'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/04/2016,4.5,0.0, ,27.1,13.0,95,28,4.26,14.30
BREAKWATER (GEELONG RACECOURSE),02/04/2016,3.4,0.0, ,22.2,15.1,92,36,3.89,13.09
BREAKWATER (GEELONG RACECOURSE),03/04/2016,2.2,0.0, ,19.0,9.6,92,49,2.10,12.30
BREAKWATER (GEELONG RACECOURSE),04/04/2016,2.6,0.0, ,21.6,10.0,94,49,1.35,18.53
BREAKWATER (GEELONG RACECOURSE),05/04/2016,5.6,0.0, ,31.7,9.9,94,18,4.14,14.22
BREAKWATER (GEELONG RACECOURSE),06/04/2016,1.6,3.2, ,17.3,13.1,94,54,2.60,4.11
BREAKWATER (GEELONG RACECOURSE),07/04/2016,2.2,2.8, ,18.8,7.9,93,54,2.46,12.15
BREAKWATER (GEELONG RACECOURSE),08/04/2016,2.1,0.0, ,20.6,12.5,93,46,2.02,8.65
BREAKWATER (GEELONG RACECOURSE),09/04/2016,2.8,0.0, ,22.7,12.9,92,44,2.90,11.77
BREAKWATER (GEELONG RACECOURSE),10/04/2016,3.2,0.0, ,22.6,13.9,92,47,4.61,12.67
BREAKWATER (GEELONG RACECOURSE),11/04/2016,2.4,0.0, ,20.4,13.8,93,59,3.57,11.80
BREAKWATER (GEELONG RACECOURSE),12/04/2016,2.6,0.0, ,19.8,12.4,94,49,3.27,13.79
BREAKWATER (GEELONG RACECOURSE),13/04/2016,1.9,1.0, ,19.5,12.5,95,48,1.84,9.66
BREAKWATER (GEELONG RACECOURSE),14/04/2016,1.8,0.0, ,21.9,11.1,95,60,1.33,11.36
BREAKWATER (GEELONG RACECOURSE),15/04/2016,3.3,0.0, ,28.1,9.0,96,26,2.05,16.68
BREAKWATER (GEELONG RACECOURSE),16/04/2016,1.7,0.2, ,17.5,12.8,95,60,3.36,6.28
BREAKWATER (GEELONG RACECOURSE),17/04/2016,2.2,0.4, ,18.5,12.6,92,58,3.83,10.62
BREAKWATER (GEELONG RACECOURSE),18/04/2016,2.1,0.0, ,23.9,7.5,95,46,1.31,13.63
BREAKWATER (GEELONG RACECOURSE),19/04/2016,2.4,0.0, ,27.0,9.4,95,32,1.15,15.05
BREAKWATER (GEELONG RACECOURSE),20/04/2016,3.1,0.0, ,30.2,9.3,93,25,1.72,14.21
BREAKWATER (GEELONG RACECOURSE),21/04/2016,2.3,0.0, ,23.3,17.6,95,39,2.88,5.02
BREAKWATER (GEELONG RACECOURSE),22/04/2016,2.3,6.4, ,17.2,11.4,95,51,4.50,10.21
BREAKWATER (GEELONG RACECOURSE),23/04/2016,1.9,0.0, ,19.4,11.9,93,63,2.57,12.69
BREAKWATER (GEELONG RACECOURSE),24/04/2016,1.7,0.0, ,19.7,8.3,95,52,1.32,13.03
BREAKWATER (GEELONG RACECOURSE),25/04/2016,2.6,0.0, ,26.6,6.3,96,33,1.69,15.06
BREAKWATER (GEELONG RACECOURSE),26/04/2016,3.0,0.0, ,26.7,10.0,92,25,2.18,14.82
BREAKWATER (GEELONG RACECOURSE),27/04/2016,4.4,0.0, ,26.4,14.9,62,33,4.65,12.04
BREAKWATER (GEELONG RACECOURSE),28/04/2016,2.0,0.0, ,21.7,19.5,95,35,2.44,3.91
BREAKWATER (GEELONG RACECOURSE),29/04/2016,1.1,1.6, ,18.7,15.1,95,80,2.07,4.51
BREAKWATER (GEELONG RACECOURSE),30/04/2016,2.7,7.8, ,24.9,10.0,96,47,3.52,11.56
Totals:,,77.7,23.4, ,,,,,, 
