'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/07/2017,0.6,0.0, ,12.0,0.5,97,58,0.98,9.20
BREAKWATER (GEELONG RACECOURSE),02/07/2017,1.2,0.0, ,14.9,-2.2,96,39,2.00,9.22
BREAKWATER (GEELONG RACECOURSE),03/07/2017,1.0,0.0, ,11.6,0.3,96,64,3.09,3.02
BREAKWATER (GEELONG RACECOURSE),04/07/2017,1.1,6.2, ,15.8,8.1,95,68,3.14,7.73
BREAKWATER (GEELONG RACECOURSE),05/07/2017,1.0,1.2, ,14.3,7.3,96,69,2.97,8.80
BREAKWATER (GEELONG RACECOURSE),06/07/2017,1.1,0.2, ,14.9,3.3,95,49,2.05,9.32
BREAKWATER (GEELONG RACECOURSE),07/07/2017,1.0,0.8, ,14.8,5.9,96,58,2.17,9.00
BREAKWATER (GEELONG RACECOURSE),08/07/2017,1.3,0.0, ,14.6,5.2,95,56,3.01,6.45
BREAKWATER (GEELONG RACECOURSE),09/07/2017,1.5,0.4, ,14.1,6.4,94,57,4.44,8.56
BREAKWATER (GEELONG RACECOURSE),10/07/2017,1.4,0.0, ,16.0,5.9,94,58,3.58,8.55
BREAKWATER (GEELONG RACECOURSE),11/07/2017,1.0,0.0, ,16.1,5.4,96,53,1.52,9.61
BREAKWATER (GEELONG RACECOURSE),12/07/2017,0.8,0.0, ,13.7,0.6,97,63,1.52,9.34
BREAKWATER (GEELONG RACECOURSE),13/07/2017,1.7,0.0, ,14.6,3.7,95,45,4.02,4.54
BREAKWATER (GEELONG RACECOURSE),14/07/2017,1.6,4.2, ,14.7,8.9,95,52,4.15,7.63
BREAKWATER (GEELONG RACECOURSE),15/07/2017,1.2,0.0, ,13.5,4.6,94,54,2.90,9.62
BREAKWATER (GEELONG RACECOURSE),16/07/2017,1.3,0.0, ,12.9,2.0,94,53,3.23,8.08
BREAKWATER (GEELONG RACECOURSE),17/07/2017,1.5,2.4, ,14.5,6.1,94,59,4.81,6.16
BREAKWATER (GEELONG RACECOURSE),18/07/2017,1.3,2.6, ,15.0,7.3,95,63,3.95,7.48
BREAKWATER (GEELONG RACECOURSE),19/07/2017,1.0,4.8, ,12.8,7.7,96,80,5.19,7.71
BREAKWATER (GEELONG RACECOURSE),20/07/2017,1.1,2.4, ,12.2,6.8,96,70,4.18,8.48
BREAKWATER (GEELONG RACECOURSE),21/07/2017,0.9,0.8, ,13.4,2.0,95,65,1.93,10.37
BREAKWATER (GEELONG RACECOURSE),22/07/2017,1.7,0.0, ,15.2,2.1,95,46,3.69,5.80
BREAKWATER (GEELONG RACECOURSE),23/07/2017,1.6,0.2, ,14.3,6.7,96,51,3.76,6.44
BREAKWATER (GEELONG RACECOURSE),24/07/2017,1.1,4.8, ,15.4,7.2,96,68,2.61,8.80
BREAKWATER (GEELONG RACECOURSE),25/07/2017,2.3,0.4, ,19.4,7.3,95,46,4.56,8.65
BREAKWATER (GEELONG RACECOURSE),26/07/2017,1.5,0.0, ,15.7,10.0,93,65,4.47,8.62
BREAKWATER (GEELONG RACECOURSE),27/07/2017,1.2,0.2, ,14.8,2.8,96,59,2.51,8.19
BREAKWATER (GEELONG RACECOURSE),28/07/2017,1.6,11.2, ,14.9,7.3,95,49,3.15,10.54
BREAKWATER (GEELONG RACECOURSE),29/07/2017,2.7,0.0, ,17.0,8.8,92,41,6.54,6.22
BREAKWATER (GEELONG RACECOURSE),30/07/2017,2.2,0.6, ,16.3,10.9,93,51,5.68,11.02
BREAKWATER (GEELONG RACECOURSE),31/07/2017,1.1,0.0, ,16.2,2.3,96,51,1.19,11.19
Totals:,,41.6,43.4, ,,,,,, 
