'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/03/2011,3.9,0.4, ,16.2,12.8,91,48,6.62,23.37
CAPE NELSON LIGHTHOUSE,02/03/2011,3.4,0.0, ,17.9,12.4,85,60,6.22,18.10
CAPE NELSON LIGHTHOUSE,03/03/2011,3.8,0.0, ,17.1,13.6,83,57,7.06,20.76
CAPE NELSON LIGHTHOUSE,04/03/2011,3.2,0.0, ,15.4,12.4,82,54,5.90,15.94
CAPE NELSON LIGHTHOUSE,05/03/2011,4.0,0.6, ,16.2,12.5,80,53,8.39,22.13
CAPE NELSON LIGHTHOUSE,06/03/2011,4.7,0.0, ,23.8,13.1,94,57,6.42,26.16
CAPE NELSON LIGHTHOUSE,07/03/2011,8.3,0.0, ,33.7,14.7,79,29,6.95,24.08
CAPE NELSON LIGHTHOUSE,08/03/2011,3.9,0.0, ,25.6,18.8,99,38,5.06,9.63
CAPE NELSON LIGHTHOUSE,09/03/2011,1.8,0.6, ,16.8,14.8,98,83,4.99,10.76
CAPE NELSON LIGHTHOUSE,10/03/2011,2.2,0.0, ,16.6,14.0,98,69,6.45,11.51
CAPE NELSON LIGHTHOUSE,11/03/2011,3.1,0.0, ,20.9,14.2,98,72,4.47,19.93
CAPE NELSON LIGHTHOUSE,12/03/2011,5.1,0.0, ,28.7,16.0,99,42,3.84,23.22
CAPE NELSON LIGHTHOUSE,13/03/2011,2.8,0.0, ,19.7,15.1,99,66,4.39,16.02
CAPE NELSON LIGHTHOUSE,14/03/2011,3.9,0.0, ,18.3,14.7,83,63,6.04,24.75
CAPE NELSON LIGHTHOUSE,15/03/2011,3.3,0.0, ,19.1,11.9,98,62,5.14,22.66
CAPE NELSON LIGHTHOUSE,16/03/2011,3.2,0.0, ,17.3,14.0,91,60,5.71,19.66
CAPE NELSON LIGHTHOUSE,17/03/2011,3.6,0.0, ,17.4,12.7,68,54,5.05,16.80
CAPE NELSON LIGHTHOUSE,18/03/2011,3.0,0.0, ,16.4,13.0,78,63,5.91,14.85
CAPE NELSON LIGHTHOUSE,19/03/2011,3.0,0.0, ,17.5,13.3,98,67,7.40,21.33
CAPE NELSON LIGHTHOUSE,20/03/2011,3.2,0.0, ,23.1,13.8,98,70,5.35,19.14
CAPE NELSON LIGHTHOUSE,21/03/2011,1.3,4.4, ,18.6,16.0,99,85,3.80,6.42
CAPE NELSON LIGHTHOUSE,22/03/2011,1.6,3.8, ,18.0,15.4,99,98,5.92,15.45
CAPE NELSON LIGHTHOUSE,23/03/2011,1.2,1.6, ,17.5,13.5,99,98,4.47,10.15
CAPE NELSON LIGHTHOUSE,24/03/2011,2.1,10.6, ,16.6,14.1,99,79,5.89,15.36
CAPE NELSON LIGHTHOUSE,25/03/2011,2.7,1.0, ,16.3,13.5,98,59,8.39,15.09
CAPE NELSON LIGHTHOUSE,26/03/2011,2.7,0.2, ,17.3,12.3,94,69,5.91,19.07
CAPE NELSON LIGHTHOUSE,27/03/2011,1.8,0.0, ,16.2,13.7,95,73,3.63,10.08
CAPE NELSON LIGHTHOUSE,28/03/2011,2.9,0.0, ,17.8,13.3,96,70,4.96,21.61
CAPE NELSON LIGHTHOUSE,29/03/2011,3.4,0.0, ,22.8,12.3,98,62,4.32,20.98
CAPE NELSON LIGHTHOUSE,30/03/2011,2.7,1.0, ,16.4,11.8,98,55,5.42,16.31
CAPE NELSON LIGHTHOUSE,31/03/2011,3.0,0.0, ,17.3,13.1,76,54,3.58,17.35
Totals:,,98.8,24.2, ,,,,,, 
