'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/06/2012,1.2,0.0, ,16.8,6.7,98,63,3.04,7.17
CAPE NELSON LIGHTHOUSE,02/06/2012,1.4,0.0, ,14.5,6.4,100,67,7.17,3.66
CAPE NELSON LIGHTHOUSE,03/06/2012,1.4,8.0, ,13.2,8.7,95,69,8.01,3.93
CAPE NELSON LIGHTHOUSE,04/06/2012,1.2,23.2, ,14.0,9.5,100,77,13.46,2.07
CAPE NELSON LIGHTHOUSE,05/06/2012,2.2,6.4, ,13.4,11.6,82,67,13.17,3.15
CAPE NELSON LIGHTHOUSE,06/06/2012,2.1,0.0, ,13.1,11.3,81,64,8.86,3.62
CAPE NELSON LIGHTHOUSE,07/06/2012,1.8,0.0, ,13.8,11.2,73,64,5.20,7.00
CAPE NELSON LIGHTHOUSE,08/06/2012,1.4,0.0, ,13.5,11.1,90,63,4.67,5.74
CAPE NELSON LIGHTHOUSE,09/06/2012,1.7,0.0, ,12.7,10.9,69,58,3.55,3.13
CAPE NELSON LIGHTHOUSE,10/06/2012,1.4,0.0, ,12.9,11.2,89,63,4.77,3.71
CAPE NELSON LIGHTHOUSE,11/06/2012,1.3,0.0, ,14.7,9.1,90,58,3.43,7.03
CAPE NELSON LIGHTHOUSE,12/06/2012,1.7,0.0, ,15.8,5.9,90,60,5.43,6.92
CAPE NELSON LIGHTHOUSE,13/06/2012,1.8,0.0, ,14.8,8.6,91,62,7.74,2.70
CAPE NELSON LIGHTHOUSE,14/06/2012,1.8,2.0, ,15.3,9.7,95,61,7.57,4.02
CAPE NELSON LIGHTHOUSE,15/06/2012,1.3,2.0, ,14.4,8.0,95,71,6.78,6.68
CAPE NELSON LIGHTHOUSE,16/06/2012,0.9,2.2, ,14.5,9.2,99,82,8.46,4.04
CAPE NELSON LIGHTHOUSE,17/06/2012,1.4,5.4, ,14.7,10.4,98,69,7.76,5.47
CAPE NELSON LIGHTHOUSE,18/06/2012,1.7,6.4, ,15.1,11.2,100,57,7.39,4.76
CAPE NELSON LIGHTHOUSE,19/06/2012,1.8,4.0, ,13.7,10.4,79,53,4.70,7.15
CAPE NELSON LIGHTHOUSE,20/06/2012,1.5,0.0, ,13.6,6.3,98,65,8.02,3.90
CAPE NELSON LIGHTHOUSE,21/06/2012,1.0,4.0, ,12.2,9.7,95,67,3.42,2.10
CAPE NELSON LIGHTHOUSE,22/06/2012,1.8,32.4, ,12.6,7.6,96,57,9.31,6.13
CAPE NELSON LIGHTHOUSE,23/06/2012,1.5,4.4, ,14.0,8.9,96,68,9.57,5.64
CAPE NELSON LIGHTHOUSE,24/06/2012,1.3,4.4, ,14.3,10.9,97,74,8.53,5.83
CAPE NELSON LIGHTHOUSE,25/06/2012,1.8,2.8, ,13.9,12.1,95,57,7.63,4.38
CAPE NELSON LIGHTHOUSE,26/06/2012,1.2,1.6, ,12.4,7.3,89,59,3.06,4.43
CAPE NELSON LIGHTHOUSE,27/06/2012,1.2,0.0, ,11.4,4.9,92,61,4.02,7.36
CAPE NELSON LIGHTHOUSE,28/06/2012,1.3,0.0, ,11.2,3.1,90,69,7.38,3.24
CAPE NELSON LIGHTHOUSE,29/06/2012,1.3,3.6, ,12.0,6.2,98,69,8.00,4.61
CAPE NELSON LIGHTHOUSE,30/06/2012,1.0,15.4, ,11.8,7.8,98,75,6.77,3.26
Totals:,,44.4,128.2, ,,,,,, 
