'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/03/2018,2.9,3.6, ,19.1,14.8,89,68,5.21,14.90
CAPE OTWAY LIGHTHOUSE,02/03/2018,3.7,0.2, ,22.1,15.0,85,64,4.24,19.76
CAPE OTWAY LIGHTHOUSE,03/03/2018,4.7,0.0, ,23.7,14.5,87,43,6.61,16.23
CAPE OTWAY LIGHTHOUSE,04/03/2018,3.9,0.0, ,18.5,15.0,73,51,6.22,14.06
CAPE OTWAY LIGHTHOUSE,05/03/2018,3.5,0.0, ,19.0,14.9,80,55,4.66,16.41
CAPE OTWAY LIGHTHOUSE,06/03/2018,3.7,0.4, ,19.8,15.0,82,60,6.05,18.11
CAPE OTWAY LIGHTHOUSE,07/03/2018,3.9,0.0, ,21.4,16.3,90,65,5.94,22.33
CAPE OTWAY LIGHTHOUSE,08/03/2018,3.8,0.0, ,21.0,12.7,89,61,5.43,22.10
CAPE OTWAY LIGHTHOUSE,09/03/2018,3.9,0.0, ,22.5,15.5,94,63,5.74,21.85
CAPE OTWAY LIGHTHOUSE,10/03/2018,5.6,0.0, ,29.3,13.8,86,27,3.69,21.60
CAPE OTWAY LIGHTHOUSE,11/03/2018,3.7,0.0, ,18.2,17.5,87,35,6.15,9.69
CAPE OTWAY LIGHTHOUSE,12/03/2018,3.4,0.0, ,18.4,15.0,73,59,7.40,9.43
CAPE OTWAY LIGHTHOUSE,13/03/2018,3.3,0.0, ,19.2,14.7,82,58,5.78,13.30
CAPE OTWAY LIGHTHOUSE,14/03/2018,3.2,0.0, ,19.1,15.2,70,58,3.80,13.92
CAPE OTWAY LIGHTHOUSE,15/03/2018,2.3,0.0, ,18.8,14.0,82,66,3.54,9.00
CAPE OTWAY LIGHTHOUSE,16/03/2018,3.5,1.0, ,22.2,14.2,88,48,4.65,12.34
CAPE OTWAY LIGHTHOUSE,17/03/2018,8.6,0.0, ,33.4,15.6,60,17,6.74,16.78
CAPE OTWAY LIGHTHOUSE,18/03/2018, ,8.0, , ,13.5,90,31,10.18,13.59
CAPE OTWAY LIGHTHOUSE,19/03/2018, , , , , , , , ,10.57
CAPE OTWAY LIGHTHOUSE,20/03/2018, , , , , , , , ,10.86
CAPE OTWAY LIGHTHOUSE,21/03/2018, , , , , , , , ,17.70
CAPE OTWAY LIGHTHOUSE,22/03/2018,3.8, , ,19.5,15.9,83,62,8.93,18.86
CAPE OTWAY LIGHTHOUSE,23/03/2018,4.9,0.0, ,26.1,15.9,90,39,5.59,18.18
CAPE OTWAY LIGHTHOUSE,24/03/2018,3.6,7.8, ,24.3,17.1,92,49,4.07,15.49
CAPE OTWAY LIGHTHOUSE,25/03/2018,3.5,8.4, ,18.6,13.2,93,51,11.11,11.40
CAPE OTWAY LIGHTHOUSE,26/03/2018,2.8,22.6, ,15.0,8.5,90,56,11.37,8.86
CAPE OTWAY LIGHTHOUSE,27/03/2018,3.0,4.0, ,21.5,11.4,82,54,4.19,12.01
CAPE OTWAY LIGHTHOUSE,28/03/2018,4.4,0.0, ,19.6,12.1,93,26,8.19,10.50
CAPE OTWAY LIGHTHOUSE,29/03/2018,3.1,0.2, ,19.6,14.2,87,56,5.66,13.29
CAPE OTWAY LIGHTHOUSE,30/03/2018,2.6,2.0, ,18.1,14.9,91,67,7.66,11.85
CAPE OTWAY LIGHTHOUSE,31/03/2018,3.0,0.4, ,17.8,13.6,70,51,3.75,12.18
Totals:,,102.3,58.6, ,,,,,, 
