'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/04/2011,2.2,0.0, ,17.7,3.7,98,61,2.61,14.96
CASTERTON,02/04/2011,2.4,0.0, ,17.3,5.4,93,54,2.55,17.02
CASTERTON,03/04/2011,1.8,0.0, ,15.8,9.9,95,68,2.62,10.66
CASTERTON,04/04/2011,2.0,0.0, ,17.7,5.8,99,61,2.60,12.58
CASTERTON,05/04/2011,3.3,0.0, ,20.7,10.6,88,53,3.76,20.17
CASTERTON,06/04/2011,3.6,0.0, ,25.7,9.8,93,41,2.50,19.99
CASTERTON,07/04/2011,3.9,0.0, ,25.2,9.9,93,39,3.30,19.90
CASTERTON,08/04/2011,5.2,0.0, ,26.9,13.5,68,31,4.59,19.66
CASTERTON,09/04/2011,2.5,0.0, ,17.1,17.1,94,45,4.90,7.20
CASTERTON,10/04/2011,1.7,10.8, ,13.6,7.5,97,68,4.94,10.56
CASTERTON,11/04/2011,2.0,13.0, ,16.6,9.6,96,70,4.62,13.13
CASTERTON,12/04/2011,1.3,0.6, ,14.2,9.7,99,74,2.87,8.30
CASTERTON,13/04/2011,1.4,0.6, ,15.1,10.4,99,81,2.85,10.80
CASTERTON,14/04/2011,1.6,2.0, ,17.8,7.0,100,71,1.89,11.20
CASTERTON,15/04/2011,2.5,0.0, ,19.8,11.3,91,59,3.35,15.58
CASTERTON,16/04/2011,2.5,0.0, ,19.0,8.9,98,56,3.46,17.25
CASTERTON,17/04/2011,2.3,0.2, ,19.8,4.1,99,55,1.93,17.96
CASTERTON,18/04/2011,2.4,0.2, ,20.8,3.7,99,47,2.52,14.69
CASTERTON,19/04/2011,1.4,0.0, ,18.0,10.5,98,72,2.27,6.95
CASTERTON,20/04/2011,1.1,6.2, ,15.1,11.9,100,85,1.10,7.21
CASTERTON,21/04/2011,1.3,1.2, ,16.2,4.1,99,81,3.23,11.64
CASTERTON,22/04/2011,1.8,9.6, ,16.6,8.9,98,60,3.40,11.45
CASTERTON,23/04/2011,1.5,0.4, ,16.0,6.4,98,67,2.76,9.58
CASTERTON,24/04/2011,1.6,0.2, ,19.9,6.8,98,55,1.00,11.75
CASTERTON,25/04/2011,2.0,0.0, ,21.1,5.4,99,51,1.45,16.08
CASTERTON,26/04/2011,2.7,0.0, ,23.0,7.8,92,36,2.24,15.95
CASTERTON,27/04/2011,2.4,0.0, ,22.5,9.1,95,51,2.31,15.74
CASTERTON,28/04/2011,2.8,0.0, ,21.2,8.7,93,43,3.28,15.96
CASTERTON,29/04/2011,2.9,0.0, ,23.3,12.2,89,45,3.48,15.20
CASTERTON,30/04/2011,1.1,0.0, ,15.9,12.8,96,69,1.29,5.50
Totals:,,67.2,45, ,,,,,, 
