'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/07/2013,0.6,1.2, ,15.9,10.6,100,91,5.15,4.85
CASTERTON,02/07/2013,1.0,1.2, ,16.6,11.5,100,80,5.98,7.04
CASTERTON,03/07/2013,1.7,0.2, ,16.2,7.7,100,58,6.06,10.38
CASTERTON,04/07/2013,1.1,0.0, ,12.7,7.1,100,74,7.11,3.21
CASTERTON,05/07/2013,0.9,12.2, ,11.8,4.6,99,79,6.05,8.31
CASTERTON,06/07/2013,0.7,2.6, ,13.0,5.9,100,84,3.75,6.57
CASTERTON,07/07/2013,0.6,1.6, ,12.0,4.0,100,83,2.30,7.20
CASTERTON,08/07/2013,0.7,0.2, ,13.8,0.9,100,70,1.40,9.07
CASTERTON,09/07/2013,0.6,0.8, ,12.3,-2.5,100,79,1.58,9.62
CASTERTON,10/07/2013,0.8,0.0, ,12.4,0.3,100,69,2.36,10.73
CASTERTON,11/07/2013,0.9,0.0, ,14.8,2.2,99,76,3.32,9.53
CASTERTON,12/07/2013,0.6,0.2, ,12.9,6.1,100,90,3.24,7.05
CASTERTON,13/07/2013,0.4,10.0, ,14.1,8.0,100,99,6.08,2.64
CASTERTON,14/07/2013,0.5,11.0, ,15.9,12.4,100,96,4.31,4.03
CASTERTON,15/07/2013,0.8,9.6, ,16.8,10.6,100,83,2.35,5.42
CASTERTON,16/07/2013,0.8,2.8, ,15.4,10.6,100,84,2.44,8.09
CASTERTON,17/07/2013,0.9,0.4, ,15.6,8.9,100,85,4.63,10.79
CASTERTON,18/07/2013,1.2,8.2, ,16.3,10.0,100,79,8.26,5.45
CASTERTON,19/07/2013,0.6,4.6, ,13.6,10.7,100,93,5.83,3.96
CASTERTON,20/07/2013,0.4,6.0, ,8.0,3.7,100,97,3.72,3.61
CASTERTON,21/07/2013,0.8,20.4, ,11.6,4.3,100,83,4.64,11.09
CASTERTON,22/07/2013,0.5,1.2, ,9.6,2.1,100,96,2.44,8.04
CASTERTON,23/07/2013,0.8,2.6, ,12.7,4.6,100,78,2.77,7.99
CASTERTON,24/07/2013,0.8,0.0, ,12.5,7.1,100,79,1.99,7.18
CASTERTON,25/07/2013,0.7,0.0, ,12.3,1.6,100,87,3.66,9.06
CASTERTON,26/07/2013,1.1,0.2, ,16.2,6.3,100,76,2.61,10.90
CASTERTON,27/07/2013,1.0,0.2, ,12.6,6.5,100,76,5.58,5.79
CASTERTON,28/07/2013,1.2,3.4, ,15.0,9.2,100,74,6.21,5.73
CASTERTON,29/07/2013,0.8,3.8, ,13.8,9.3,100,88,4.13,7.23
CASTERTON,30/07/2013,1.0,4.2, ,13.9,2.0,100,66,1.84,10.04
CASTERTON,31/07/2013,1.2,0.0, ,14.3,5.7,99,63,2.47,11.08
Totals:,,25.7,108.8, ,,,,,, 
