'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/05/2022,0.7,0.2, ,18.1,10.3,100,100,4.58,8.58
CASTERTON,02/05/2022,2.4,1.8, ,18.7,13.1,100,38,4.30,7.70
CASTERTON,03/05/2022,3.0,0.0, ,22.0,10.0,100,47,5.90,11.03
CASTERTON,04/05/2022,1.7,3.0, ,14.8,10.2,100,54,3.45,10.17
CASTERTON,05/05/2022,0.9,0.2, ,12.5,3.2,100,76,2.49,6.73
CASTERTON,06/05/2022,1.4,5.0, ,13.9,1.4,100,53,2.35,8.88
CASTERTON,07/05/2022,1.0,6.6, ,15.5,4.4,100,85,4.20,7.96
CASTERTON,08/05/2022,1.0,3.6, ,16.3,8.1,100,73,1.33,7.72
CASTERTON,09/05/2022,1.0,0.0, ,15.3,7.3,100,53,0.92,5.94
CASTERTON,10/05/2022,1.3,0.0, ,17.7,1.4,100,53,1.39,11.46
CASTERTON,11/05/2022,1.4,0.0, ,18.0,5.3,100,45,1.70,8.67
CASTERTON,12/05/2022,1.7,2.8, ,18.0,8.9,100,38,2.46,6.10
CASTERTON,13/05/2022,1.8,0.2, ,20.0,10.5,100,39,2.36,7.94
CASTERTON,14/05/2022,1.9,0.2, ,20.4,12.5,100,66,6.80,6.27
CASTERTON,15/05/2022,1.4,0.0, ,18.3,12.2,100,75,6.43,6.84
CASTERTON,16/05/2022,1.1,3.4, ,14.4,9.3,100,77,4.56,9.06
CASTERTON,17/05/2022,1.1,4.2, ,14.4,6.0,100,78,4.49,9.29
CASTERTON,18/05/2022,1.2,1.8, ,14.3,6.5,100,68,3.85,8.16
CASTERTON,19/05/2022,1.4,0.2, ,15.0,2.6,100,46,2.24,8.63
CASTERTON,20/05/2022,1.1,0.0, ,14.2,8.0,100,73,4.12,10.07
CASTERTON,21/05/2022,1.3,0.0, ,15.9,3.2,100,66,3.60,10.39
CASTERTON,22/05/2022,1.6,0.0, ,16.2,5.6,100,47,3.08,9.71
CASTERTON,23/05/2022,1.3,0.0, ,19.6,1.7,100,55,1.67,10.24
CASTERTON,24/05/2022,1.8,0.0, ,19.2,5.6,100,53,3.79,10.14
CASTERTON,25/05/2022,1.1,0.0, ,16.5,11.4,100,80,5.68,6.92
CASTERTON,26/05/2022,1.7,6.0, ,16.2,12.3,100,40,3.34,5.94
CASTERTON,27/05/2022,1.3,2.2, ,15.8,6.3,100,44,2.00,8.23
CASTERTON,28/05/2022,1.3,0.6, ,14.2,5.2,100,49,2.77,8.95
CASTERTON,29/05/2022,1.2,4.2, ,13.1,3.7,100,51,2.52,6.72
CASTERTON,30/05/2022,1.3,3.2, ,11.6,5.9,100,56,4.04,5.92
CASTERTON,31/05/2022,0.3,11.0, ,8.4,4.7,100,100,5.38,6.94
Totals:,,42.7,60.4, ,,,,,, 
