'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/06/2011,0.6,0.0, ,13.4,2.1,95,74,0.79,9.46
CERBERUS,02/06/2011,1.2,0.2, ,19.1,4.1,95,52,1.79,10.63
CERBERUS,03/06/2011,1.2,0.0, ,16.9,9.1,90,63,2.55,7.42
CERBERUS,04/06/2011,1.4,0.0, ,15.2,10.7,90,56,3.34,10.67
CERBERUS,05/06/2011,2.0,0.0, ,15.4,8.8,89,43,4.88,9.71
CERBERUS,06/06/2011,1.3,9.2, ,12.3,5.9,89,53,3.25,9.44
CERBERUS,07/06/2011,1.6,0.8, ,10.5,8.0,89,52,6.02,6.39
CERBERUS,08/06/2011,1.8,8.8, ,11.9,5.1,84,60,8.10,9.66
CERBERUS,09/06/2011,1.4,1.0, ,13.3,8.5,79,71,5.35,8.37
CERBERUS,10/06/2011,1.1,0.0, ,13.7,9.6,83,65,2.94,10.27
CERBERUS,11/06/2011,0.8,0.0, ,14.2,8.1,92,65,1.75,9.98
CERBERUS,12/06/2011,0.6,0.4, ,14.0,4.0,95,75,1.02,10.06
CERBERUS,13/06/2011,0.7,0.2, ,14.1,2.7,95,64,1.30,10.08
CERBERUS,14/06/2011,0.6,0.2, ,13.7,1.3,94,62,1.14,10.12
CERBERUS,15/06/2011,0.5,0.0, ,13.5,1.2,95,70,0.93,10.30
CERBERUS,16/06/2011,0.6,0.2, ,11.9,0.3,95,73,1.48,8.27
CERBERUS,17/06/2011,1.3,5.0, ,12.9,5.3,91,62,4.27,7.00
CERBERUS,18/06/2011,1.0,4.4, ,14.7,9.1,92,75,3.99,7.78
CERBERUS,19/06/2011,1.4,0.6, ,16.1,9.6,92,63,4.34,7.66
CERBERUS,20/06/2011,2.4,4.4, ,17.4,10.5,91,46,6.42,8.26
CERBERUS,21/06/2011,1.8,7.0, ,10.6,7.0,88,47,6.48,8.92
CERBERUS,22/06/2011,1.3,2.2, ,12.8,6.5,90,71,6.16,5.91
CERBERUS,23/06/2011,1.0,8.6, ,14.6,8.4,90,73,3.50,8.43
CERBERUS,24/06/2011,1.1,0.0, ,16.0,9.3,89,68,2.83,8.59
CERBERUS,25/06/2011,1.2,0.2, ,16.3,11.5,90,59,2.87,9.93
CERBERUS,26/06/2011,1.5,0.0, ,15.3,5.9,91,56,4.12,9.30
CERBERUS,27/06/2011,0.9,0.0, ,15.1,7.8,93,67,2.34,8.95
CERBERUS,28/06/2011,0.5,0.0, ,13.7,3.7,94,58,0.71,9.71
CERBERUS,29/06/2011,0.7,0.2, ,14.6,2.3,93,65,1.36,10.14
CERBERUS,30/06/2011,0.9,0.2, ,17.3,3.9,92,53,1.48,9.98
Totals:,,34.4,53.8, ,,,,,, 
