'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/04/2012,2.1,0.0, ,19.4,13.8,89,56,1.57,12.01
CERBERUS,02/04/2012,3.2,0.0, ,24.7,8.3,93,37,2.10,16.91
CERBERUS,03/04/2012,2.9,0.4, ,22.8,16.4,91,53,2.85,14.09
CERBERUS,04/04/2012,2.5,0.0, ,23.1,7.8,94,49,1.19,16.74
CERBERUS,05/04/2012,2.5,0.0, ,25.0,8.8,94,50,1.08,16.45
CERBERUS,06/04/2012,4.8,0.0, ,29.3,12.2,95,36,5.34,12.71
CERBERUS,07/04/2012,2.4,3.4, ,17.1,12.1,82,49,3.62,9.26
CERBERUS,08/04/2012,2.7,0.0, ,19.3,8.5,86,42,3.20,12.83
CERBERUS,09/04/2012,2.5,7.0, ,13.9,10.9,88,45,6.02,7.51
CERBERUS,10/04/2012,2.0,7.4, ,15.4,9.2,83,59,3.84,8.92
CERBERUS,11/04/2012,2.0,0.8, ,16.8,10.7,81,51,2.14,10.99
CERBERUS,12/04/2012,2.1,0.0, ,19.6,11.7,91,48,1.27,14.84
CERBERUS,13/04/2012,2.6,0.0, ,23.9,5.6,94,27,1.55,15.39
CERBERUS,14/04/2012,3.1,0.0, ,24.8,7.9,87,28,2.33,13.41
CERBERUS,15/04/2012,3.7,0.0, ,26.9,12.0,91,22,2.78,14.80
CERBERUS,16/04/2012,2.0,0.0, ,18.7,11.4,93,60,2.41,12.21
CERBERUS,17/04/2012,2.7,0.0, ,23.5,9.5,91,36,2.15,13.94
CERBERUS,18/04/2012,2.6, , ,24.0,11.7,92,56,2.87,13.37
CERBERUS,19/04/2012,1.8,0.0, ,23.3,16.5,92,57,1.71,8.02
CERBERUS,20/04/2012,1.4,0.0, ,20.9,13.8,93,75,1.30,7.55
CERBERUS,21/04/2012,1.2,0.2, ,20.0,12.9,93,75,1.00,7.28
CERBERUS,22/04/2012,2.2,6.2, ,23.3,13.0,92,52,2.63,8.47
CERBERUS,23/04/2012,1.5,1.2, ,18.7,10.5,89,64,2.50,5.61
CERBERUS,24/04/2012,1.6,14.0, ,16.1,8.9,92,70,6.40,4.06
CERBERUS,25/04/2012,1.9,16.6, ,16.4,10.3,91,67,6.84,5.05
CERBERUS,26/04/2012,1.2,3.8, ,16.4,11.6,92,76,2.02,6.27
CERBERUS,27/04/2012,1.6,0.8, ,18.5,10.9,92,62,1.95,9.78
CERBERUS,28/04/2012,2.3,0.2, ,19.3,9.2,93,55,4.66,10.64
CERBERUS,29/04/2012,1.7,2.8, ,15.7,11.0,89,50,2.60,9.33
CERBERUS,30/04/2012,1.2,0.0, ,16.0,3.6,93,63,1.22,9.90
Totals:,,68,64.8, ,,,,,, 
