'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for October 2016,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 November 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/10/2016,2.4,1.4, ,16.3,10.2,89,64,4.39,11.83
CERBERUS,02/10/2016,4.7,0.8, ,24.1,11.1,89,30,4.46,18.24
CERBERUS,03/10/2016,3.3,13.6, ,15.8,9.6,90,52,6.80,18.13
CERBERUS,04/10/2016,3.4,0.8, ,16.8,10.1,82,48,7.19,12.32
CERBERUS,05/10/2016,2.6,1.0, ,15.8,9.4,86,55,5.78,9.62
CERBERUS,06/10/2016,5.2,0.6, ,24.8,11.3,80,41,5.55,22.28
CERBERUS,07/10/2016,3.2,0.0, ,19.6,14.5,82,36,5.13,3.83
CERBERUS,08/10/2016,3.2,0.0, ,15.7,7.5,85,44,2.49,21.75
CERBERUS,09/10/2016,5.1,0.0, ,23.6,7.4,87,25,5.67,15.22
CERBERUS,10/10/2016,3.1,7.0, ,14.7,12.3,77,52,6.47,11.40
CERBERUS,11/10/2016,2.7,7.4, ,14.5,6.2,88,56,4.48,16.54
CERBERUS,12/10/2016,2.5,1.4, ,13.6,8.0,91,57,4.86,13.95
CERBERUS,13/10/2016,3.2,4.8, ,14.3,7.7,90,48,2.34,23.81
CERBERUS,14/10/2016,3.7,0.0, ,20.7,1.8,93,31,1.77,24.26
CERBERUS,15/10/2016,5.4,0.0, ,23.7,8.7,62,32,5.41,18.52
CERBERUS,16/10/2016,3.9,0.0, ,21.9,16.9,92,30,5.27,8.50
CERBERUS,17/10/2016,3.6,15.8, ,16.7,9.2,91,44,4.71,19.74
CERBERUS,18/10/2016,3.2,8.6, ,15.2,9.6,90,48,5.77,15.61
CERBERUS,19/10/2016,3.6,2.0, ,16.0,6.9,90,42,3.14,23.52
CERBERUS,20/10/2016,4.7,0.0, ,21.3,4.3,91,31,3.86,25.35
CERBERUS,21/10/2016,2.9,0.0, ,18.4,12.0,91,32,4.64,3.41
CERBERUS,22/10/2016,2.7,18.8, ,13.3,7.1,88,65,6.71,18.60
CERBERUS,23/10/2016,3.3,9.2, ,13.8,7.9,80,57,5.17,21.33
CERBERUS,24/10/2016,2.5,0.0, ,14.7,10.0,91,63,2.12,16.11
CERBERUS,25/10/2016,5.0,0.0, ,24.7,5.0,94,30,3.62,22.97
CERBERUS,26/10/2016,2.3,0.0, ,18.1,12.8,89,64,2.80,9.66
CERBERUS,27/10/2016,3.6,0.2, ,15.6,8.0,89,45,3.40,22.94
CERBERUS,28/10/2016,3.2,0.2, ,16.3,3.0,92,57,1.80,24.77
CERBERUS,29/10/2016,4.1,0.0, ,23.2,4.2,93,47,1.53,26.62
CERBERUS,30/10/2016,5.3,0.2, ,24.3,12.2,85,37,6.59,17.24
CERBERUS,31/10/2016,3.5,1.8, ,15.7,6.9,88,51,5.20,21.60
Totals:,,111.1,95.6, ,,,,,, 
