'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/02/2017,2.9,0.0, ,20.8,8.4,91,42,1.41,14.25
CERBERUS,02/02/2017,4.9,0.0, ,23.8,8.2,90,39,3.33,25.14
CERBERUS,03/02/2017,4.7,0.0, ,23.1,12.0,90,50,2.34,27.43
CERBERUS,04/02/2017,5.7,0.0, ,31.3,9.7,93,36,2.13,27.61
CERBERUS,05/02/2017,4.0,0.0, ,31.4,17.5,93,44,2.50,13.37
CERBERUS,06/02/2017,2.1,43.4, ,18.2,14.6,93,53,3.56,4.51
CERBERUS,07/02/2017,5.0,0.0, ,24.7,13.9,76,53,4.21,24.09
CERBERUS,08/02/2017,7.8,0.0, ,35.7,17.7,77,27,3.67,27.75
CERBERUS,09/02/2017,6.9,0.0, ,33.0,20.3,85,42,5.14,24.27
CERBERUS,10/02/2017,4.7,0.0, ,25.5,17.3,88,59,2.26,25.07
CERBERUS,11/02/2017,4.3,0.0, ,22.4,14.9,87,44,3.17,21.34
CERBERUS,12/02/2017,3.9,1.8, ,19.1,14.1,88,42,6.23,13.41
CERBERUS,13/02/2017,2.9,3.0, ,19.6,12.6,88,65,5.37,12.02
CERBERUS,14/02/2017,2.7,1.0, ,18.8,13.9,87,55,2.74,11.45
CERBERUS,15/02/2017,6.6,0.2, ,31.2,6.8,92,19,3.40,25.83
CERBERUS,16/02/2017,3.8,0.0, ,20.9,13.0,86,61,2.89,21.90
CERBERUS,17/02/2017,4.3,0.0, ,23.8,12.6,86,39,3.00,19.54
CERBERUS,18/02/2017,3.5,0.8, ,19.1,11.8,87,39,3.00,16.75
CERBERUS,19/02/2017,3.1,2.4, ,18.1,10.1,86,50,4.50,12.10
CERBERUS,20/02/2017,3.6,10.2, ,19.1,10.4,88,57,4.85,19.75
CERBERUS,21/02/2017,3.3,2.2, ,20.4,11.9,88,56,2.10,19.19
CERBERUS,22/02/2017,6.8,0.0, ,32.7,13.3,84,16,3.40,23.82
CERBERUS,23/02/2017,3.9,0.0, ,23.2,11.9,87,51,3.44,18.76
CERBERUS,24/02/2017,2.8,0.0, ,19.1,14.7,87,53,3.33,10.76
CERBERUS,25/02/2017,4.1,0.0, ,19.4,13.3,83,52,3.90,23.61
CERBERUS,26/02/2017,5.5,0.0, ,28.0,15.2,82,34,3.33,24.14
CERBERUS,27/02/2017,5.3,0.0, ,31.3,14.4,86,26,2.05,24.18
CERBERUS,28/02/2017,4.7,0.0, ,31.0,11.8,91,29,1.43,23.95
Totals:,,123.8,65, ,,,,,, 
