'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/12/2020,3.7,0.0, ,24.3,15.8,86,44,4.55,8.10
CERBERUS,02/12/2020,4.1,2.0, ,17.8,11.3,76,50,4.14,21.15
CERBERUS,03/12/2020,4.3,0.0, ,19.4,5.0,100,50,1.85,30.31
CERBERUS,04/12/2020,4.5,0.0, ,20.1,6.6,88,51,2.62,29.52
CERBERUS,05/12/2020,3.0,0.0, ,23.0,10.3,88,46,3.39,7.08
CERBERUS,06/12/2020,4.7,11.8, ,18.5,12.9,80,44,7.00,21.10
CERBERUS,07/12/2020,4.1,7.8, ,17.1,11.0,86,51,6.19,22.16
CERBERUS,08/12/2020,3.2,7.6, ,16.9,10.0,76,54,3.96,14.15
CERBERUS,09/12/2020,4.3,0.0, ,20.0,12.2,77,60,3.20,24.28
CERBERUS,10/12/2020, ,0.2, , ,12.7,85,46,4.43,28.60
CERBERUS,11/12/2020, ,0.0, ,19.5, ,100,51,3.24,31.89
CERBERUS,12/12/2020,6.7,0.0, ,27.0,12.7,78,27,3.36,31.70
CERBERUS,13/12/2020,5.8,0.0, ,26.8,14.8,85,39,2.83,28.21
CERBERUS,14/12/2020,7.9,0.0, ,33.6,16.1,81,20,3.06,31.83
CERBERUS,15/12/2020,6.7,0.0, ,31.8,16.8,87,35,4.17,24.54
CERBERUS,16/12/2020,3.2,0.0, ,21.2,14.7,83,70,3.81,14.97
CERBERUS,17/12/2020,5.3,0.0, ,25.4,16.1,86,59,3.10,27.88
CERBERUS,18/12/2020, ,2.4, , ,12.3,91,47,5.13,21.79
CERBERUS,19/12/2020, ,0.0, , , ,100,65,2.64,22.32
CERBERUS,20/12/2020,4.6,0.2, ,18.3,7.4,86,49,2.71,30.58
CERBERUS,21/12/2020,2.4,0.0, ,22.0,7.6,90,56,1.43,10.63
CERBERUS,22/12/2020,2.6,17.4, ,19.4,13.1,91,68,4.44,11.32
CERBERUS,23/12/2020,3.3,1.6, ,18.7,14.1,78,58,4.59,12.78
CERBERUS,24/12/2020,4.3,0.0, ,18.8,12.6,86,42,4.22,21.61
CERBERUS,25/12/2020,4.5,0.0, ,18.8,13.3,71,46,3.60,22.71
CERBERUS,26/12/2020,5.4,0.0, ,22.8,11.3,82,46,2.23,32.09
CERBERUS,27/12/2020,5.6,0.0, ,29.8,13.2,89,20,4.42,10.73
CERBERUS,28/12/2020,4.1,3.2, ,17.3,10.3,77,41,3.21,22.52
CERBERUS,29/12/2020,4.8,0.0, ,20.3,6.4,88,42,1.95,31.33
CERBERUS,30/12/2020,4.7,0.0, ,21.1,11.7,87,54,3.28,27.73
CERBERUS,31/12/2020,3.8,0.0, ,22.3,15.1,81,65,4.12,17.75
Totals:,,121.6,54.2, ,,,,,, 
