'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/12/2022,3.3,0.0, ,18.2,13.0,86,56,2.79,17.27
CERBERUS,02/12/2022, ,0.0, , ,7.5,100,60,1.83,31.18
CERBERUS,03/12/2022,5.7,0.0, ,27.9,12.6,93,45,1.79,31.03
CERBERUS,04/12/2022,7.1,0.0, ,33.6,13.5,91,17,2.45,29.65
CERBERUS,05/12/2022, ,0.8, , ,14.3,100,62,6.64,10.21
CERBERUS,06/12/2022, ,2.8, ,19.1, ,100,54,2.26,28.00
CERBERUS,07/12/2022,3.9,0.2, ,17.9,8.0,91,51,4.42,23.56
CERBERUS,08/12/2022,4.3,2.8, ,16.0,9.3,74,51,6.53,23.63
CERBERUS,09/12/2022, ,0.0, , ,10.8,84,48,3.62,29.60
CERBERUS,10/12/2022, ,0.0, ,23.4, ,100,33,2.15,31.21
CERBERUS,11/12/2022, ,0.0, , , ,100,27,3.12,16.58
CERBERUS,12/12/2022, ,23.4, ,17.4, ,100,59,5.18,16.68
CERBERUS,13/12/2022,3.6,3.6, ,17.9,11.0,100,50,5.82,18.94
CERBERUS,14/12/2022,3.8,10.4, ,16.4,9.0,100,51,7.23,24.12
CERBERUS,15/12/2022,3.9,0.2, ,17.0,11.4,78,48,3.94,19.97
CERBERUS,16/12/2022,4.8,0.2, ,18.9,12.0,81,45,3.26,28.16
CERBERUS,17/12/2022,3.7,0.0, ,20.6,7.2,92,52,3.05,19.54
CERBERUS,18/12/2022,5.8,0.0, ,21.8,12.4,77,45,4.48,32.15
CERBERUS,19/12/2022,6.1,0.0, ,23.9,10.3,83,33,3.59,32.22
CERBERUS,20/12/2022,6.1,0.0, ,24.2,11.5,79,40,3.89,32.23
CERBERUS,21/12/2022,5.2,0.0, ,25.5,9.3,87,41,2.61,26.66
CERBERUS,22/12/2022,3.3,0.4, ,23.3,15.5,89,58,1.92,14.95
CERBERUS,23/12/2022,4.1,2.2, ,21.6,12.2,93,73,2.17,25.68
CERBERUS,24/12/2022,4.8,0.0, ,19.8,15.9,88,58,2.60,29.34
CERBERUS,25/12/2022,6.0,0.0, ,28.8,9.4,91,34,1.75,32.31
CERBERUS,26/12/2022,5.3,0.0, ,25.4,15.1,91,57,2.40,29.63
CERBERUS,27/12/2022,7.7,0.0, ,37.5,17.0,93,24,2.13,31.94
CERBERUS,28/12/2022,3.7,0.0, ,24.4,22.7,100,26,4.74,6.16
CERBERUS,29/12/2022,4.7,0.2, ,19.4,12.7,84,48,3.94,26.72
CERBERUS,30/12/2022,5.8,0.0, ,24.8,15.4,91,53,3.25,32.17
CERBERUS,31/12/2022,5.5,0.0, ,26.0,17.6,92,60,2.04,29.77
Totals:,,118.2,47.2, ,,,,,, 
