'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/05/2010,2.5,0.2, ,22.1,3.2,100,42,2.12,16.67
CHARLTON,02/05/2010,2.3,0.0, ,21.9,6.9,97,50,2.58,14.74
CHARLTON,03/05/2010,3.3,0.0, ,24.4,8.9,92,34,3.30,16.04
CHARLTON,04/05/2010,3.6,0.0, ,24.2,12.4,100,30,4.62,12.15
CHARLTON,05/05/2010,2.0,1.0, ,15.7,4.3,100,48,3.58,14.44
CHARLTON,06/05/2010,2.1,0.2, ,18.5,8.2,100,48,3.14,12.55
CHARLTON,07/05/2010,2.2,0.0, ,21.0,6.9,100,52,3.33,13.45
CHARLTON,08/05/2010,2.4,0.0, ,21.9,11.7,100,48,2.76,15.00
CHARLTON,09/05/2010,2.1,0.0, ,23.3,7.0,100,40,1.96,13.27
CHARLTON,10/05/2010,3.3,0.0, ,23.0,9.2,99,34,4.25,14.88
CHARLTON,11/05/2010,2.2,0.2, ,14.7,5.6,100,42,4.35,14.51
CHARLTON,12/05/2010,1.7,0.0, ,16.5,0.5,100,44,2.34,13.96
CHARLTON,13/05/2010,1.6,0.0, ,17.5,0.5,100,50,1.44,14.72
CHARLTON,14/05/2010,1.5,0.0, ,18.1,3.7,100,46,1.08,14.72
CHARLTON,15/05/2010,1.4,0.0, ,18.4,1.5,100,45,0.84,14.64
CHARLTON,16/05/2010,1.2,0.0, ,17.0,4.0,100,55,1.26,12.16
CHARLTON,17/05/2010,1.0,0.0, ,16.8,7.8,99,54,0.50,11.41
CHARLTON,18/05/2010,1.5,0.0, ,19.8,2.8,100,36,1.00,14.18
CHARLTON,19/05/2010,1.2,0.0, ,19.9,0.9,100,32,0.50,14.08
CHARLTON,20/05/2010,1.1,0.0, ,19.7,2.9,99,39,0.49,13.46
CHARLTON,21/05/2010,1.7,0.0, ,17.9,4.5,100,41,2.26,13.04
CHARLTON,22/05/2010,1.4,0.0, ,16.0,0.0,100,37,1.19,13.89
CHARLTON,23/05/2010,1.8,0.0, ,16.8,-0.8,99,38,2.38,13.42
CHARLTON,24/05/2010,1.5,3.6, ,12.4,6.8,100,52,4.46,6.00
CHARLTON,25/05/2010,1.7,5.6, ,14.2,9.9,100,39,3.61,7.52
CHARLTON,26/05/2010,1.4,6.2, ,19.1,8.2,100,65,2.05,12.67
CHARLTON,27/05/2010,1.0,0.0, ,17.8,4.8,100,69,1.31,10.61
CHARLTON,28/05/2010,0.9,0.0, ,15.7,9.5,100,87,3.75,9.53
CHARLTON,29/05/2010,1.6,5.2, ,14.3,10.7,100,43,3.28,7.81
CHARLTON,30/05/2010,2.2,1.8, ,19.5,10.9,100,54,5.55,11.64
CHARLTON,31/05/2010,1.8,0.0, ,18.5,8.3,100,52,3.35,12.87
Totals:,,57.2,24, ,,,,,, 
