'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/05/2012,3.7,0.0, ,25.4,9.2,89,26,3.74,13.04
CHARLTON,02/05/2012,2.4,2.6, ,17.4,10.8,97,38,3.92,12.21
CHARLTON,03/05/2012,1.8,0.0, ,17.3,3.2,97,46,2.78,8.04
CHARLTON,04/05/2012,1.4,0.0, ,15.3,4.1,99,57,2.52,7.05
CHARLTON,05/05/2012,1.5,0.0, ,15.3,8.4,86,50,2.09,5.95
CHARLTON,06/05/2012,1.3,0.0, ,17.6,1.6,98,42,1.00,10.65
CHARLTON,07/05/2012,2.7,0.0, ,22.1,7.4,83,33,3.12,8.57
CHARLTON,08/05/2012,3.2,0.0, ,25.4,6.6,76,27,2.96,10.17
CHARLTON,09/05/2012,2.9,0.0, ,23.4,13.6,81,37,3.53,7.05
CHARLTON,10/05/2012,1.6,0.2, ,21.2,3.4,99,30,1.08,10.98
CHARLTON,11/05/2012,2.4,0.0, ,18.3,6.4,85,33,3.15,10.60
CHARLTON,12/05/2012,1.9,0.0, ,16.1,1.2,98,39,2.80,9.73
CHARLTON,13/05/2012,2.2,0.0, ,17.6,6.8,92,45,4.14,6.89
CHARLTON,14/05/2012,2.0,0.0, ,18.3,3.5,94,46,3.18,8.75
CHARLTON,15/05/2012,1.7,0.2, ,18.2,3.9,97,46,2.46,9.30
CHARLTON,16/05/2012,1.1,0.0, ,18.8,2.3,98,43,0.82,9.43
CHARLTON,17/05/2012,1.7,0.0, ,19.2,1.0,91,33,1.60,10.03
CHARLTON,18/05/2012,2.7,0.0, ,21.7,6.7,78,27,2.98,8.36
CHARLTON,19/05/2012,1.5,0.0, ,18.6,5.0,99,49,2.15,8.20
CHARLTON,20/05/2012,1.1,0.0, ,15.7,-0.5,97,41,0.96,9.79
CHARLTON,21/05/2012,1.4,0.0, ,17.3,-2.1,94,42,1.56,7.26
CHARLTON,22/05/2012,2.6,0.0, ,19.7,2.5,84,35,3.64,9.47
CHARLTON,23/05/2012,4.2,0.0, ,21.5,10.1,56,26,5.52,8.79
CHARLTON,24/05/2012,1.8,0.0, ,17.2,1.6,93,37,2.68,7.89
CHARLTON,25/05/2012,1.3,12.4, ,12.2,6.8,99,56,3.66,4.73
CHARLTON,26/05/2012,1.5,4.8, ,16.5,7.3,97,57,3.19,7.72
CHARLTON,27/05/2012,1.4,0.2, ,15.2,4.5,98,53,3.06,9.15
CHARLTON,28/05/2012,1.3,0.0, ,15.9,7.6,96,52,2.31,7.94
CHARLTON,29/05/2012,1.2,0.0, ,15.5,3.8,99,57,2.31,9.02
CHARLTON,30/05/2012,1.1,0.0, ,17.6,2.2,99,51,1.39,9.00
CHARLTON,31/05/2012,0.9,0.0, ,16.8,1.1,99,51,0.88,8.71
Totals:,,59.5,20.4, ,,,,,, 
