'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/02/2016,5.5,39.0, ,27.5,11.8,99,35,1.61,30.26
CHARLTON,02/02/2016,5.2,0.2, ,28.5,15.3,80,31,3.41,17.20
CHARLTON,03/02/2016,6.0,0.2, ,26.3,18.1,88,34,5.75,22.08
CHARLTON,04/02/2016,8.2,0.2, ,29.2,13.0,74,26,6.71,29.89
CHARLTON,05/02/2016,7.0,0.0, ,31.8,14.6,82,26,3.21,29.33
CHARLTON,06/02/2016,7.1,0.0, ,32.7,17.5,64,23,2.70,29.48
CHARLTON,07/02/2016,6.9,0.0, ,35.6,17.4,70,17,2.06,29.22
CHARLTON,08/02/2016,8.5,0.0, ,34.9,17.6,73,13,4.04,28.94
CHARLTON,09/02/2016,7.5,0.0, ,34.7,13.5,82,13,2.88,29.85
CHARLTON,10/02/2016,7.6,0.0, ,35.1,16.6,66,9,2.86,28.06
CHARLTON,11/02/2016,7.8,0.0, ,34.5,15.3,79,18,3.57,28.75
CHARLTON,12/02/2016,7.0,0.0, ,34.9,15.6,76,14,2.49,28.04
CHARLTON,13/02/2016,7.4,0.0, ,35.1,16.0,64,11,3.42,21.91
CHARLTON,14/02/2016,6.5,0.0, ,27.6,14.1,74,27,3.96,27.87
CHARLTON,15/02/2016,6.0,0.0, ,27.1,11.4,82,28,3.39,27.51
CHARLTON,16/02/2016,6.0,0.0, ,24.3,14.4,84,26,4.68,26.65
CHARLTON,17/02/2016,5.4,0.0, ,26.3,12.6,69,41,4.17,21.98
CHARLTON,18/02/2016,5.6,0.0, ,30.0,12.4,90,26,2.19,26.47
CHARLTON,19/02/2016,5.4,0.0, ,28.9,15.0,79,36,3.55,20.70
CHARLTON,20/02/2016,6.5,0.0, ,27.2,11.0,70,25,4.21,27.15
CHARLTON,21/02/2016,6.0,0.0, ,32.0,10.9,80,14,2.12,27.19
CHARLTON,22/02/2016,6.9,0.0, ,37.1,14.7,49,11,2.61,21.56
CHARLTON,23/02/2016,10.2,0.0, ,43.2,22.4,36,12,4.75,18.10
CHARLTON,24/02/2016,6.8,0.2, ,38.2,23.3,70,20,3.18,18.47
CHARLTON,25/02/2016,6.3,0.0, ,30.3,20.8,84,28,4.55,20.38
CHARLTON,26/02/2016,5.8,0.0, ,28.4,12.4,81,30,3.38,25.14
CHARLTON,27/02/2016,6.4,0.0, ,30.4,13.9,78,25,3.55,25.30
CHARLTON,28/02/2016,6.7,0.8, ,30.1,14.0,80,18,3.87,25.30
CHARLTON,29/02/2016,5.3,0.4, ,29.7,12.8,83,23,2.36,23.14
Totals:,,193.5,41, ,,,,,, 
