'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for April 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 May 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/04/2020,3.0,0.0, ,24.7,9.3,100,34,2.45,10.70
CHARLTON,02/04/2020,1.2,22.4, ,18.2,14.7,100,79,2.60,5.02
CHARLTON,03/04/2020,2.2,0.2, ,22.5,13.7,100,67,3.28,10.80
CHARLTON,04/04/2020,2.5,35.8, ,16.7,11.7,97,56,5.37,13.18
CHARLTON,05/04/2020,2.3,1.4, ,19.6,7.9,100,62,5.29,10.75
CHARLTON,06/04/2020,2.4,3.4, ,17.9,10.7,100,48,2.51,13.98
CHARLTON,07/04/2020,2.0,0.0, ,17.4,7.8,88,54,2.48,9.24
CHARLTON,08/04/2020,3.0,0.0, ,21.3,8.4,99,46,3.49,15.48
CHARLTON,09/04/2020,2.7,0.0, ,21.3,10.8,92,50,2.99,13.30
CHARLTON,10/04/2020,2.3,0.0, ,21.8,12.1,100,51,2.14,12.02
CHARLTON,11/04/2020,3.5,0.0, ,18.1,12.3,85,37,5.56,15.31
CHARLTON,12/04/2020,2.6,0.0, ,19.2,8.1,92,41,2.51,16.03
CHARLTON,13/04/2020,2.2,0.0, ,20.9,8.0,94,38,1.03,15.40
CHARLTON,14/04/2020,3.1,0.0, ,25.1,8.1,88,29,2.16,14.84
CHARLTON,15/04/2020,4.2,0.0, ,27.9,12.0,78,19,3.06,14.14
CHARLTON,16/04/2020,3.4,0.0, ,22.8,14.7,71,39,3.18,14.40
CHARLTON,17/04/2020,2.7,0.0, ,20.6,6.6,98,43,3.35,12.81
CHARLTON,18/04/2020,1.6,0.0, ,17.0,6.3,93,45,1.22,8.76
CHARLTON,19/04/2020,2.2,0.0, ,19.9,7.2,95,37,1.77,12.76
CHARLTON,20/04/2020,3.7,0.4, ,21.7,13.6,72,34,4.19,13.31
CHARLTON,21/04/2020,2.3,0.0, ,21.1,4.8,96,36,1.86,13.72
CHARLTON,22/04/2020,2.2,0.0, ,20.5,9.0,100,43,2.15,12.72
CHARLTON,23/04/2020,2.9,0.0, ,24.2,6.0,99,35,2.99,9.13
CHARLTON,24/04/2020,2.5,0.0, ,22.0,12.8,100,42,2.40,14.16
CHARLTON,25/04/2020,2.2,0.0, ,23.5,6.8,100,48,1.92,12.57
CHARLTON,26/04/2020,2.1,38.0, ,18.9,11.2,100,53,2.98,12.01
CHARLTON,27/04/2020,1.3,0.0, ,17.4,4.6,100,52,0.39,13.77
CHARLTON,28/04/2020,1.7,0.0, ,18.5,6.3,100,62,2.88,9.47
CHARLTON,29/04/2020,0.9,7.2, ,16.5,10.4,100,83,2.88,4.23
CHARLTON,30/04/2020,1.5,10.8, ,13.6,5.6,100,65,3.70,10.90
Totals:,,72.4,119.6, ,,,,,, 
