'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/11/2021,5.1,0.0, ,27.2,5.3,94,18,1.89,25.79
CHARLTON,02/11/2021,7.4,0.0, ,32.0,10.2,75,16,3.94,24.99
CHARLTON,03/11/2021,2.3,3.8, ,19.9,17.5,100,36,3.10,3.68
CHARLTON,04/11/2021,5.3,34.8, ,24.9,10.7,99,41,4.01,27.70
CHARLTON,05/11/2021,5.3,0.2, ,27.5,9.1,98,43,3.15,26.65
CHARLTON,06/11/2021,4.1,0.0, ,26.3,17.1,97,39,3.38,14.66
CHARLTON,07/11/2021,4.1,0.8, ,23.4,13.4,99,47,2.79,21.07
CHARLTON,08/11/2021,4.2,0.2, ,20.5,6.7,99,38,2.41,25.57
CHARLTON,09/11/2021,4.4,0.0, ,24.2,5.6,99,30,1.76,24.60
CHARLTON,10/11/2021,3.7,5.4, ,19.6,11.1,100,37,3.13,18.65
CHARLTON,11/11/2021,3.9,0.4, ,19.6,4.2,99,35,3.92,19.07
CHARLTON,12/11/2021,1.2,2.4, ,13.0,9.8,99,80,4.29,5.57
CHARLTON,13/11/2021,3.6,3.2, ,18.1,8.7,99,46,3.83,20.50
CHARLTON,14/11/2021,4.4,0.4, ,17.5,5.3,97,31,5.62,22.91
CHARLTON,15/11/2021,4.0,0.2, ,18.9,7.5,87,37,4.30,18.64
CHARLTON,16/11/2021,3.8,0.0, ,18.8,2.5,99,38,2.06,24.47
CHARLTON,17/11/2021,4.6,0.0, ,24.1,3.3,99,23,1.54,26.85
CHARLTON,18/11/2021,7.0,0.0, ,31.1,11.2,68,16,5.03,12.79
CHARLTON,19/11/2021,3.6,0.0, ,20.4,11.5,87,41,2.75,15.85
CHARLTON,20/11/2021,4.2,0.2, ,22.4,11.0,85,33,3.03,17.18
CHARLTON,21/11/2021,5.8,0.0, ,24.7,6.0,94,32,4.20,29.16
CHARLTON,22/11/2021,5.6,0.0, ,28.2,7.4,96,29,2.60,26.59
CHARLTON,23/11/2021,3.5,0.0, ,24.2,16.2,100,48,3.90,12.40
CHARLTON,24/11/2021,5.3,4.6, ,29.9,15.2,100,41,2.83,22.92
CHARLTON,25/11/2021,2.7,4.8, ,22.3,17.3,100,70,3.95,12.27
CHARLTON,26/11/2021,6.3,1.8, ,25.0,11.0,83,40,7.42,26.59
CHARLTON,27/11/2021,6.4,0.0, ,26.1,9.4,82,31,4.48,29.05
CHARLTON,28/11/2021,6.2,0.0, ,28.1,10.0,86,24,2.64,29.40
CHARLTON,29/11/2021,6.2,0.0, ,31.0,10.2,84,16,1.91,29.06
CHARLTON,30/11/2021,6.6,0.0, ,33.8,13.0,76,16,2.04,27.50
Totals:,,140.8,63.2, ,,,,,, 
