'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/07/2022,1.0,0.6, ,14.2,2.1,100,63,2.38,10.06
CHARLTON,02/07/2022,0.9,0.2, ,12.7,0.3,100,64,2.36,10.09
CHARLTON,03/07/2022,1.1,0.2, ,13.7,1.8,100,61,3.12,10.13
CHARLTON,04/07/2022,1.6,0.0, ,15.1,2.7,98,54,4.41,10.17
CHARLTON,05/07/2022,1.0,0.2, ,15.5,1.6,100,56,1.78,10.11
CHARLTON,06/07/2022,0.8,0.0, ,15.5,-1.6,100,51,0.75,10.25
CHARLTON,07/07/2022,1.1,0.0, ,13.9,1.0,100,54,2.18,9.54
CHARLTON,08/07/2022,1.2,0.2, ,14.4,4.8,100,58,3.06,9.19
CHARLTON,09/07/2022,0.9,0.0, ,13.0,1.5,100,62,2.00,9.85
CHARLTON,10/07/2022,1.0,0.2, ,15.1,0.4,100,53,1.43,10.45
CHARLTON,11/07/2022,0.9,0.0, ,13.8,1.2,100,64,1.75,7.29
CHARLTON,12/07/2022,0.9,0.6, ,13.8,5.8,100,52,1.31,8.97
CHARLTON,13/07/2022,1.1,0.2, ,13.1,0.5,100,55,2.30,10.30
CHARLTON,14/07/2022,0.7,0.2, ,11.3,-1.7,100,65,1.16,8.62
CHARLTON,15/07/2022,1.0,0.0, ,14.0,1.7,99,57,1.67,10.07
CHARLTON,16/07/2022,1.7,0.0, ,13.7,4.8,96,41,3.62,8.77
CHARLTON,17/07/2022,1.2,0.6, ,14.4,5.5,100,67,4.42,5.26
CHARLTON,18/07/2022,1.0,1.8, ,12.2,1.5,100,65,2.31,9.79
CHARLTON,19/07/2022,1.0,0.0, ,11.7,-0.7,100,54,1.81,11.04
CHARLTON,20/07/2022,1.5,0.2, ,14.5,-2.2,100,45,2.66,10.94
CHARLTON,21/07/2022,1.6,0.0, ,15.6,1.3,92,52,3.16,11.22
CHARLTON,22/07/2022,1.7,0.0, ,16.3,6.5,90,60,3.87,10.43
CHARLTON,23/07/2022,0.9,3.2, ,12.5,9.5,100,76,3.14,4.58
CHARLTON,24/07/2022,1.2,12.6, ,17.3,4.9,100,73,2.60,11.30
CHARLTON,25/07/2022,1.0,1.6, ,16.2,8.9,100,81,3.87,6.48
CHARLTON,26/07/2022,1.4,3.8, ,13.0,4.3,100,58,3.54,11.20
CHARLTON,27/07/2022,1.1,0.0, ,14.2,6.2,100,72,2.40,10.11
CHARLTON,28/07/2022,1.2,0.4, ,13.8,8.0,100,59,2.16,10.09
CHARLTON,29/07/2022,1.0,0.0, ,13.3,-0.6,100,53,0.76,11.97
CHARLTON,30/07/2022,1.3,0.0, ,12.6,-2.8,100,54,2.48,11.73
CHARLTON,31/07/2022,1.3,0.0, ,12.3,4.7,100,58,3.88,5.32
Totals:,,35.3,26.8, ,,,,,, 
