'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for February 2024,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 March 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/02/2024,6.9,0.0, ,31.8,12.1,92,24,3.07,29.26
CHARLTON,02/02/2024,6.6,0.0, ,29.9,13.5,88,23,2.99,29.05
CHARLTON,03/02/2024,6.7,0.0, ,36.5,11.2,85,10,1.74,28.89
CHARLTON,04/02/2024,8.6,0.0, ,39.9,15.8,66,9,2.96,28.60
CHARLTON,05/02/2024,5.8,0.0, ,28.6,20.5,62,25,3.66,16.23
CHARLTON,06/02/2024,6.2,0.0, ,26.8,9.9,80,26,3.56,28.28
CHARLTON,07/02/2024,6.6,0.0, ,28.0,10.5,83,26,4.05,28.06
CHARLTON,08/02/2024,6.6,0.0, ,31.7,11.2,90,20,2.85,27.83
CHARLTON,09/02/2024,7.1,0.0, ,31.5,13.2,82,22,3.76,27.57
CHARLTON,10/02/2024,6.5,0.0, ,32.3,14.0,84,28,2.83,27.35
CHARLTON,11/02/2024,7.5,0.0, ,35.8,18.4,69,18,3.00,26.96
CHARLTON,12/02/2024,7.3,0.0, ,40.1,17.6,70,12,2.16,26.70
CHARLTON,13/02/2024,10.6,0.0, ,40.5,22.3,59,17,5.90,22.78
CHARLTON,14/02/2024,5.7,0.8, ,25.0,11.5,78,25,3.34,26.36
CHARLTON,15/02/2024,6.2,0.0, ,28.9,8.9,79,12,3.00,25.40
CHARLTON,16/02/2024,6.2,0.0, ,32.7,10.7,84,14,2.29,25.93
CHARLTON,17/02/2024,6.4,0.0, ,34.7,11.8,91,10,2.21,25.67
CHARLTON,18/02/2024,6.2,0.0, ,34.2,13.0,85,13,2.30,23.53
CHARLTON,19/02/2024,7.2,0.0, ,33.6,13.6,87,13,3.46,25.44
CHARLTON,20/02/2024,6.6,0.0, ,35.0,13.7,85,16,2.74,23.77
CHARLTON,21/02/2024,7.7,0.0, ,34.5,19.2,59,29,4.61,22.98
CHARLTON,22/02/2024,9.9,0.0, ,41.2,22.1,60,14,5.08,21.10
CHARLTON,23/02/2024,5.5,0.0, ,25.3,13.5,72,30,3.79,23.78
CHARLTON,24/02/2024,5.6,0.0, ,29.2,8.3,81,20,2.62,24.24
CHARLTON,25/02/2024,5.9,0.0, ,33.8,8.9,85,12,2.12,23.98
CHARLTON,26/02/2024,6.2,0.0, ,30.6,15.2,82,23,3.65,22.56
CHARLTON,27/02/2024,5.7,0.0, ,33.8,8.9,88,20,2.16,23.57
CHARLTON,28/02/2024,7.7,0.0, ,40.3,16.7,56,11,3.63,13.37
CHARLTON,29/02/2024,5.0,0.0, ,31.0,15.7,84,29,2.42,19.53
Totals:,,196.7,0.8, ,,,,,, 
