'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/09/2012,1.8,0.0, ,12.5,4.9,91,62,2.93,14.79
COLAC (MOUNT GELLIBRAND),02/09/2012,2.6,0.0, ,17.2,4.8,100,57,6.78,15.96
COLAC (MOUNT GELLIBRAND),03/09/2012,2.2,0.0, ,16.6,7.7,100,52,2.85,14.85
COLAC (MOUNT GELLIBRAND),04/09/2012,5.3,0.2, ,21.0,8.5,84,28,10.08,15.60
COLAC (MOUNT GELLIBRAND),05/09/2012,4.1,0.0, ,15.6,13.2,99,28,17.05,5.64
COLAC (MOUNT GELLIBRAND),06/09/2012,2.5,4.0, ,15.3,9.0,100,61,14.76,13.67
COLAC (MOUNT GELLIBRAND),07/09/2012,1.8,7.6, ,11.6,5.4,100,70,15.02,13.38
COLAC (MOUNT GELLIBRAND),08/09/2012,1.1,4.8, ,11.6,6.7,100,87,11.48,12.34
COLAC (MOUNT GELLIBRAND),09/09/2012,2.0,1.2, ,14.1,6.3,100,71,6.71,16.59
COLAC (MOUNT GELLIBRAND),10/09/2012,1.6,0.0, ,12.9,7.0,100,75,4.67,12.00
COLAC (MOUNT GELLIBRAND),11/09/2012,2.4,0.0, ,17.4,7.2,99,65,3.89,17.86
COLAC (MOUNT GELLIBRAND),12/09/2012,3.0,0.0, ,18.0,9.6,100,51,10.25,8.53
COLAC (MOUNT GELLIBRAND),13/09/2012,2.2,1.4, ,11.7,3.9,100,61,8.53,17.58
COLAC (MOUNT GELLIBRAND),14/09/2012,1.2,1.0, ,12.3,4.1,100,86,7.91,11.99
COLAC (MOUNT GELLIBRAND),15/09/2012,1.3,1.2, ,11.4,6.5,100,67,1.73,7.94
COLAC (MOUNT GELLIBRAND),16/09/2012,1.8,0.2, ,13.7,7.8,100,68,4.42,12.11
COLAC (MOUNT GELLIBRAND),17/09/2012,1.8,1.4, ,13.4,6.4,100,70,3.74,13.74
COLAC (MOUNT GELLIBRAND),18/09/2012,1.2,1.8, ,13.1,7.5,100,82,2.81,7.89
COLAC (MOUNT GELLIBRAND),19/09/2012,2.2,0.4, ,15.4,5.2,100,64,2.90,16.16
COLAC (MOUNT GELLIBRAND),20/09/2012,2.4,0.2, ,18.9,8.6,100,70,7.14,13.98
COLAC (MOUNT GELLIBRAND),21/09/2012,1.7,7.6, ,14.9,10.8,100,81,9.47,13.09
COLAC (MOUNT GELLIBRAND),22/09/2012,2.8,1.4, ,17.1,9.1,100,60,3.88,20.18
COLAC (MOUNT GELLIBRAND),23/09/2012,2.4,1.2, ,13.2,8.6,100,59,9.12,15.15
COLAC (MOUNT GELLIBRAND),24/09/2012,2.0,3.0, ,10.9,3.6,100,68,7.75,17.78
COLAC (MOUNT GELLIBRAND),25/09/2012,2.5,0.4, ,14.3,4.4,100,58,3.11,19.72
COLAC (MOUNT GELLIBRAND),26/09/2012,3.8,0.2, ,18.1,6.1,99,40,8.12,16.67
COLAC (MOUNT GELLIBRAND),27/09/2012,5.1,0.0, ,22.3,12.0,99,33,8.59,20.41
COLAC (MOUNT GELLIBRAND),28/09/2012,2.3,1.0, ,13.5,9.2,99,57,13.10,7.10
COLAC (MOUNT GELLIBRAND),29/09/2012,1.4,7.4, ,10.0,1.4,100,81,12.32,16.74
COLAC (MOUNT GELLIBRAND),30/09/2012,2.4,7.2, ,13.4,3.9,100,60,7.42,17.37
Totals:,,70.9,54.8, ,,,,,, 
