'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/01/2015,5.0,0.0, ,25.6,10.0,93,36,4.76,17.74
COLAC (MOUNT GELLIBRAND),02/01/2015,13.2,0.0, ,40.2,13.6,97,8,8.14,27.32
COLAC (MOUNT GELLIBRAND),03/01/2015,14.0,0.0, ,39.7,18.5,91,14,12.96,18.60
COLAC (MOUNT GELLIBRAND),04/01/2015,6.1,6.4, ,22.6,13.5,93,42,6.01,33.00
COLAC (MOUNT GELLIBRAND),05/01/2015,5.8,0.0, ,22.4,9.6,90,44,5.63,32.89
COLAC (MOUNT GELLIBRAND),06/01/2015,6.0,0.0, ,25.0,11.8,97,49,7.31,31.29
COLAC (MOUNT GELLIBRAND),07/01/2015,10.9,0.0, ,40.1,16.3,98,17,6.67,25.06
COLAC (MOUNT GELLIBRAND),08/01/2015,2.2,1.2, ,23.8,19.2,95,67,5.09,4.31
COLAC (MOUNT GELLIBRAND),09/01/2015,1.6,13.4, ,15.0,12.4,97,73,4.70,5.66
COLAC (MOUNT GELLIBRAND),10/01/2015,2.1,0.2, ,17.6,11.7,93,63,3.34,7.14
COLAC (MOUNT GELLIBRAND),11/01/2015,4.7,1.0, ,23.0,13.4,96,62,9.23,26.02
COLAC (MOUNT GELLIBRAND),12/01/2015,6.6,0.0, ,27.1,14.4,93,51,8.95,31.95
COLAC (MOUNT GELLIBRAND),13/01/2015,2.6,8.6, ,24.4,16.8,99,65,8.15,3.54
COLAC (MOUNT GELLIBRAND),14/01/2015,2.3,31.6, ,17.5,15.7,98,77,10.28,13.08
COLAC (MOUNT GELLIBRAND),15/01/2015, ,0.4, , ,12.2,97,53,7.12,22.25
COLAC (MOUNT GELLIBRAND),16/01/2015, , , ,25.1, ,97,34,11.00,25.67
COLAC (MOUNT GELLIBRAND),17/01/2015,5.5, , ,21.2,12.0,95,40,10.29,25.25
COLAC (MOUNT GELLIBRAND),18/01/2015,4.3,0.0, ,19.3,11.0,96,44,6.25,20.67
COLAC (MOUNT GELLIBRAND),19/01/2015,5.2,0.0, ,19.6,10.0,90,45,6.58,31.11
COLAC (MOUNT GELLIBRAND),20/01/2015,5.8,0.0, ,28.7,10.7,93,30,5.87,13.94
COLAC (MOUNT GELLIBRAND),21/01/2015,7.3,0.0, ,32.0,15.5,86,29,4.33,27.07
COLAC (MOUNT GELLIBRAND),22/01/2015,8.2,0.0, ,35.3,13.5,98,26,5.62,23.10
COLAC (MOUNT GELLIBRAND),23/01/2015,5.6,0.0, ,23.7,14.2,91,44,6.33,25.95
COLAC (MOUNT GELLIBRAND),24/01/2015,7.0,0.0, ,27.1,11.7,85,28,4.83,30.84
COLAC (MOUNT GELLIBRAND),25/01/2015,5.1,1.8, ,19.8,11.0,95,36,9.68,21.32
COLAC (MOUNT GELLIBRAND),26/01/2015,3.4,0.0, ,18.4,6.4,93,44,4.41,14.95
COLAC (MOUNT GELLIBRAND),27/01/2015,4.4,0.0, ,19.6,9.0,84,43,5.93,19.43
COLAC (MOUNT GELLIBRAND),28/01/2015,5.5,0.0, ,22.1,10.3,87,47,8.23,28.41
COLAC (MOUNT GELLIBRAND),29/01/2015,5.3,0.0, ,20.3,11.6,89,40,7.41,26.16
COLAC (MOUNT GELLIBRAND),30/01/2015,4.9,0.0, ,22.7,9.8,90,43,5.49,22.55
COLAC (MOUNT GELLIBRAND),31/01/2015,4.0,0.0, ,19.9,10.3,93,48,6.61,17.68
Totals:,,164.6,64.6, ,,,,,, 
