'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/03/2016,7.7,0.2, ,32.8,15.2,99,14,5.64,21.44
COLAC (MOUNT GELLIBRAND),02/03/2016,7.1,0.0, ,34.2,16.3,87,21,4.22,22.74
COLAC (MOUNT GELLIBRAND),03/03/2016,5.2,0.0, ,24.1,12.6,92,41,6.58,22.29
COLAC (MOUNT GELLIBRAND),04/03/2016,7.0,0.0, ,34.8,13.9,97,28,4.69,22.17
COLAC (MOUNT GELLIBRAND),05/03/2016,2.5,0.0, ,22.3,15.2,98,64,4.75,8.91
COLAC (MOUNT GELLIBRAND),06/03/2016,4.9,0.0, ,26.3,13.6,95,48,7.31,18.58
COLAC (MOUNT GELLIBRAND),07/03/2016,5.1,1.2, ,25.2,15.2,98,40,8.15,16.57
COLAC (MOUNT GELLIBRAND),08/03/2016,9.8,0.0, ,38.0,16.6,96,15,7.33,18.43
COLAC (MOUNT GELLIBRAND),09/03/2016,3.0,0.2, ,23.5,19.0,98,47,4.56,7.50
COLAC (MOUNT GELLIBRAND),10/03/2016,0.9,2.6, ,17.1,15.0,100,93,6.26,4.73
COLAC (MOUNT GELLIBRAND),11/03/2016,3.7,3.6, ,28.5,15.3,100,51,2.83,15.46
COLAC (MOUNT GELLIBRAND),12/03/2016,1.6,0.0, ,21.7,16.8,100,76,2.89,6.02
COLAC (MOUNT GELLIBRAND),13/03/2016,3.2,0.0, ,23.1,14.1,98,64,4.30,16.33
COLAC (MOUNT GELLIBRAND),14/03/2016,3.5,0.0, ,20.9,14.5,96,52,4.63,17.29
COLAC (MOUNT GELLIBRAND),15/03/2016,3.7,0.0, ,21.9,13.2,89,61,11.95,11.37
COLAC (MOUNT GELLIBRAND),16/03/2016,6.2,0.0, ,29.2,14.0,90,39,7.68,19.69
COLAC (MOUNT GELLIBRAND),17/03/2016,8.6,0.0, ,33.3,17.0,88,24,9.16,18.85
COLAC (MOUNT GELLIBRAND),18/03/2016,3.5,12.8, ,17.0,12.7,99,50,12.22,17.49
COLAC (MOUNT GELLIBRAND),19/03/2016,2.4,0.2, ,15.9,8.8,98,51,5.41,9.65
COLAC (MOUNT GELLIBRAND),20/03/2016,3.7,0.0, ,19.4,10.8,84,42,5.54,15.51
COLAC (MOUNT GELLIBRAND),21/03/2016,3.5,0.0, ,20.1,11.1,92,53,7.04,15.54
COLAC (MOUNT GELLIBRAND),22/03/2016,4.8,0.0, ,24.5,11.4,95,39,5.90,20.85
COLAC (MOUNT GELLIBRAND),23/03/2016,4.2,0.0, ,26.3,13.4,89,29,3.74,12.66
COLAC (MOUNT GELLIBRAND),24/03/2016,2.3,0.0, ,20.3,14.4,94,65,3.73,9.76
COLAC (MOUNT GELLIBRAND),25/03/2016,3.8,0.0, ,21.2,12.2,84,42,4.93,15.94
COLAC (MOUNT GELLIBRAND),26/03/2016,2.2,0.0, ,18.6,12.3,99,65,5.68,8.65
COLAC (MOUNT GELLIBRAND),27/03/2016,2.7,0.2, ,17.8,10.9,93,52,5.06,11.69
COLAC (MOUNT GELLIBRAND),28/03/2016,2.9,0.0, ,16.8,10.6,74,46,4.56,9.07
COLAC (MOUNT GELLIBRAND),29/03/2016,2.9,0.0, ,16.8,12.1,78,54,5.65,9.64
COLAC (MOUNT GELLIBRAND),30/03/2016,3.2,0.0, ,18.2,11.6,75,40,4.75,9.75
COLAC (MOUNT GELLIBRAND),31/03/2016,2.9,0.0, ,21.6,11.4,88,49,3.95,10.05
Totals:,,128.7,21, ,,,,,, 
