'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/09/2017,2.1,0.0, ,14.7,4.1,99,53,5.12,10.45
COLAC (MOUNT GELLIBRAND),02/09/2017,2.6,0.0, ,16.4,6.1,91,54,7.71,9.53
COLAC (MOUNT GELLIBRAND),03/09/2017,2.1,1.4, ,12.8,7.9,100,59,12.16,9.82
COLAC (MOUNT GELLIBRAND),04/09/2017,1.2,3.0, ,8.9,3.6,100,78,12.96,11.78
COLAC (MOUNT GELLIBRAND),05/09/2017,0.7,18.0, ,7.6,0.9,100,90,12.32,8.12
COLAC (MOUNT GELLIBRAND),06/09/2017,1.1,16.0, ,11.5,3.2,100,87,10.40,13.29
COLAC (MOUNT GELLIBRAND),07/09/2017,1.4,6.6, ,12.4,5.6,100,80,10.30,12.50
COLAC (MOUNT GELLIBRAND),08/09/2017,1.7,3.4, ,10.6,3.7,100,64,7.79,11.88
COLAC (MOUNT GELLIBRAND),09/09/2017,1.8,1.2, ,12.9,4.3,100,70,5.85,15.69
COLAC (MOUNT GELLIBRAND),10/09/2017,1.6,0.2, ,12.4,4.8,100,68,3.29,12.37
COLAC (MOUNT GELLIBRAND),11/09/2017,2.5,0.4, ,17.4,6.5,100,61,8.94,10.21
COLAC (MOUNT GELLIBRAND),12/09/2017,0.8,2.0, ,14.2,9.6,100,100,4.64,7.50
COLAC (MOUNT GELLIBRAND),13/09/2017,1.8,1.6, ,11.8,8.6,100,68,10.53,12.04
COLAC (MOUNT GELLIBRAND),14/09/2017,1.3,9.8, ,12.3,3.1,100,80,10.34,11.34
COLAC (MOUNT GELLIBRAND),15/09/2017,1.2,0.8, ,13.5,6.2,100,85,10.63,11.09
COLAC (MOUNT GELLIBRAND),16/09/2017,2.3,20.4, ,11.7,4.2,100,56,7.45,17.22
COLAC (MOUNT GELLIBRAND),17/09/2017,2.9,0.0, ,15.3,2.1,98,49,6.30,18.68
COLAC (MOUNT GELLIBRAND),18/09/2017,3.8,0.0, ,16.7,6.8,100,38,13.84,10.15
COLAC (MOUNT GELLIBRAND),19/09/2017,2.0,4.8, ,11.8,5.3,100,64,7.55,15.27
COLAC (MOUNT GELLIBRAND),20/09/2017,2.7,0.2, ,16.5,3.9,100,58,6.04,17.81
COLAC (MOUNT GELLIBRAND),21/09/2017,4.0,0.0, ,19.5,7.7,100,38,8.47,13.84
COLAC (MOUNT GELLIBRAND),22/09/2017,3.5,0.0, ,22.0,7.2,100,49,3.90,19.21
COLAC (MOUNT GELLIBRAND),23/09/2017,4.1,0.0, ,20.6,11.5,100,43,8.40,17.92
COLAC (MOUNT GELLIBRAND),24/09/2017,2.3,4.4, ,14.5,7.8,100,65,13.72,13.79
COLAC (MOUNT GELLIBRAND),25/09/2017,1.7,3.0, ,11.8,7.7,100,74,8.13,13.33
COLAC (MOUNT GELLIBRAND),26/09/2017,2.2,1.0, ,12.9,4.7,100,56,3.05,16.76
COLAC (MOUNT GELLIBRAND),27/09/2017,2.9,0.2, ,18.2,6.7,100,51,7.03,10.00
COLAC (MOUNT GELLIBRAND),28/09/2017,2.2,0.0, ,14.1,8.4,100,66,8.66,14.11
COLAC (MOUNT GELLIBRAND),29/09/2017,2.7,0.0, ,15.5,4.8,100,63,11.49,17.92
COLAC (MOUNT GELLIBRAND),30/09/2017,2.4,4.4, ,13.1,6.6,100,61,10.04,15.78
Totals:,,65.6,102.8, ,,,,,, 
