'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for December 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 January 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/12/2023,2.0,4.0, ,17.7,11.9,100,85,8.38,14.56
COLAC (MOUNT GELLIBRAND),02/12/2023,2.7,0.4, ,19.1,11.1,99,65,5.44,12.63
COLAC (MOUNT GELLIBRAND),03/12/2023,4.2,1.8, ,21.4,11.1,100,61,5.46,25.27
COLAC (MOUNT GELLIBRAND),04/12/2023,8.0,0.0, ,32.0,11.7,100,25,5.05,29.88
COLAC (MOUNT GELLIBRAND),05/12/2023,7.0,0.0, ,27.6,10.6,100,27,5.51,29.65
COLAC (MOUNT GELLIBRAND),06/12/2023,5.5,0.0, ,23.8,10.3,100,37,3.19,30.56
COLAC (MOUNT GELLIBRAND),07/12/2023,6.0,0.0, ,26.7,9.2,96,31,3.89,27.31
COLAC (MOUNT GELLIBRAND),08/12/2023,9.6,0.0, ,35.2,14.0,97,34,11.03,22.89
COLAC (MOUNT GELLIBRAND),09/12/2023,1.4,7.6, ,15.1,13.4,100,79,4.71,5.45
COLAC (MOUNT GELLIBRAND),10/12/2023,1.9,9.4, ,17.1,10.8,100,77,7.35,8.92
COLAC (MOUNT GELLIBRAND),11/12/2023,0.8,2.2, ,18.3,11.9,100,100,8.71,6.56
COLAC (MOUNT GELLIBRAND),12/12/2023,4.6,1.0, ,27.0,13.9,100,69,8.64,24.55
COLAC (MOUNT GELLIBRAND),13/12/2023,5.9,2.2, ,31.6,18.1,100,50,6.22,21.14
COLAC (MOUNT GELLIBRAND),14/12/2023,3.0,8.0, ,19.8,14.0,99,63,9.30,11.12
COLAC (MOUNT GELLIBRAND),15/12/2023,4.3,0.0, ,20.2,10.1,100,52,5.88,24.39
COLAC (MOUNT GELLIBRAND),16/12/2023,4.3,0.0, ,20.0,8.2,94,52,8.73,21.09
COLAC (MOUNT GELLIBRAND),17/12/2023,5.8,0.0, ,24.6,8.4,100,40,4.16,31.21
COLAC (MOUNT GELLIBRAND),18/12/2023,5.0,0.0, ,29.6,11.9,100,37,5.92,9.12
COLAC (MOUNT GELLIBRAND),19/12/2023,5.1,5.0, ,20.0,12.3,100,42,7.03,27.76
COLAC (MOUNT GELLIBRAND),20/12/2023,5.0,0.0, ,19.5,7.6,90,45,7.40,27.67
COLAC (MOUNT GELLIBRAND),21/12/2023,5.8,0.0, ,21.7,11.5,92,46,9.86,31.38
COLAC (MOUNT GELLIBRAND),22/12/2023,5.4,0.0, ,21.1,11.8,93,50,9.05,30.51
COLAC (MOUNT GELLIBRAND),23/12/2023,5.5,0.0, ,21.6,10.6,91,50,7.79,31.61
COLAC (MOUNT GELLIBRAND),24/12/2023,3.1,0.0, ,20.8,11.4,100,57,6.99,10.72
COLAC (MOUNT GELLIBRAND),25/12/2023,1.2,28.2, ,17.0,12.6,100,92,12.84,9.12
COLAC (MOUNT GELLIBRAND),26/12/2023,2.3,18.8, ,20.3,14.7,100,81,9.87,13.65
COLAC (MOUNT GELLIBRAND),27/12/2023,3.8,2.6, ,24.4,15.6,100,72,4.96,20.73
COLAC (MOUNT GELLIBRAND),28/12/2023,4.1,0.2, ,20.9,14.8,100,58,4.91,22.49
COLAC (MOUNT GELLIBRAND),29/12/2023,5.0,0.0, ,20.5,10.8,97,48,4.75,30.26
COLAC (MOUNT GELLIBRAND),30/12/2023,3.7,0.4, ,18.8,11.0,96,51,6.77,17.49
COLAC (MOUNT GELLIBRAND),31/12/2023,4.3,0.0, ,19.8,9.6,92,59,4.43,27.01
Totals:,,136.3,91.8, ,,,,,, 
