'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/11/2009,3.4,0.4, ,22.2,15.1,98,74,2.52,19.90
COLDSTREAM,02/11/2009,4.5,0.0, ,27.4,13.6,96,48,1.38,24.72
COLDSTREAM,03/11/2009,4.5,1.0, ,21.8,13.9,95,45,4.66,22.33
COLDSTREAM,04/11/2009,3.0,1.0, ,16.9,10.1,95,53,2.09,17.90
COLDSTREAM,05/11/2009,4.2,0.2, ,17.7,9.9,90,51,3.79,28.15
COLDSTREAM,06/11/2009,5.2,0.0, ,26.2,2.3,99,37,1.91,31.01
COLDSTREAM,07/11/2009,6.0,0.0, ,30.6,8.3,99,30,1.95,30.94
COLDSTREAM,08/11/2009,6.2,0.0, ,31.6,10.9,96,31,2.02,30.93
COLDSTREAM,09/11/2009,6.5,0.0, ,32.9,11.2,95,27,1.98,31.16
COLDSTREAM,10/11/2009,6.3,0.0, ,33.8,11.2,97,27,1.65,31.11
COLDSTREAM,11/11/2009,6.3,0.0, ,34.3,11.9,96,25,1.55,30.44
COLDSTREAM,12/11/2009, ,0.0, ,30.7,11.3,97,28,2.43, 
COLDSTREAM,13/11/2009,5.9,0.0, ,30.2,10.6,97,41,1.65,31.72
COLDSTREAM,14/11/2009,6.4,0.0, ,32.0,9.8,99,23,2.25,29.23
COLDSTREAM,15/11/2009,5.8,0.0, ,28.9,8.8,98,31,1.46,32.44
COLDSTREAM,16/11/2009, ,0.0, ,22.2,12.7,91,51,3.24, 
COLDSTREAM,17/11/2009, ,0.0, ,23.5,10.7,93,45,3.11, 
COLDSTREAM,18/11/2009, ,0.0, ,31.9,12.1,90,25,1.96, 
COLDSTREAM,19/11/2009, ,0.0, ,33.4,15.1,86,21,4.16, 
COLDSTREAM,20/11/2009, ,0.0, ,35.4,13.6,95,17,3.35, 
COLDSTREAM,21/11/2009, ,4.4, ,24.1,15.6,97,67,2.20, 
COLDSTREAM,22/11/2009, ,15.4, ,17.4,15.6,97,77,3.14, 
COLDSTREAM,23/11/2009, ,13.2, ,19.8,5.4,99,45,1.89, 
COLDSTREAM,24/11/2009, ,0.0, ,25.5,6.4,99,23,1.79, 
COLDSTREAM,25/11/2009, ,0.0, ,28.1,9.3,96,37,1.77, 
COLDSTREAM,26/11/2009, ,0.8, ,28.5,13.9,96,54,2.02, 
COLDSTREAM,27/11/2009, ,2.8, ,26.4,17.8,83,53,4.33, 
COLDSTREAM,28/11/2009,5.3,0.2, ,23.6,14.5,95,38,4.62,24.24
COLDSTREAM,29/11/2009,3.1,12.2, ,18.7,10.5,97,65,2.57,18.83
COLDSTREAM,30/11/2009,4.5,7.0, ,19.9,12.8,90,53,5.13,24.76
Totals:,,87.1,58.6, ,,,,,, 
