'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for June 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/06/2016, , , ,17.7, ,99,50,0.03,8.03
COLDSTREAM,02/06/2016,0.6,0.0, ,16.1,-0.3,99,66,0.35,9.58
COLDSTREAM,03/06/2016,0.5,0.2, ,9.9,2.4,99,90,0.42,6.44
COLDSTREAM,04/06/2016,0.5,5.2, ,12.4,5.9,99,99,0.10,3.45
COLDSTREAM,05/06/2016,0.6,5.2, ,16.3,8.5,99,80,0.85,4.94
COLDSTREAM,06/06/2016,0.8,0.4, ,13.6,3.5,99,72,2.32,7.50
COLDSTREAM,07/06/2016,0.7,1.8, ,13.0,8.9,99,76,1.78,4.90
COLDSTREAM,08/06/2016,1.2,6.2, ,14.4,7.7,96,67,4.57,4.13
COLDSTREAM,09/06/2016,1.3,0.6, ,16.2,11.5,97,63,3.68,6.56
COLDSTREAM,10/06/2016,1.0,4.0, ,13.7,5.5,99,66,3.45,6.98
COLDSTREAM,11/06/2016,0.8,6.2, ,11.9,6.2,98,69,2.75,5.87
COLDSTREAM,12/06/2016,0.6,2.6, ,13.2,1.8,99,53,0.52,7.04
COLDSTREAM,13/06/2016,0.9,0.2, ,13.9,-1.6,99,51,1.50,9.24
COLDSTREAM,14/06/2016,1.1,0.0, ,14.4,0.8,98,56,2.74,8.98
COLDSTREAM,15/06/2016,0.7,0.0, ,16.6,-0.3,99,57,0.88,9.22
COLDSTREAM,16/06/2016,1.1,0.0, ,14.6,-0.8,99,61,2.65,5.56
COLDSTREAM,17/06/2016,0.8,0.2, ,14.9,7.7,99,73,2.19,3.57
COLDSTREAM,18/06/2016,0.7,21.8, ,11.7,9.3,99,74,2.23,4.75
COLDSTREAM,19/06/2016,0.5,0.0, ,12.8,3.4,99,78,0.68,7.26
COLDSTREAM,20/06/2016,0.6,5.4, ,13.5,7.5,99,88,2.40,2.89
COLDSTREAM,21/06/2016,0.9,2.2, ,13.7,8.4,99,72,3.45,7.12
COLDSTREAM,22/06/2016,1.3,1.6, ,13.8,9.4,91,64,3.99,4.87
COLDSTREAM,23/06/2016,1.5,0.0, ,13.9,10.3,96,60,6.16,6.88
COLDSTREAM,24/06/2016,0.8,18.4, ,9.5,2.7,99,67,2.69,7.16
COLDSTREAM,25/06/2016,0.4,4.2, ,10.7,0.5,99,73,0.51,8.23
COLDSTREAM,26/06/2016,0.7,0.2, ,9.7,-2.2,99,67,2.08,6.56
COLDSTREAM,27/06/2016,0.6,0.0, ,9.3,1.7,99,79,1.72,4.10
COLDSTREAM,28/06/2016,0.8,1.0, ,13.4,0.3,99,71,2.83,8.34
COLDSTREAM,29/06/2016,1.2,1.0, ,14.6,2.4,99,62,3.55,8.54
COLDSTREAM,30/06/2016,1.2,0.0, ,10.6,5.9,93,65,5.71,4.30
Totals:,,24.4,88.6, ,,,,,, 
