'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/06/2017,0.5,0.2, ,12.3,1.4,99,78,0.49,5.01
COLDSTREAM,02/06/2017,0.6,0.0, ,14.5,6.1,99,70,0.39,6.80
COLDSTREAM,03/06/2017,0.6,0.2, ,13.8,4.7,99,73,0.33,6.08
COLDSTREAM,04/06/2017,0.6,0.0, ,14.7,-0.4,99,62,0.40,7.89
COLDSTREAM,05/06/2017,0.7,0.0, ,13.9,1.6,99,71,1.59,5.75
COLDSTREAM,06/06/2017,1.0,11.8, ,13.5,3.9,99,62,2.59,6.58
COLDSTREAM,07/06/2017,0.7,0.2, ,14.0,-1.1,99,59,1.20,9.39
COLDSTREAM,08/06/2017,0.5,0.2, ,12.4,-1.1,99,73,0.62,6.70
COLDSTREAM,09/06/2017,0.8,7.4, ,14.4,5.3,99,63,1.38,7.13
COLDSTREAM,10/06/2017,0.5,0.4, ,14.7,1.3,99,69,0.34,7.78
COLDSTREAM,11/06/2017,0.7,0.2, ,15.9,1.1,99,65,1.18,8.82
COLDSTREAM,12/06/2017,0.6,0.0, ,14.5,3.2,99,75,0.64,4.81
COLDSTREAM,13/06/2017,0.6,0.6, ,14.7,5.0,99,70,0.46,5.70
COLDSTREAM,14/06/2017,0.8,0.2, ,15.9,0.3,99,58,1.24,9.23
COLDSTREAM,15/06/2017,0.8,0.0, ,16.9,3.3,99,60,1.11,7.67
COLDSTREAM,16/06/2017,0.5,0.0, ,17.1,0.7,99,59,0.30,9.07
COLDSTREAM,17/06/2017,0.5,0.2, ,15.7,-0.6,99,64,0.32,8.23
COLDSTREAM,18/06/2017,0.6,0.0, ,16.1,0.9,99,65,0.55,8.45
COLDSTREAM,19/06/2017,0.5,0.0, ,15.8,0.0,99,70,0.33,6.42
COLDSTREAM,20/06/2017,0.9,0.0, ,13.9,-0.8,99,64,2.28,9.19
COLDSTREAM,21/06/2017,0.5,0.8, ,12.2,2.7,99,82,0.51,4.05
COLDSTREAM,22/06/2017,0.7,0.6, ,12.9,0.7,99,63,1.33,6.88
COLDSTREAM,23/06/2017,1.1,0.0, ,13.6,2.6,99,62,3.38,8.53
COLDSTREAM,24/06/2017,0.6,3.0, ,12.2,3.2,99,63,0.76,5.64
COLDSTREAM,25/06/2017,1.0,0.0, ,11.7,6.6,99,65,3.35,5.97
COLDSTREAM,26/06/2017,0.5,1.6, ,11.5,4.8,99,81,0.40,5.57
COLDSTREAM,27/06/2017,0.5,0.2, ,10.4,0.9,99,79,0.85,5.25
COLDSTREAM,28/06/2017,0.7,0.0, ,12.7,4.0,99,68,1.18,5.67
COLDSTREAM,29/06/2017,0.7,0.2, ,12.6,3.3,99,67,1.50,4.94
COLDSTREAM,30/06/2017,0.6,2.4, ,11.6,3.4,99,59,0.99,6.66
Totals:,,19.9,30.4, ,,,,,, 
