'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/08/2017,0.9,0.2, ,15.0,0.3,99,59,0.74,10.43
COLDSTREAM,02/08/2017,0.7,0.2, ,11.5,-1.3,99,77,0.43,8.28
COLDSTREAM,03/08/2017,0.5,0.0, ,8.1,-1.1,99,90,0.34,4.93
COLDSTREAM,04/08/2017,0.9,7.6, ,10.6,1.2,99,72,3.00,5.48
COLDSTREAM,05/08/2017,1.9,1.0, ,13.3,7.7,91,57,5.62,10.35
COLDSTREAM,06/08/2017,1.6,0.0, ,11.8,8.5,90,61,5.46,6.34
COLDSTREAM,07/08/2017,1.0,3.8, ,10.7,6.6,99,72,3.04,5.75
COLDSTREAM,08/08/2017,0.9,4.8, ,13.7,2.5,99,62,0.90,7.43
COLDSTREAM,09/08/2017,1.6,0.4, ,15.5,5.3,99,61,3.64,10.64
COLDSTREAM,10/08/2017,4.0,0.0, ,19.5,11.1,63,34,6.45,11.82
COLDSTREAM,11/08/2017,2.2,0.0, ,16.4,7.6,85,47,4.07,10.12
COLDSTREAM,12/08/2017,1.6,2.6, ,16.0,9.0,99,58,2.96,8.61
COLDSTREAM,13/08/2017,1.9,2.0, ,17.6,3.4,99,50,2.62,12.53
COLDSTREAM,14/08/2017,2.2,0.0, ,18.9,11.4,99,44,3.14,11.69
COLDSTREAM,15/08/2017,1.3,0.8, ,16.3,3.0,99,69,3.73,2.91
COLDSTREAM,16/08/2017,3.0,2.2, ,16.9,11.1,80,43,6.14,9.38
COLDSTREAM,17/08/2017,1.9,4.2, ,14.7,8.6,99,56,5.11,8.81
COLDSTREAM,18/08/2017,1.4,6.6, ,11.8,7.5,99,64,5.05,7.56
COLDSTREAM,19/08/2017,1.0,11.8, ,10.5,3.6,99,69,1.59,7.72
COLDSTREAM,20/08/2017,1.3,1.0, ,13.6,-0.6,99,45,0.67,13.43
COLDSTREAM,21/08/2017,1.0,0.2, ,11.6,2.1,99,69,1.29,7.20
COLDSTREAM,22/08/2017,1.5,1.2, ,16.4,-0.5,99,55,1.36,11.78
COLDSTREAM,23/08/2017,1.7,0.4, ,16.7,2.4,99,54,2.20,10.47
COLDSTREAM,24/08/2017,1.3,7.0, ,13.9,3.1,99,62,1.14,10.57
COLDSTREAM,25/08/2017,1.5,0.0, ,14.9,1.7,99,49,0.81,13.98
COLDSTREAM,26/08/2017,1.5,0.2, ,14.0,7.1,95,57,2.24,7.81
COLDSTREAM,27/08/2017,1.7,10.0, ,11.2,3.4,99,51,3.54,11.95
COLDSTREAM,28/08/2017,1.1,1.0, ,11.4,-1.7,99,65,0.68,9.83
COLDSTREAM,29/08/2017,1.1,0.0, ,12.8,0.5,99,58,0.59,9.05
COLDSTREAM,30/08/2017,1.3,0.0, ,13.5,2.7,99,54,1.33,8.92
COLDSTREAM,31/08/2017,1.8,0.2, ,16.4,-2.5,99,47,1.08,15.82
Totals:,,47.3,69.4, ,,,,,, 
