'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for July 2019,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 August 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/07/2019,1.7,0.0, ,13.2,8.3,80,58,5.21,7.85
COLDSTREAM,02/07/2019,1.3,0.0, ,14.8,8.5,96,61,3.75,6.73
COLDSTREAM,03/07/2019,0.6,0.2, ,13.2,5.7,100,76,1.09,6.17
COLDSTREAM,04/07/2019,0.5,0.2, ,12.7,2.4,100,74,0.34,6.81
COLDSTREAM,05/07/2019,0.6,0.0, ,17.9,-0.8,100,56,0.40,9.39
COLDSTREAM,06/07/2019,0.6,0.2, ,18.8,-0.4,100,50,0.47,9.39
COLDSTREAM,07/07/2019,1.0,0.0, ,18.7,2.5,100,56,1.34,6.62
COLDSTREAM,08/07/2019,0.8,3.6, ,15.1,8.1,100,58,1.12,8.63
COLDSTREAM,09/07/2019,0.8,0.0, ,14.1,1.8,100,71,1.67,7.17
COLDSTREAM,10/07/2019,1.6,0.2, ,13.8,6.3,99,57,6.52,7.43
COLDSTREAM,11/07/2019,1.2,3.6, ,12.7,7.4,99,65,4.78,4.62
COLDSTREAM,12/07/2019,1.4,6.4, ,14.4,8.9,99,62,5.17,5.19
COLDSTREAM,13/07/2019,1.0,5.8, ,10.6,6.3,99,64,3.45,5.37
COLDSTREAM,14/07/2019,0.9,7.6, ,10.7,0.1,100,71,4.16,4.51
COLDSTREAM,15/07/2019,0.8,25.2, ,12.3,7.6,100,77,2.90,4.37
COLDSTREAM,16/07/2019,0.7,2.2, ,12.4,8.5,99,84,2.20,4.64
COLDSTREAM,17/07/2019,0.7,0.6, ,11.4,8.3,99,77,2.25,4.39
COLDSTREAM,18/07/2019,1.2,4.0, ,13.7,4.2,100,60,3.01,8.89
COLDSTREAM,19/07/2019,1.0,3.0, ,14.6,6.2,100,59,1.71,9.01
COLDSTREAM,20/07/2019,1.6,0.0, ,16.4,2.1,99,58,4.11,9.33
COLDSTREAM,21/07/2019,1.5,0.0, ,14.7,7.4,98,53,3.94,7.26
COLDSTREAM,22/07/2019,1.6,0.0, ,15.0,0.6,100,54,4.20,10.57
COLDSTREAM,23/07/2019,2.1,0.0, ,15.3,9.4,99,48,6.52,8.75
COLDSTREAM,24/07/2019,0.9,5.2, ,12.2,0.6,100,64,1.86,7.90
COLDSTREAM,25/07/2019,1.0,0.0, ,12.6,5.5,97,74,3.27,5.39
COLDSTREAM,26/07/2019,1.0,0.0, ,13.8,10.4,100,68,2.79,4.75
COLDSTREAM,27/07/2019,0.9,8.0, ,14.9,7.4,100,62,1.07,8.15
COLDSTREAM,28/07/2019,1.0,0.0, ,15.0,3.0,100,56,1.08,8.88
COLDSTREAM,29/07/2019,0.9,0.4, ,14.2,6.8,100,62,0.78,9.72
COLDSTREAM,30/07/2019,1.1,0.4, ,12.1,6.4,99,61,2.33,7.93
COLDSTREAM,31/07/2019,0.9,0.0, ,13.4,-0.3,100,62,0.80,11.40
Totals:,,32.9,76.8, ,,,,,, 
