'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM COMPARISON Victoria for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM COMPARISON,01/04/2014,4.7,0.0, ,33.3,16.0,86,25,2.57,17.12
COLDSTREAM COMPARISON,02/04/2014,2.4,0.0, ,26.8,19.0,95,45,2.60,4.31
COLDSTREAM COMPARISON,03/04/2014,1.2,4.4, ,17.4,13.8,97,67,1.86,3.87
COLDSTREAM COMPARISON,04/04/2014,2.4,0.0, ,22.3,12.8,93,55,2.33,11.42
COLDSTREAM COMPARISON,05/04/2014,2.8,0.0, ,24.5,9.7,97,50,2.40,14.18
COLDSTREAM COMPARISON,06/04/2014,2.6,0.0, ,25.0,6.0,98,50,1.66,15.84
COLDSTREAM COMPARISON,07/04/2014,2.1,0.0, ,25.7,6.9,97,43,0.90,11.66
COLDSTREAM COMPARISON,08/04/2014,1.6,0.0, ,23.3,12.2,97,48,1.10,5.38
COLDSTREAM COMPARISON,09/04/2014,0.8,12.6, ,17.4,15.6,98,92,0.91,2.97
COLDSTREAM COMPARISON,10/04/2014,0.8,25.2, ,18.3,15.6,99,92,0.73,3.12
COLDSTREAM COMPARISON,11/04/2014,1.2,9.0, ,19.5,16.4,98,82,2.52,5.37
COLDSTREAM COMPARISON,12/04/2014,2.8,2.8, ,22.4,14.3,87,59,3.70,13.34
COLDSTREAM COMPARISON,13/04/2014,2.2,0.2, ,21.4,7.3,97,52,2.08,12.02
COLDSTREAM COMPARISON,14/04/2014,2.6,0.0, ,20.5,6.7,95,45,2.88,14.66
COLDSTREAM COMPARISON,15/04/2014,2.0,0.0, ,21.5,3.3,98,51,1.15,14.42
COLDSTREAM COMPARISON,16/04/2014,1.8,0.0, ,22.2,4.4,97,48,0.86,12.21
COLDSTREAM COMPARISON,17/04/2014,1.8,0.0, ,24.2,5.3,98,36,0.50,14.61
COLDSTREAM COMPARISON,18/04/2014,1.5,0.0, ,18.6,6.8,95,58,1.93,5.67
COLDSTREAM COMPARISON,19/04/2014,1.0,1.8, ,14.5,6.1,96,67,0.72,5.11
COLDSTREAM COMPARISON,20/04/2014,1.5,0.6, ,17.0,8.6,91,48,1.56,7.08
COLDSTREAM COMPARISON,21/04/2014,2.6,0.0, ,19.4,6.6,89,44,4.03,10.17
COLDSTREAM COMPARISON,22/04/2014,1.7,0.4, ,17.1,13.7,91,45,2.49,3.33
COLDSTREAM COMPARISON,23/04/2014,1.5,1.8, ,18.9,8.1,97,53,0.68,12.24
COLDSTREAM COMPARISON,24/04/2014,1.9,0.6, ,17.1,6.2,95,41,2.26,9.35
COLDSTREAM COMPARISON,25/04/2014,1.8,0.2, ,21.2,-1.2,98,41,1.10,13.96
COLDSTREAM COMPARISON,26/04/2014,1.8,0.0, ,20.2,6.1,94,51,2.74,3.95
COLDSTREAM COMPARISON,27/04/2014,1.6,1.2, ,16.6,-0.2,98,52,1.75,13.31
COLDSTREAM COMPARISON,28/04/2014,2.1,0.0, ,23.3,-0.2,99,49,2.18,10.77
COLDSTREAM COMPARISON,29/04/2014,1.9,0.0, ,21.1,11.1,96,54,3.36,3.00
COLDSTREAM COMPARISON,30/04/2014,1.2,21.6, ,15.8,7.4,98,56,1.09,7.41
Totals:,,57.9,82.4, ,,,,,, 
