'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM COMPARISON Victoria for September 2019,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM COMPARISON,01/09/2019,2.1,0.0, ,19.7,3.3,100,43,2.04,10.49
COLDSTREAM COMPARISON,02/09/2019,1.8,6.2, ,17.1,8.8,100,57,1.56,12.03
COLDSTREAM COMPARISON,03/09/2019,2.2,1.0, ,22.0,5.7,100,39,0.91,16.42
COLDSTREAM COMPARISON,04/09/2019,1.9,0.2, ,18.4,4.1,100,46,1.00,13.69
COLDSTREAM COMPARISON,05/09/2019,2.0,0.0, ,20.4,5.3,100,40,0.81,15.31
COLDSTREAM COMPARISON,06/09/2019,1.9,6.8, ,15.8,8.9,100,49,1.88,11.85
COLDSTREAM COMPARISON,07/09/2019,1.6,10.8, ,12.1,6.7,99,65,4.23,9.74
COLDSTREAM COMPARISON,08/09/2019,1.3,1.6, ,14.1,5.8,99,66,1.54,8.02
COLDSTREAM COMPARISON,09/09/2019,1.8,28.0, ,12.5,5.5,100,57,2.99,12.42
COLDSTREAM COMPARISON,10/09/2019,1.5,2.0, ,15.0,5.7,100,54,0.49,11.99
COLDSTREAM COMPARISON,11/09/2019,2.4,0.0, ,18.8,0.4,100,45,1.53,17.88
COLDSTREAM COMPARISON,12/09/2019,2.7,0.0, ,19.6,6.8,92,39,3.08,9.96
COLDSTREAM COMPARISON,13/09/2019,1.8,0.0, ,16.7,2.0,100,55,0.96,14.03
COLDSTREAM COMPARISON,14/09/2019,2.2,0.0, ,18.9,3.0,100,49,0.55,18.43
COLDSTREAM COMPARISON,15/09/2019,1.7,3.4, ,17.9,8.4,100,53,2.61,4.70
COLDSTREAM COMPARISON,16/09/2019,1.9,27.4, ,12.9,8.2,100,53,2.10,13.00
COLDSTREAM COMPARISON,17/09/2019,2.2,0.0, ,14.7,-0.4,100,51,1.65,18.74
COLDSTREAM COMPARISON,18/09/2019,2.3,0.0, ,18.8,-0.6,100,45,0.82,19.07
COLDSTREAM COMPARISON,19/09/2019,3.2,0.2, ,22.9,2.6,100,48,2.63,19.40
COLDSTREAM COMPARISON,20/09/2019,3.9,0.0, ,25.3,12.5,64,42,2.86,15.69
COLDSTREAM COMPARISON,21/09/2019,2.9,0.0, ,21.3,19.7,99,42,4.75,7.45
COLDSTREAM COMPARISON,22/09/2019,2.3,8.0, ,15.1,3.2,100,47,1.96,16.26
COLDSTREAM COMPARISON,23/09/2019,1.6,1.4, ,14.3,6.2,100,62,1.30,10.03
COLDSTREAM COMPARISON,24/09/2019,1.5,0.6, ,15.1,2.2,100,58,0.85,10.12
COLDSTREAM COMPARISON,25/09/2019,1.6,0.0, ,15.4,3.7,100,60,0.47,11.80
COLDSTREAM COMPARISON,26/09/2019,2.5,0.0, ,19.1,2.0,100,51,0.72,19.37
COLDSTREAM COMPARISON,27/09/2019,2.7,0.0, ,20.3,4.0,100,46,2.89,11.85
COLDSTREAM COMPARISON,28/09/2019,1.9,1.2, ,14.5,2.6,100,57,0.83,14.32
COLDSTREAM COMPARISON,29/09/2019,1.9,0.0, ,15.6,3.8,100,57,1.40,13.06
COLDSTREAM COMPARISON,30/09/2019,1.7,0.0, ,14.6,6.6,99,56,1.43,10.14
Totals:,,63,98.8, ,,,,,, 
