'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM COMPARISON Victoria for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM COMPARISON,01/08/2020,1.2,0.2, ,15.4,0.9,100,63,1.85,11.41
COLDSTREAM COMPARISON,02/08/2020,1.3,0.0, ,17.1,0.9,100,57,1.76,11.77
COLDSTREAM COMPARISON,03/08/2020, ,0.0, , ,4.8,100,58,1.17,9.23
COLDSTREAM COMPARISON,04/08/2020,1.0,120.8, ,8.3,2.6,100,65,2.82,6.83
COLDSTREAM COMPARISON,05/08/2020,0.9,22.8, ,11.2,1.1,100,72,1.99,8.04
COLDSTREAM COMPARISON,06/08/2020,1.0,1.8, ,12.3,2.0,100,64,0.95,10.40
COLDSTREAM COMPARISON,07/08/2020,1.1,0.2, ,12.9,0.0,100,63,2.77,5.10
COLDSTREAM COMPARISON,08/08/2020,1.6,2.2, ,15.9,2.1,87,68,4.75,6.97
COLDSTREAM COMPARISON,09/08/2020,1.6,0.2, ,15.0,6.6,95,61,3.14,10.67
COLDSTREAM COMPARISON,10/08/2020,1.2,0.0, ,16.3,0.0,100,61,0.80,12.75
COLDSTREAM COMPARISON,11/08/2020,1.4,0.0, ,15.6,-0.6,100,55,1.59,11.66
COLDSTREAM COMPARISON,12/08/2020,1.2,0.0, ,16.3,5.9,98,68,1.82,8.29
COLDSTREAM COMPARISON,13/08/2020,1.3,0.2, ,17.5,8.4,100,72,1.51,9.88
COLDSTREAM COMPARISON,14/08/2020,1.1,1.8, ,17.2,7.2,100,65,0.79,7.83
COLDSTREAM COMPARISON,15/08/2020,1.1,1.4, ,17.2,3.7,100,66,0.71,9.20
COLDSTREAM COMPARISON,16/08/2020,0.8,1.2, ,12.9,7.9,100,90,2.06,5.08
COLDSTREAM COMPARISON,17/08/2020,1.6,13.2, ,16.1,8.8,98,54,1.56,12.04
COLDSTREAM COMPARISON,18/08/2020,1.9,0.2, ,16.5,9.6,90,58,2.83,11.20
COLDSTREAM COMPARISON,19/08/2020,0.9,4.4, ,11.1,8.4,99,79,2.07,6.49
COLDSTREAM COMPARISON,20/08/2020,1.6,5.2, ,14.5,7.9,96,58,2.92,9.85
COLDSTREAM COMPARISON,21/08/2020,1.6,3.8, ,12.8,6.4,100,55,3.10,9.99
COLDSTREAM COMPARISON,22/08/2020,0.9,8.4, ,9.8,4.7,100,74,2.51,5.09
COLDSTREAM COMPARISON,23/08/2020,1.4,27.2, ,11.4,5.3,100,63,2.51,10.68
COLDSTREAM COMPARISON,24/08/2020,1.2,4.0, ,12.6,3.8,100,66,1.07,10.77
COLDSTREAM COMPARISON,25/08/2020,1.0,1.6, ,11.9,1.8,100,69,0.61,8.84
COLDSTREAM COMPARISON,26/08/2020,1.5,0.0, ,14.8,3.5,100,55,1.12,12.75
COLDSTREAM COMPARISON,27/08/2020,2.4,0.0, ,17.6,4.9,96,53,4.80,12.60
COLDSTREAM COMPARISON,28/08/2020, ,3.2, , ,3.1,100,56,0.62,12.96
COLDSTREAM COMPARISON,29/08/2020,2.1, , ,18.1,1.7,100,53,2.11,15.66
COLDSTREAM COMPARISON,30/08/2020,3.1,0.0, ,20.8,7.3,96,42,4.51,12.17
COLDSTREAM COMPARISON,31/08/2020,1.5,4.2, ,13.1,5.4,100,59,1.43,11.95
Totals:,,40.5,228.2, ,,,,,, 
