'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/10/2010,2.7,0.2, ,15.4,5.1,95,53,0.45,21.48
COMBIENBAR,02/10/2010,3.5,0.0, ,21.4,6.1,93,40,1.84,21.71
COMBIENBAR,03/10/2010,4.0,0.0, ,21.5,9.4,78,46,3.03,22.66
COMBIENBAR,04/10/2010,4.4,0.0, ,24.5,10.5,85,34,2.37,23.78
COMBIENBAR,05/10/2010,2.7,0.0, ,19.2,10.3,97,61,0.92,17.12
COMBIENBAR,06/10/2010,4.4,0.0, ,26.8,10.2,92,27,1.93,22.77
COMBIENBAR,07/10/2010,2.9,15.0, ,13.7,5.1,98,52,1.75,22.60
COMBIENBAR,08/10/2010,2.4,0.0, ,13.8,5.9,91,60,1.37,16.70
COMBIENBAR,09/10/2010,2.6,0.0, ,17.3,6.5,91,54,0.31,18.86
COMBIENBAR,10/10/2010,2.1,0.0, ,13.9,8.6,86,68,1.96,12.92
COMBIENBAR,11/10/2010,4.9,0.0, ,23.7,9.1,81,44,4.14,25.45
COMBIENBAR,12/10/2010,2.4,0.0, ,18.2,12.3,93,64,1.78,13.05
COMBIENBAR,13/10/2010,2.1,2.8, ,17.8,12.2,98,69,0.48,12.48
COMBIENBAR,14/10/2010,3.3,10.0, ,19.8,8.8,99,57,0.56,22.67
COMBIENBAR,15/10/2010,2.0,4.8, ,20.1,10.0,99,66,2.29,8.71
COMBIENBAR,16/10/2010,1.8,29.0, ,8.2,1.0,97,65,3.92,14.69
COMBIENBAR,17/10/2010,2.6,1.8, ,14.7,1.8,87,59,2.67,17.70
COMBIENBAR,18/10/2010,3.3,0.0, ,16.7,5.6,96,62,1.00,24.85
COMBIENBAR,19/10/2010,3.3,0.2, ,13.7,4.0,88,52,1.34,26.17
COMBIENBAR,20/10/2010,3.7,0.0, ,18.4,5.2,90,53,0.41,28.24
COMBIENBAR,21/10/2010,4.1,0.0, ,23.2,7.9,87,40,0.38,28.11
COMBIENBAR,22/10/2010,4.8,0.0, ,26.0,12.5,82,30,1.21,28.00
COMBIENBAR,23/10/2010,2.3,0.6, ,15.0,12.4,99,49,1.77,11.95
COMBIENBAR,24/10/2010,3.1,10.6, ,17.6,4.4,95,58,0.69,21.84
COMBIENBAR,25/10/2010,3.6,0.0, ,21.4,6.4,95,48,1.07,23.07
COMBIENBAR,26/10/2010,4.3,0.0, ,22.2,10.7,97,28,1.38,25.97
COMBIENBAR,27/10/2010,2.0,10.2, ,13.3,8.2,98,86,0.47,13.53
COMBIENBAR,28/10/2010,4.3,1.8, ,21.9,6.0,94,45,1.60,27.78
COMBIENBAR,29/10/2010,5.1,0.0, ,25.0,9.7,79,38,1.85,29.57
COMBIENBAR,30/10/2010,3.5,0.0, ,24.5,13.5,88,54,1.90,17.11
COMBIENBAR,31/10/2010,5.4,4.6, ,25.1,14.9,98,30,3.21,26.29
Totals:,,103.6,91.6, ,,,,,, 
