'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/04/2012,1.0,0.0, ,18.0,12.1,98,81,0.01,4.24
COMBIENBAR,02/04/2012,2.6,2.2, ,24.2,11.7,97,44,0.52,17.89
COMBIENBAR,03/04/2012,2.2,0.0, ,27.0,15.3,90,38,0.27,13.98
COMBIENBAR,04/04/2012,2.4,0.0, ,25.1,13.5,92,49,0.18,16.79
COMBIENBAR,05/04/2012,2.0,0.0, ,23.7,14.7,96,70,0.19,12.78
COMBIENBAR,06/04/2012,2.8,0.0, ,27.6,15.9,90,49,0.99,15.81
COMBIENBAR,07/04/2012,2.2,0.0, ,15.5,10.1,88,48,1.28,16.06
COMBIENBAR,08/04/2012,1.3,0.0, ,15.3,7.9,90,64,0.33,8.76
COMBIENBAR,09/04/2012,1.2,0.0, ,12.8,8.6,97,57,1.69,3.81
COMBIENBAR,10/04/2012,1.2,23.4, ,10.1,2.3,97,79,1.65,10.85
COMBIENBAR,11/04/2012,1.6,1.4, ,14.1,4.9,93,67,0.36,15.60
COMBIENBAR,12/04/2012,1.6,0.0, ,18.3,5.8,94,41,0.05,15.82
COMBIENBAR,13/04/2012,1.7,0.0, ,19.5,10.9,82,39,0.06,15.68
COMBIENBAR,14/04/2012,1.8,0.0, ,19.3,12.3,77,47,0.29,14.05
COMBIENBAR,15/04/2012,2.1,0.0, ,22.4,12.6,67,37,0.66,15.13
COMBIENBAR,16/04/2012,1.8,0.0, ,21.0,15.2,96,47,0.14,14.47
COMBIENBAR,17/04/2012,1.7,0.0, ,20.6,9.8,98,56,0.21,13.60
COMBIENBAR,18/04/2012,1.0,9.0, ,17.3,11.9,98,89,1.21,6.20
COMBIENBAR,19/04/2012,1.2,11.6, ,19.5,13.8,98,79,1.38,5.95
COMBIENBAR,20/04/2012,1.6,1.0, ,21.1,12.8,97,67,0.22,12.06
COMBIENBAR,21/04/2012,1.4,0.0, ,19.5,12.9,97,76,0.19,10.24
COMBIENBAR,22/04/2012,1.2,0.0, ,18.7,13.5,90,59,1.22,3.65
COMBIENBAR,23/04/2012,1.9,1.2, ,21.9,12.6,95,44,1.42,10.67
COMBIENBAR,24/04/2012,0.9,0.6, ,11.9,9.3,97,68,0.85,4.77
COMBIENBAR,25/04/2012,0.8,14.8, ,9.9,6.0,98,83,4.15,2.27
COMBIENBAR,26/04/2012,1.1,49.4, ,13.6,7.2,98,76,1.31,7.69
COMBIENBAR,27/04/2012,1.1,0.0, ,15.1,8.0,91,65,0.46,8.81
COMBIENBAR,28/04/2012,1.4,0.0, ,18.8,8.0,86,55,0.38,13.16
COMBIENBAR,29/04/2012,0.9,1.4, ,10.5,6.2,97,73,0.94,6.65
COMBIENBAR,30/04/2012,1.3,0.0, ,17.1,4.6,87,59,0.52,12.87
Totals:,,47,116, ,,,,,, 
