'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/11/2013,4.6,0.0, ,23.2,5.8,94,46,0.15,31.61
COMBIENBAR,02/11/2013,4.9,0.0, ,26.2,11.6,80,25,0.44,30.64
COMBIENBAR,03/11/2013,2.2,0.0, ,11.6,9.9,94,36,2.39,9.77
COMBIENBAR,04/11/2013,2.3,7.0, ,12.0,3.3,94,65,1.93,16.49
COMBIENBAR,05/11/2013,4.9,1.0, ,21.3,4.5,86,41,0.39,33.86
COMBIENBAR,06/11/2013,5.5,0.0, ,27.5,10.4,65,23,0.50,33.91
COMBIENBAR,07/11/2013,5.7,0.0, ,30.4,15.9,62,21,1.24,29.14
COMBIENBAR,08/11/2013,3.1,0.0, ,23.4,11.6,94,46,0.78,16.09
COMBIENBAR,09/11/2013,2.3,0.6, ,16.0,8.8,97,59,1.09,13.62
COMBIENBAR,10/11/2013,2.0,2.4, ,11.5,5.6,97,73,0.25,13.24
COMBIENBAR,11/11/2013,1.1,8.0, ,10.6,6.3,97,88,0.54,5.43
COMBIENBAR,12/11/2013,2.1,37.0, ,16.0,7.4,98,68,1.08,12.27
COMBIENBAR,13/11/2013,3.6,17.8, ,18.2,7.6,95,47,1.63,22.83
COMBIENBAR,14/11/2013,2.8,0.0, ,16.6,10.1,97,60,1.27,16.65
COMBIENBAR,15/11/2013,2.9,0.0, ,15.9,7.2,91,63,0.50,19.16
COMBIENBAR,16/11/2013,1.9,3.0, ,14.9,8.1,96,77,0.19,11.42
COMBIENBAR,17/11/2013,4.7,3.2, ,20.8,6.5,90,44,0.58,32.30
COMBIENBAR,18/11/2013,5.5,0.0, ,23.6,8.2,90,41,0.67,34.81
COMBIENBAR,19/11/2013,5.8,0.0, ,28.1,11.5,74,29,0.47,34.40
COMBIENBAR,20/11/2013,4.2,0.0, ,25.0,10.7,97,38,0.32,24.95
COMBIENBAR,21/11/2013,2.6,0.0, ,20.2,13.5,96,39,2.11,9.18
COMBIENBAR,22/11/2013,2.4,0.0, ,18.4,13.5,98,73,0.43,13.35
COMBIENBAR,23/11/2013,2.7,14.4, ,19.0,10.7,98,71,0.15,16.01
COMBIENBAR,24/11/2013,1.5,1.6, ,13.9,8.4,98,82,1.06,7.68
COMBIENBAR,25/11/2013,1.8,2.0, ,13.4,8.0,99,87,0.48,10.59
COMBIENBAR,26/11/2013,5.2,2.8, ,20.9,7.2,88,52,0.39,34.95
COMBIENBAR,27/11/2013,5.8,0.0, ,25.6,11.8,66,34,0.26,35.45
COMBIENBAR,28/11/2013,3.5,0.0, ,25.0,17.1,97,26,2.17,11.61
COMBIENBAR,29/11/2013,1.3,0.0, ,12.6,8.0,97,82,1.60,6.69
COMBIENBAR,30/11/2013,4.6,0.0, ,18.4,6.3,89,53,0.91,32.61
Totals:,,103.5,100.8, ,,,,,, 
