'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for December 2018,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 January 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/12/2018,5.1,1.4, ,27.7,10.0,98,29,0.58,30.15
COMBIENBAR,02/12/2018,2.0,0.0, ,15.5,12.0,98,27,1.57,6.66
COMBIENBAR,03/12/2018,4.9,4.8, ,23.6,7.9,86,36,1.51,28.54
COMBIENBAR,04/12/2018,4.2,0.2, ,21.1,10.2,87,47,1.28,24.49
COMBIENBAR,05/12/2018,4.9,0.0, ,25.3,8.6,89,46,0.36,30.14
COMBIENBAR,06/12/2018,5.6,0.0, ,31.9,11.6,87,25,0.72,30.34
COMBIENBAR,07/12/2018,6.1,0.2, ,35.9,20.4,58,20,0.80,29.29
COMBIENBAR,08/12/2018,4.8,0.0, ,33.8,23.6,94,27,0.72,21.07
COMBIENBAR,09/12/2018, ,36.0, ,24.9, ,100,55,0.74,8.68
COMBIENBAR,10/12/2018,3.8,9.2, ,21.8,13.9,98,64,0.82,21.32
COMBIENBAR,11/12/2018, ,0.0, ,24.6, ,100,54,0.54,27.41
COMBIENBAR,12/12/2018,3.8,0.0, ,28.5,12.4,93,46,0.60,19.41
COMBIENBAR,13/12/2018,1.9,1.4, ,23.4,15.8,97,66,1.28,6.75
COMBIENBAR,14/12/2018,2.6,21.2, ,24.6,14.5,98,68,0.92,12.41
COMBIENBAR,15/12/2018,2.7,14.4, ,25.2,14.5,98,62,0.61,12.71
COMBIENBAR,16/12/2018,4.3,0.8, ,26.7,15.6,93,39,0.84,21.75
COMBIENBAR,17/12/2018,4.4,0.0, ,26.2,12.9,92,48,0.21,24.80
COMBIENBAR,18/12/2018,1.5,0.0, ,16.1,13.7,98,90,0.05,6.88
COMBIENBAR,19/12/2018, ,0.0, ,25.1, ,98,63,0.96,15.21
COMBIENBAR,20/12/2018,3.6,0.4, ,25.9,15.7,96,63,0.60,18.35
COMBIENBAR,21/12/2018,1.2,3.8, ,13.8,12.2,98,95,0.10,5.59
COMBIENBAR,22/12/2018,2.2,29.8, ,15.9,8.2,98,72,0.24,13.18
COMBIENBAR,23/12/2018,4.8,3.6, ,23.5,8.4,93,46,0.19,30.61
COMBIENBAR,24/12/2018,5.5,0.0, ,29.8,13.4,100,33,0.30,30.97
COMBIENBAR,25/12/2018, ,0.0, , , ,100,20,0.43,32.05
COMBIENBAR,26/12/2018,5.7,0.0, ,30.9,13.3,84,40,0.20,32.07
COMBIENBAR,27/12/2018,6.6,0.0, ,36.5,18.0,45,13,1.27,30.08
COMBIENBAR,28/12/2018,4.9,0.0, ,32.4,20.9,53,22,1.82,15.22
COMBIENBAR,29/12/2018,5.5,0.0, ,31.7,22.0,60,27,1.79,20.80
COMBIENBAR,30/12/2018,2.2,0.0, ,26.2,17.1,100,46,0.33,9.15
COMBIENBAR,31/12/2018,3.9,1.2, ,31.4,16.2,99,32,0.56,17.87
Totals:,,108.7,128.4, ,,,,,, 
