'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for May 2019,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/05/2019, ,0.0, ,19.2, ,75,53,1.00,3.06
COMBIENBAR,02/05/2019,2.1,0.0, ,25.4,14.4,76,48,1.72,8.34
COMBIENBAR,03/05/2019,0.8,15.0, ,15.3,14.4,99,67,0.15,3.23
COMBIENBAR,04/05/2019,1.0,0.8, ,11.6,9.3,96,60,0.94,6.08
COMBIENBAR,05/05/2019,0.7,19.4, ,11.5,8.1,99,92,1.55,4.13
COMBIENBAR,06/05/2019,0.8,10.6, ,10.3,7.7,99,80,1.30,5.08
COMBIENBAR,07/05/2019,1.1,0.0, ,15.8,5.1,95,36,0.40,11.92
COMBIENBAR,08/05/2019,1.1,0.0, ,11.9,8.5,91,58,1.19,8.95
COMBIENBAR,09/05/2019,1.1,0.0, ,17.2,5.3,92,47,0.44,11.46
COMBIENBAR,10/05/2019,0.8,0.0, ,16.4,7.1,97,57,0.37,5.38
COMBIENBAR,11/05/2019, ,42.4, , ,5.7,97,77,3.18,6.25
COMBIENBAR,12/05/2019, , , , , , , , ,10.92
COMBIENBAR,13/05/2019, , , , , , , , ,11.24
COMBIENBAR,14/05/2019,0.8, , ,14.8,6.3,76,51,0.16,11.14
COMBIENBAR,15/05/2019,0.7,0.0, ,13.5,7.2,91,67,0.01,8.05
COMBIENBAR,16/05/2019,0.8,0.0, ,15.1,6.6,94,64,0.08,10.96
COMBIENBAR,17/05/2019,0.8,0.0, ,15.3,7.7,90,55,0.00,10.87
COMBIENBAR,18/05/2019,0.7,0.0, ,16.2,8.9,78,38,0.01,10.71
COMBIENBAR,19/05/2019,0.7,0.0, ,17.7,9.8,78,49,0.02,9.46
COMBIENBAR,20/05/2019,1.1,0.0, ,19.8,10.5,69,49,0.72,9.56
COMBIENBAR,21/05/2019,0.7,0.0, ,13.8,11.2,95,66,0.23,6.16
COMBIENBAR,22/05/2019,0.8,0.0, ,15.4,9.4,95,64,0.01,10.30
COMBIENBAR,23/05/2019,0.8,0.0, ,18.2,9.7,81,33,0.23,10.35
COMBIENBAR,24/05/2019,2.3,0.0, ,18.4,12.2,53,32,2.52,7.13
COMBIENBAR,25/05/2019,2.1,0.0, ,18.7,15.0,65,49,2.87,6.74
COMBIENBAR,26/05/2019,1.0,0.0, ,14.0,7.6,97,45,1.10,9.58
COMBIENBAR,27/05/2019,1.1,7.2, ,8.3,2.9,94,52,2.75,7.92
COMBIENBAR,28/05/2019,1.7,3.6, ,12.0,3.4,68,44,3.27,9.80
COMBIENBAR,29/05/2019,1.1,0.0, ,9.7,7.4,87,50,2.35,6.00
COMBIENBAR,30/05/2019,1.1,1.4, ,9.2,2.4,83,63,3.16,7.22
COMBIENBAR,31/05/2019,0.7,0.0, ,9.8,5.4,98,79,2.56,4.54
Totals:,,28.5,100.4, ,,,,,, 
